ticker,quarter,kpi,value,score,filing_date,source,method,raw_text
FANG,2026Q2,total_production,1018.0,100,2026-08-03,2026-08-03:EX-99.1:diamondbackex991-8x3x26.htm,prose,"Production of 1,018 MBOE/d"
FANG,2026Q2,oil_production,525.0,100,2026-08-03,2026-08-03:EX-99.1:diamondbackex991-8x3x26.htm,prose,Average oil production of 525 MBO/d
FANG,2026Q2,realized_oil_price,96.82,80,2026-08-03,2026-08-03:EX-99.1:diamondbackex991-8x3x26.htm:table2,table,Oil ($ per Bbl) | Oil ($ per Bbl) | Oil ($ per Bbl) | $ | 96.82 | | | | | $ | 73.47 | | | | | $ | 63.23 |
FANG,2026Q2,realized_gas_price,-2.15,80,2026-08-03,2026-08-03:EX-99.1:diamondbackex991-8x3x26.htm:table2,table,Natural gas ($ per Mcf) | Natural gas ($ per Mcf) | Natural gas ($ per Mcf) | $ | (2.15) | | | | | $ | 0.18 | | | | | $ | 0.88 |
FANG,2026Q2,realized_combined_price,51.68,80,2026-08-03,2026-08-03:EX-99.1:diamondbackex991-8x3x26.htm:table2,table,Combined ($ per BOE) | Combined ($ per BOE) | Combined ($ per BOE) | $ | 51.68 | | | | | $ | 43.40 | | | | | $ | 39.61 |
FANG,2026Q2,realized_oil_price,94.33,80,2026-08-03,2026-08-03:EX-99.1:diamondbackex991-8x3x26.htm:table2,table,"Oil, hedged ($ per Bbl)(1) | Oil, hedged ($ per Bbl)(1) | Oil, hedged ($ per Bbl)(1) | $ | 94.33 | | | | | $ | 72.53 | | | | | $ | 62.34 |"
FANG,2026Q2,realized_gas_price,-1.0,80,2026-08-03,2026-08-03:EX-99.1:diamondbackex991-8x3x26.htm:table2,table,"Natural gas, hedged ($ per Mcf)(1) | Natural gas, hedged ($ per Mcf)(1) | Natural gas, hedged ($ per Mcf)(1) | $ | (0.34) | | | | | $ | 1.90 | | | | | $ | 1.45 |"
FANG,2026Q2,total_production,1000.0,80,2026-08-03,2026-08-03:EX-99.1:diamondbackex991-8x3x26.htm:table9,table,"2026 Net production - MBOE/d | 2026 Net production - MBOE/d | 2026 Net production - MBOE/d | 1,000+ (from 972+) | 1,000+ (from 972+) | 1,000+ (from 972+) | 132.5 - 135.0 | 132.5 - 135.0 | 132.5 - 135.0"
FANG,2026Q2,oil_production,522.0,80,2026-08-03,2026-08-03:EX-99.1:diamondbackex991-8x3x26.htm:table9,table,2026 Oil production - MBO/d | 2026 Oil production - MBO/d | 2026 Oil production - MBO/d | 522+ (from 520+) | 522+ (from 520+) | 522+ (from 520+) | 66.0 - 67.25 | 66.0 - 67.25 | 66.0 - 67.25
FANG,2026Q2,total_production,517.0,80,2026-08-03,2026-08-03:EX-99.1:diamondbackex991-8x3x26.htm:table9,table,"Q3 2026 Oil production - MBO/d (total - MBOE/d) | Q3 2026 Oil production - MBO/d (total - MBOE/d) | Q3 2026 Oil production - MBO/d (total - MBOE/d) | 517 - 527 (995 - 1,015) | 517 - 527 (995 - 1,015) | 517 - 527 (995 - 1,015) | 67.5 - 68.5 (133.5 - 135.5) | 67.5 - 68.5 (133.5 - 135.5) | 67.5 - 68.5 (133.5 - 135.5)"
