,coefficient
company_prod_yoy_proxy,-10.568290116081032
total_prod_yoy_l1,-6.548372349502361
debt_yoy_l1_clip,2.7975859326162698
wti_yoy,2.3897578312554795
realized_basis_l1,-1.9361454724106306
ticker_DVN,-1.720081286452305
bea_go_yoy_l1,1.5780520030722767
ma_shares_interaction,1.244387087530634
ppe_yoy_l1_clip,0.9559956162284449
ticker_FANG,0.819423978683081
has_company_prod,0.7833857157535047
assets_yoy_l1_clip,0.7427499395390456
ma_assets_interaction,0.7356224252688892
revenue_yoy_l1_clip,0.731221915653578
ticker_EOG,0.4012980994254137
has_guidance,-0.2056219611775201
shares_yoy_l1_clip,-0.19208823739598915
henry_yoy,-0.1485753032110122
