ticker,sector,subindustry,source_status,source_path,source_sha256,sentences,frames,facts,reviews,abstentions,error,holdout_issuer,development_probe_issuer
AR,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\AR\2026-07-29_0001104659-26-088204_EX-99.1_tm2621397d1_ex99-1.htm,7276f0c6c32e2d115458eaf4732fa972343b230d938baca9e80031f5bd49b517,98,3,3,8,18,,False,False
CNX,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CNX\2026-07-30_0001070412-26-000056_EX-99.1_ex991supplementalq226.htm,ed75d0fbe78ec88793e503c4ab14d3c75b1a5e3c62d3e34998453728a9c52157,57,0,0,1,30,,False,False
COP,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\COP\2026-08-11_0001104659-26-094062_EX-99.1_tm2622739d1_ex99-1.htm,66d2d312b564c78b5a1f0f8fed62d964fabc85ab7616a598bbc75b498e0bbb20,32,0,0,0,3,,True,False
DVN,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\DVN\2026-08-04_0001193125-26-332824_EX-99.1_d359332dex991.htm,f4b6e7e47aa2adeed74f41328f0008e1f9f4aa5c27d3777f8f54480832109ac8,58,2,2,2,6,,True,False
EOG,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\EOG\2026-08-04_0000821189-26-000147_EX-99.1_exh99-1080426.htm,39643cb9e1fb9d1cc404e1ee8c234c329ef5ba6d0a88c30ee63a14585feaa0e0,48,0,0,0,21,,True,False
EQT,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\EQT\2026-07-21_0000033213-26-000041_EX-99.1_ex9916302026earningsrelease.htm,6eeb4516324955936c207037911c3a6543089102bac94868f3a8e37d7a07b2de,114,0,0,5,44,,False,True
FANG,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\FANG\2026-08-03_0001539838-26-000137_EX-99.1_diamondbackex991-8x3x26.htm,2b19a1f4d8e513a588e04b828f015de4e60f35cef9d4e4ad1fdd6280d5865db5,96,0,0,3,34,,True,False
MGY,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\MGY\2026-08-05_0001698990-26-000016_EX-99.1_q22026pressrelease.htm,8ad80bbf7fdeb3aa99406b7883839fcc005385c593c56c14e8d763746d48aba0,87,2,2,7,19,,False,True
MTDR,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\MTDR\2026-08-05_0001520006-26-000036_EX-99.1_a20260630mtdr8ker-ex991.htm,270a1a120133c1a4acae1536278ca9630dfc39f257111ed65829f88d52e27db5,163,4,8,11,37,,False,True
NOG,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\NOG\2026-08-19_0001193125-26-357053_EX-99.1_d402647dex991.htm,0be63d6faa8112879e1c847fe0ae95a187f30770e47fac0e4292632cee2da73b,22,0,0,0,1,,False,True
OVV,ENERGY,ep,NO_ARCANA_IR_HTML,,,0,0,0,0,0,,False,True
PR,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\PR\2026-08-05_0001658566-26-000094_EX-99.1_ex991prq22026earningsrelea.htm,eed9ca00e5cda46bf123cf19926dacf68cada64c9407dd83239bf09f480c0885,151,3,4,6,31,,False,True
RRC,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\RRC\2026-07-22_0000315852-26-000018_EX-99.1_rrc-ex99_1.htm,b91e3f9c80f9dd1c8b52bb3db4db81ce610f18aeb13c68e1b514c638ab0c4840,96,2,3,4,19,,False,True
SM,ENERGY,ep,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\SM\2026-08-05_0000893538-26-000119_EX-99.1_exhibit99108052026er.htm,157694c553d3096eb48e2f15be93f0316bb051bb9559843cdec649831533db20,69,0,0,7,19,,False,True
XOM,ENERGY,integrated,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\XOM\2026-08-28_0001193125-26-373026_EX-99.1_d82162dex991.htm,0102b0cad313eaa0d81d601cb4cd2a9fd2e7d5e414c7b5cfa458fcd825a2b522,26,0,0,0,1,,False,False
CVX,ENERGY,integrated,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\CVX\2026-07-31_0000093410-26-000162_EX-99.1_a06302026ex9918-k.htm,819b11a4b37d18f1e54768f9b972921e1467186913143508f651b5982aaec93d,88,3,1,4,19,,False,False
VLO,ENERGY,refining,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\VLO\2025-10-29_0001193125-25-254583_EX-99.1_d34851dex991.htm,f10c8045b21a238ba0b1ab798549ff8d9e96eecf438de31d5113a80c9e2c6f38,37,0,0,0,3,,False,False
MPC,ENERGY,refining,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\MPC\2026-08-04_0001510295-26-000060_EX-99.1_mpcq22026earningsrelease.htm,b6de481d4e041c891b7d666e444fdec9f044f74ff12a0ad8a0c0220a002f2e52,82,4,4,3,23,,True,False
PSX,ENERGY,refining,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\PSX\2026-08-05_0001534701-26-000030_EX-99.1_psx-2026630_ex991.htm,5ed7cefada744e8a6f8ea2d0b7feffd6d9bdb8859cd62cb47fa9b00ec6584d1c,40,0,0,3,7,,False,False
KMI,ENERGY,midstream,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\KMI\2026-07-22_0001506307-26-000063_EX-99.1_kmi2026q28-kex991.htm,48f165a9f322dc33c5afd30166da31d85b032b97e65dbbce6db6ce10ffdcb3a6,126,0,0,9,31,,True,False
WMB,ENERGY,midstream,PARSED,D:\Programming\python_example\Arcana\data-lake\bronze\sec\fillings\ir\WMB\2026-08-03_0000107263-26-000024_EX-99.1_wmb_20260630xer.htm,5064730630ab8de72500a60461a0449c20d6acd204313f8eb32a155f44d26e03,106,4,0,6,22,,False,False
ET,ENERGY,midstream,NO_ARCANA_IR_HTML,,,0,0,0,0,0,,True,False
