failure_class,repair_layer,errors,issuers
RELATION_ERROR,CONTEXT_VALIDATOR,7,3
ONTOLOGY_ERROR,ONTOLOGY,2,2
DOCUMENT_CONTEXT_ERROR,CONTEXT_VALIDATOR,1,1
