Date,GD,LMT,NOC,RTX,SPY,HII
2025-03-21,256.1014404296875,422.60919189453125,480.84283447265625,129.20338439941406,556.1552734375,196.928466796875
2025-03-28,261.6141052246094,424.3295593261719,501.8806457519531,128.56893920898438,547.95068359375,200.69168090820312
2025-04-04,243.07321166992188,415.3526306152344,475.7474365234375,114.64031982421875,498.2696838378906,180.78086853027344
2025-04-11,270.4665832519531,456.4409484863281,523.2418212890625,125.19172668457031,526.5320434570312,210.8768005371093
2025-04-18,269.90936279296875,446.0414733886719,529.5130004882812,125.8066635131836,519.1064453125,214.5324859619141
2025-04-25,265.8912353515625,459.074462890625,463.67547607421875,122.22444915771484,543.0004272460938,220.9543914794922
2025-05-02,266.9275207519531,454.4225158691406,481.5287170410156,127.0950927734375,558.8966674804688,224.8348846435547
2025-05-09,265.4903564453125,455.11456298828125,472.90582275390625,125.59191131591797,556.5103149414062,226.4085998535156
2025-05-16,274.4358215332031,450.11669921875,463.6460266113281,132.23898315429688,585.9559936523438,224.86422729492188
2025-05-23,268.60906982421875,450.65496826171875,461.9704284667969,129.8424530029297,571.0753173828125,219.6739196777344
2025-05-30,272.2654724121094,463.6302185058594,475.0125427246094,133.89418029785156,581.2127685546875,219.35568237304688
2025-06-06,270.3004455566406,466.1560363769531,481.85528564453125,136.4645538330078,590.8275146484375,222.72872924804688
2025-06-13,276.6746520996094,470.7625427246094,508.7436828613281,142.9296875,588.7171020507812,228.86509704589844
2025-06-20,272.5489807128906,455.38494873046875,490.017333984375,143.8616943359375,587.7673950195312,230.64503479003903
2025-06-27,284.24169921875,443.8009948730469,486.3744201660156,141.91921997070312,608.1712646484375,234.686767578125
2025-07-04,289.6500549316406,447.6042175292969,496.4170227050781,142.98854064941406,618.4869995117188,247.8937530517578
2025-07-11,296.9610900878906,452.433349609375,506.65643310546875,144.08734130859375,616.7858276367188,253.8924255371093
2025-07-18,293.7969055175781,448.9977722167969,511.0278625488281,148.62960815429688,620.702392578125,250.26373291015625
2025-07-25,308.5761413574219,407.5877685546875,560.9452514648438,153.90768432617188,630.1181030273438,260.4222106933594
2025-08-01,305.3529968261719,407.4328918457031,577.3875122070312,153.83900451660156,614.9066162109375,265.3489990234375
2025-08-08,308.6842346191406,411.9039001464844,572.1397705078125,151.92596435546875,630.1972045898438,260.2943115234375
2025-08-15,308.2518615722656,423.44921875,574.9457397460938,151.83631896972656,636.388671875,261.82843017578125
2025-08-22,314.0692138671875,431.8105773925781,583.2947998046875,153.9548797607422,638.2380981445312,265.4964599609375
2025-08-29,318.9432678222656,440.9364929199219,580.9319458007812,156.28036499023438,637.98095703125,267.60546875
2025-09-05,317.2629089355469,452.2149963378906,574.0820922851562,155.2161407470703,640.1469116210938,267.9414367675781
2025-09-12,320.495849609375,459.4383544921875,569.298095703125,153.57057189941406,650.2055053710938,271.4793395996094
2025-09-19,318.46173095703125,461.02734375,566.4019775390625,155.92564392089844,658.2465209960938,271.8944091796875
2025-09-26,324.61322021484375,475.1620788574219,587.6434326171875,160.96087646484375,656.3819580078125,275.4916076660156
2025-10-03,337.6629943847656,491.7825927734375,602.4896240234375,164.1436309814453,663.7113037109375,280.8972473144531
2025-10-10,328.6061706542969,492.3284912109375,616.2783203125,155.39349365234375,647.6542358398438,279.6619567871094
2025-10-17,326.8394775390625,482.6778564453125,587.6235961914062,155.6398468017578,658.9308471679688,276.7268981933594
2025-10-24,346.20404052734375,473.1832275390625,598.575439453125,176.03709411621094,671.6851806640625,296.38299560546875
2025-10-31,340.41046142578125,479.4902648925781,576.7014770507812,175.88931274414062,676.4556274414062,318.2329406738281
2025-11-07,341.8316955566406,446.8048095703125,562.0330200195312,174.38169860839844,665.4567260742188,305.91949462890625
2025-11-14,339.7689514160156,454.0379333496094,551.5458374023438,173.00216674804688,666.4088134765625,310.27764892578125
2025-11-21,335.9098205566406,449.1736145019531,560.1452026367188,167.859130859375,653.6148681640625,301.8973693847656
2025-11-28,337.18304443359375,446.3271484375,565.6309814453125,173.0330047607422,677.7747192382812,311.2985534667969
2025-12-05,332.9193115234375,444.156494140625,544.8195190429688,169.26390075683594,680.0557861328125,302.325439453125
2025-12-12,333.096923828125,471.7075500488281,565.452392578125,176.7427520751953,676.1581420898438,324.5001220703125
2025-12-19,334.9425964355469,465.6963806152344,564.1622314453125,180.0568084716797,676.9923095703125,334.1481628417969
2025-12-26,337.74566650390625,474.43804931640625,573.0048217773438,183.18289184570312,686.660888671875,348.5308837890625
2026-01-02,338.92999267578125,488.2283630371094,581.2321166992188,185.24057006835938,679.55859375,347.1611022949219
2026-01-09,349.2834777832031,533.2627563476562,614.1414794921875,186.47715759277344,690.4010009765625,384.12542724609375
2026-01-16,364.0791015625,572.0700073242188,661.8579711914062,199.75315856933594,688.0037231445312,422.7474365234375
2026-01-23,360.0060119628906,580.3107299804688,667.8621826171875,193.82742309570312,685.5865478515625,415.4815979003906
2026-01-30,347.9354553222656,622.938720703125,687.0261840820312,198.7737579345703,688.3120727539062,417.3973388671875
2026-02-06,356.83477783203125,612.488037109375,703.748779296875,196.52813720703125,686.96923828125,394.8256530761719
2026-02-13,344.5164794921875,640.97216796875,697.2582397460938,197.91311645507812,678.1461181640625,415.68011474609375
2026-02-20,348.26251220703125,646.5511474609375,718.0895385742188,203.39427185058594,685.7855834960938,434.3310546875
2026-02-27,353.8418884277344,646.3743896484375,721.2058715820312,201.1114044189453,682.3637084960938,442.6083679199219
2026-03-06,360.2240295410156,663.2982177734375,752.8167114257812,208.1982421875,668.82568359375,427.2646484375
2026-03-13,348.3616027832031,637.8532104492188,730.4949951171875,202.9972686767578,658.7890014648438,413.9222717285156
2026-03-20,342.67315673828125,619.5173950195312,703.8522338867188,196.6846160888672,646.9034423828125,406.22552490234375
2026-03-27,343.6443786621094,608.0736083984375,676.0247192382812,188.2975311279297,632.4606323242188,380.1481628417969
2026-04-03,345.95343017578125,614.9358520507812,699.4216918945312,194.74913024902344,654.144775390625,394.9143676757813
2026-04-10,333.6814270019531,605.9802856445312,670.7777709960938,200.05929565429688,677.7140502929688,392.7138671875
2026-04-17,334.8164367675781,584.7218017578125,662.3449096679688,194.9575653076172,708.3152465820312,393.1121520996094
2026-04-24,311.8375549316406,506.9748229980469,572.5899047851562,172.96253967285156,712.10546875,357.7449035644531
2026-05-01,344.3245849609375,506.30340576171875,565.6505126953125,172.694580078125,718.7982177734375,359.0492858886719
2026-05-08,345.0115661621094,500.122314453125,547.112060546875,174.7789306640625,735.724609375,314.9198608398437
2026-05-15,333.0342712402344,509.5025329589844,538.3207397460938,169.90548706054688,737.2706298828125,324.767333984375
2026-05-22,341.38751220703125,526.5152587890625,553.1455078125,176.42391967773438,743.7239990234375,319.25115966796875
2026-05-29,345.30029296875,523.7604370117188,561.2100219726562,179.06515502929688,754.5361328125,308.1700134277344
2026-06-05,344.9219665527344,520.5403442382812,544.4000244140625,180.3907470703125,735.65478515625,293.0400085449219
2026-06-12,358.6415710449219,537.0084838867188,550.3300170898438,182.92233276367188,739.843994140625,297.67999267578125
2026-06-19,348.476318359375,507.8091125488281,521.5,184.98548889160156,746.739990234375,285.42999267578125
2026-06-26,345.1907653808594,504.2809143066406,500.0299987792969,187.36756896972656,728.989990234375,281.989990234375
2026-07-03,373.5400085449219,542.5541381835938,549.010009765625,198.5902862548828,744.780029296875,291.5
2026-07-10,375.05999755859375,520.0036010742188,539.6300048828125,195.28126525878906,754.9500122070312,286.0899963378906
2026-07-17,368.5799865722656,505.6424865722656,521.5700073242188,192.86929321289062,743.2899780273438,269.1300048828125
2026-07-24,386.75,579.0186157226562,542.239990234375,212.08544921875,738.9299926757812,287.5899963378906
2026-07-31,383.4200134277344,579.1577758789062,542.47998046875,214.50741577148438,747.030029296875,324.0150146484375
