Date,GD,LMT,NOC,RTX,SPY,HII
2024-07-05,271.111328125,435.76318359375,420.63250732421875,96.4430923461914,541.8134155273438,233.07781982421875
2024-07-12,273.23834228515625,437.2434997558594,418.2232360839844,97.3175048828125,547.0396728515625,240.6242828369141
2024-07-19,277.4058532714844,447.7944030761719,423.7383728027344,98.78762817382812,536.2940673828125,252.5912933349609
2024-07-26,279.50408935546875,494.82537841796875,464.7247314453125,109.49178314208984,531.849365234375,264.682861328125
2024-08-02,281.4194030761719,517.42626953125,478.5126037597656,111.88438415527344,520.5762329101562,252.52410888671875
2024-08-09,281.99688720703125,520.0758056640625,478.3094482421875,111.60572814941406,520.6640625,248.7652740478516
2024-08-16,285.4618225097656,528.1375122070312,490.2298889160156,113.9417724609375,541.4910278320312,259.44732666015625
2024-08-23,280.5146789550781,523.3099365234375,492.82305908203125,114.4924087524414,549.1301879882812,263.22540283203125
2024-08-30,288.1278381347656,535.6522216796875,506.2432556152344,119.14861297607422,550.6443481445312,272.397705078125
2024-09-06,281.7947692871094,537.2451171875,500.2691345214844,114.41513061523438,527.8635864257812,259.3350830078125
2024-09-13,293.36376953125,540.3550415039062,504.9124450683594,115.072021484375,549.0131225585938,251.95606994628903
2024-09-20,295.35614013671875,542.2608032226562,510.1094055175781,114.13499450683594,556.8114013671875,257.697509765625
2024-09-27,288.8690185546875,552.1593017578125,511.7219543457031,116.29887390136719,559.9664916992188,253.4203643798828
2024-10-04,289.379150390625,573.7486572265625,521.3872680664062,120.66526794433594,561.4461669921875,248.8252868652344
2024-10-11,289.5939636230469,572.8383178710938,513.5772094726562,119.71857452392578,567.9132690429688,249.87535095214844
2024-10-18,298.3367004394531,580.0821533203125,515.6074829101562,121.64094543457031,572.822509765625,251.9368133544922
2024-10-25,292.5726623535156,533.1301879882812,504.49462890625,120.90677642822266,567.3840942382812,244.5193023681641
2024-11-01,283.35601806640625,517.0686645507812,492.4494323730469,114.71458435058594,559.5452270507812,182.28884887695312
2024-11-08,299.29412841796875,535.282470703125,513.85888671875,119.35149383544922,586.148681640625,195.22625732421875
2024-11-15,278.52044677734375,507.09429931640625,479.860107421875,115.11190032958984,573.9590454101562,186.4600524902344
2024-11-22,272.5436096191406,514.1010131835938,482.65771484375,117.28730773925781,583.522705078125,191.65231323242188
2024-11-29,274.67132568359375,501.9552917480469,475.644287109375,118.31673431396484,590.4209594726562,191.9599151611328
2024-12-06,262.86279296875,489.47589111328125,462.0457458496094,114.58747100830078,595.5750122070312,182.2901611328125
2024-12-13,254.4585418701172,471.9397277832031,468.2401428222656,114.35437774658203,592.0475463867188,186.3539886474609
2024-12-20,254.9711151123047,466.56817626953125,458.0364685058594,113.12102508544922,581.199951171875,184.71485900878903
2024-12-27,257.388916015625,466.5204772949219,459.8021240234375,113.3443832397461,584.9950561523438,184.685791015625
2025-01-03,254.70997619628906,459.69873046875,456.358642578125,112.52860260009766,581.9863891601562,182.416244506836
2025-01-10,250.85118103027344,446.56097412109375,447.4522399902344,111.79051208496094,570.7193603515625,184.2978363037109
2025-01-17,259.2709655761719,467.8085021972656,470.5619201660156,117.61750030517578,587.521728515625,196.45050048828125
2025-01-24,259.03759765625,474.14361572265625,484.84320068359375,121.69638061523438,597.7368774414062,196.6153717041016
2025-01-31,249.849853515625,441.69512939453125,475.33209228515625,125.23140716552734,591.6903686523438,191.3198089599609
2025-02-07,247.7594757080078,423.98724365234375,457.0999755859375,124.26023864746094,590.6580200195312,163.41616821289062
2025-02-14,235.2271270751953,403.7605285644531,428.1471252441406,118.88001251220703,599.4376831054688,156.41358947753906
2025-02-21,236.3160400390625,420.4857177734375,436.98516845703125,120.34061431884766,589.842041015625,165.16195678710938
2025-02-28,245.59136962890625,429.6926574707031,450.42755126953125,129.80857849121094,584.178955078125,171.6220703125
2025-03-07,264.0252685546875,455.23956298828125,476.727294921875,125.328369140625,566.2262573242188,191.5524444580078
2025-03-14,254.75970458984375,448.0502624511719,475.1693420410156,126.88034057617188,553.3369140625,191.73817443847656
