ticker,original_value_gap_pct,original_fair_value,market_price,base_growth_pct,base_operating_margin_pct,base_roic_pct,base_wacc_pct,anchor_used,no_anchor_gap_reduction_pct_points,explicit_growth_gap_reduction_pct_points,margin_1y_fade_gap_reduction_pct_points,margin_2y_fade_gap_reduction_pct_points,margin_4y_fade_gap_reduction_pct_points,wacc_plus_100bp_gap_reduction_pct_points,terminal_g_minus_100bp_gap_reduction_pct_points,terminal_margin_gap_reduction_pct_points,terminal_roic_gap_reduction_pct_points,combined_normalization_gap_reduction_pct_points,historical_fcff_minus_operating_margin_pct_points,market_enterprise_value_usd,model_enterprise_value_usd,enterprise_value_gap_pct,ev_to_equity_gap_amplification_pct_points,net_claims_to_market_ev_pct,normalized_terminal_margin_pct,normalized_margin_method,normalized_margin_observations,recent_20q_median_margin_pct
MTDR,283.0726050335946,223.6377909102694,58.380001068115234,11.768870097158958,39.59633630670868,22.66710344375829,6.245821698485839,False,0.0,99.4415445328618,30.12827817204851,29.980371300880847,29.560551511901053,101.55608935185114,84.7716163514628,27.47858000542695,86.8551603198548,190.23493945863413,40.147356117512004,11016201024.896656,31537620365.433968,186.28399476515386,96.78861026844072,34.19215019304112,41.38317102831557,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,26,42.68789823538322
NOG,230.19540353323106,90.27542382982358,27.34000015258789,12.54967667782221,27.106205283606503,15.178565310250514,6.52484968517377,False,0.0,107.09300483843913,66.41726213963102,66.0576064630277,65.03985335655841,95.51831242407553,86.21387687103143,60.015285175553004,78.58041762841003,206.14627097761073,116.73318464769872,5406816318.962444,12064825466.257998,123.14102707622978,107.05437645700128,46.50587058379161,35.61827275511564,PRE_RECENT_20Q_COMPANY_MEDIAN,8,25.20171480304018
SM,217.99455565730793,118.29397713062447,37.20000076293945,17.33508493804462,36.89338983505117,21.81220528458439,6.691988886738445,False,0.0,83.16675054087042,45.03313792740636,44.8095165463109,44.093607064240274,70.22504150105485,54.34432732783435,40.23646643048417,56.77877048093731,145.9155066167607,50.3352223303098,10041861860.113745,29484037353.19092,193.61126217341686,24.383293483891066,11.185276352599391,34.43689120477919,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,26,38.90377317506272
FANG,160.961805437663,549.8987196038124,210.72000122070312,16.513298132646565,46.766288937009925,15.247841184290348,5.920453693081896,True,0.0,67.65422997916284,4.890063458165969,4.88334353273919,4.8460550325496285,74.49577239593394,54.78877730139463,4.582374220629646,51.45857121069368,119.00655274089537,21.240548645465953,79169338287.24002,174584821827.82697,120.5207541263047,40.44105131135831,25.124625808835262,47.826449042781775,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,22,52.72583191780497
DVN,152.8185513229627,124.13390484186972,49.09999847412109,4.947518563989792,28.23452073447316,15.248515535030036,6.350703001716201,True,9.4085964712784,26.142698827494243,52.90523809500833,52.400471453411285,51.25011636529426,60.3667994384011,44.03292806205022,46.584437838621355,42.61121871452711,127.32358767485823,-1.061079078537631,37133739051.81885,83759808468.73785,125.56254933513142,27.25600198783127,17.835532238641072,25.328192134033834,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,10,25.328192134033834
CNX,139.83561464050425,87.20423094712777,36.36000061035156,-10.897467145250593,37.87988180396332,5.201469322402524,6.586456160827697,False,0.0,16.239115769163874,220.4652639799171,210.73627350851103,195.9243197854582,59.853405122539186,33.81180681822218,161.95015489929526,37.07223981853632,237.63326310321992,-33.34257759644494,7507230404.191071,14700549781.019978,95.81855077756884,44.0170638629354,31.477720447753228,13.443746214864149,PRE_RECENT_20Q_COMPANY_MEDIAN,38,40.28486193153972
AR,98.1173044410842,75.16570258422018,37.93999862670898,17.34910386876914,19.72517788473904,8.61795092682996,6.190596691205954,False,0.0,49.098225131465874,107.21290735175114,107.87505853318558,108.12972754373068,58.87433961523972,39.70588439827969,102.72738515312055,33.17214147406828,150.11861266065245,9.319787081068633,14580143414.505005,26114006625.884445,79.10665130978765,19.01065313129655,19.375433558421605,13.654051084597409,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,16,13.654051084597409
MGY,83.21683953292445,51.5572175262981,28.13999938964844,-0.4455998953782483,41.29734310200564,25.54292009432819,6.78325439105391,False,0.0,11.125021836969694,7.007788539483883,6.947235591085814,6.80213302026965,36.83241995726757,29.31076968565865,6.188820606574339,31.075172182200113,67.8761762130462,-2.113846873060968,5473504046.376756,9804469575.346985,79.12601310374765,4.090826429176801,4.915863726786021,45.488414931776006,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,18,45.488414931776006
EOG,70.87713807112618,261.52746503261505,153.0500030517578,4.100601455470199,32.77769481204113,20.580901119557726,6.544723728886035,True,14.474082513256228,20.553135232083726,91.20717818658851,90.03567070650777,87.52077329030256,37.196518473291924,28.501023386565564,77.98883396247734,29.902695466015913,118.37509961240241,-12.391464550594826,85600798141.95328,143378989254.94818,67.49725746386189,3.3798806072642975,4.768647125498466,16.602135001483028,PRE_RECENT_20Q_COMPANY_MEDIAN,30,33.141800142848666
COP,66.69616858015608,224.82311442459513,134.8699951171875,8.492254863798395,32.23259549982627,16.86619375506222,6.393861867479845,True,9.393953943762483,31.866177908812638,52.36318956774136,52.05075767813304,51.16657158802336,39.544183675168284,29.57316309061784,46.75227794290602,29.17513465491224,95.39251998454432,9.70803673933612,180696306775.3888,290285652938.5595,60.64835973620297,6.0478088439531135,9.067700548172837,24.88113033514695,PRE_RECENT_20Q_COMPANY_MEDIAN,10,32.37866110574785
PR,31.01772735678083,31.116710247235446,23.75,15.138106106573884,34.32143729725966,11.228157047153475,6.800062718082775,False,0.0,28.522296499403875,29.907224553075437,30.044461840825896,29.995397584411275,32.993070283668835,20.38309239489537,27.981842042309268,17.14187139540868,67.8715069539997,20.8255805118426,23261182945.0,29429241947.959343,26.516531930226584,4.501195426554247,14.511686735715152,30.303212070687636,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,26,35.30303962215461
