ticker,normalized_terminal_margin_pct,normalized_margin_method,normalized_margin_observations,recent_20q_median_margin_pct
AR,13.654051084597409,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,16,13.654051084597409
CNX,13.443746214864149,PRE_RECENT_20Q_COMPANY_MEDIAN,38,40.28486193153972
COP,24.88113033514695,PRE_RECENT_20Q_COMPANY_MEDIAN,10,32.37866110574785
DVN,25.328192134033834,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,10,25.328192134033834
EOG,16.602135001483028,PRE_RECENT_20Q_COMPANY_MEDIAN,30,33.141800142848666
EQT,-18.2068423165674,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,26,13.333246988131787
FANG,47.826449042781775,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,22,52.72583191780497
MGY,45.488414931776006,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,18,45.488414931776006
MTDR,41.38317102831557,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,26,42.68789823538322
NOG,35.61827275511564,PRE_RECENT_20Q_COMPANY_MEDIAN,8,25.20171480304018
OVV,17.656267471765627,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,21,19.311086124067188
PR,30.303212070687636,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,26,35.30303962215461
RRC,29.594818219525802,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,19,29.594818219525802
SM,34.43689120477919,FULL_HISTORY_COMPANY_MEDIAN_INSUFFICIENT_PRIOR_WINDOW,26,38.90377317506272
