experiment,ticker,scenario,scenario_weight,enterprise_value_usd,pv_explicit_fcff_usd,pv_terminal_value_usd,fair_value,market_price,weighted_ev,weighted_explicit,weighted_terminal,weighted_fair_value
ORIGINAL_V1_1,AR,BEAR,0.2,1656921.9112616181,462150610.38746417,-460493688.47620255,-9.112269323412187,37.93999862670898,331384.3822523237,92430122.07749283,-92098737.69524051,-1.8224538646824375
ORIGINAL_V1_1,AR,BASE,0.6,18566094787.835796,-570394764.1830441,19136489552.01884,50.80471213104932,37.93999862670898,11139656872.701477,-342236858.5098264,11481893731.211304,30.482827278629593
ORIGINAL_V1_1,AR,BULL,0.2,74870091844.00357,5162611014.771986,69707480829.23158,232.52664585136515,37.93999862670898,14974018368.800714,1032522202.9543972,13941496165.846317,46.50532917027303
ORIGINAL_V1_1,CNX,BEAR,0.2,-8713459001.187183,-7120596528.214897,-1592862472.9722853,-78.29200149662698,36.36000061035156,-1742691800.2374368,-1424119305.6429796,-318572494.5944571,-15.658400299325397
ORIGINAL_V1_1,CNX,BASE,0.6,13194210568.809788,6054067981.255012,7140142587.554777,76.55703820358853,36.36000061035156,7916526341.285872,3632440788.753007,4284085552.532866,45.93422292215312
ORIGINAL_V1_1,CNX,BULL,0.2,42633576199.85771,4560231578.17622,38073344621.681496,284.64204162150025,36.36000061035156,8526715239.971542,912046315.635244,7614668924.3363,56.92840832430005
ORIGINAL_V1_1,COP,BEAR,0.2,87894167403.90703,19080078448.35764,68814088955.5494,58.696149692138334,134.8699951171875,17578833480.781406,3816015689.671528,13762817791.109879,11.739229938427668
ORIGINAL_V1_1,COP,BASE,0.6,242651410406.84454,36434403303.29564,206217007103.5489,185.72397886452424,134.8699951171875,145590846244.10672,21860641981.977383,123730204262.12933,111.43438731871454
ORIGINAL_V1_1,COP,BULL,0.2,635579866068.3569,50928801195.15828,584651064873.1986,508.24748583726466,134.8699951171875,127115973213.67139,10185760239.031656,116930212974.63972,101.64949716745294
ORIGINAL_V1_1,DVN,BEAR,0.2,22665974471.77619,6376965642.073253,16289008829.702938,25.817467769192454,49.09999847412109,4533194894.355239,1275393128.4146507,3257801765.940588,5.163493553838491
ORIGINAL_V1_1,DVN,BASE,0.6,72967813294.25755,12289659428.755884,60678153865.50166,106.76667733224582,49.09999847412109,43780687976.55453,7373795657.2535305,36406892319.300995,64.06000639934749
ORIGINAL_V1_1,DVN,BULL,0.2,177229627989.14038,17814035210.4055,159415592778.7349,274.5520244434187,49.09999847412109,35445925597.82808,3562807042.0811,31883118555.74698,54.91040488868374
ORIGINAL_V1_1,EOG,BEAR,0.2,28212901803.119503,8366719777.931476,19846182025.188026,45.30531213399234,153.0500030517578,5642580360.623901,1673343955.5862951,3969236405.0376053,9.061062426798468
ORIGINAL_V1_1,EOG,BASE,0.6,127632258702.26196,23595931988.42006,104036326713.8419,231.9632759857268,153.0500030517578,76579355221.35718,14157559193.052034,62421796028.30514,139.17796559143608
ORIGINAL_V1_1,EOG,BULL,0.2,305785268364.8355,31689415529.909157,274095852834.92636,566.4421850719027,153.0500030517578,61157053672.9671,6337883105.981832,54819170566.985275,113.28843701438055
ORIGINAL_V1_1,EQT,BEAR,0.2,-29109197398.656296,-23881245105.099346,-5227952293.55695,-61.46231905623586,53.720001220703125,-5821839479.731259,-4776249021.01987,-1045590458.71139,-12.292463811247174
ORIGINAL_V1_1,EQT,BASE,0.6,21628993237.810226,9655706631.974384,11973286605.83584,19.65674610107826,53.720001220703125,12977395942.686136,5793423979.18463,7183971963.501504,11.794047660646955
ORIGINAL_V1_1,EQT,BULL,0.2,103399152998.59135,11759044119.17521,91640108879.41614,150.38901767702677,53.720001220703125,20679830599.718273,2351808823.8350425,18328021775.88323,30.077803535405355
ORIGINAL_V1_1,FANG,BEAR,0.2,40150810941.70343,1038370102.2088699,39112440839.49456,72.01867511333256,210.72000122070312,8030162188.340687,207674020.441774,7822488167.898912,14.403735022666513
ORIGINAL_V1_1,FANG,BASE,0.6,166453901320.6653,13598137877.45031,152855763443.215,520.9952849141906,210.72000122070312,99872340792.39919,8158882726.470185,91713458065.929,312.59717094851436
ORIGINAL_V1_1,FANG,BULL,0.2,333411594235.4355,20978696921.56315,312432897313.8723,1114.4890681631573,210.72000122070312,66682318847.0871,4195739384.3126297,62486579462.77447,222.89781363263148
ORIGINAL_V1_1,MGY,BEAR,0.2,3395027897.6464705,1213741040.4540386,2181286857.192432,16.901828815196122,28.13999938964844,679005579.5292941,242748208.09080774,436257371.4384864,3.3803657630392245
