experiment,ticker,weighted_enterprise_value_usd,weighted_explicit_fcff_usd,weighted_terminal_value_usd,fair_value,market_price,value_gap_pct,terminal_value_share_pct
COMBINED_LONG_RUN_NORMALIZATION,AR,8467297375.431181,259920981.63090557,8207376393.800276,18.21070300233408,37.93999862670898,-52.00130821956825,96.93029581806002
COMBINED_LONG_RUN_NORMALIZATION,CNX,2476396724.919035,596909223.657239,1879487501.2617962,0.800775032398664,36.36000061035156,-97.79764846271569,75.89605826680479
COMBINED_LONG_RUN_NORMALIZATION,COP,133544956785.98083,27209235673.479546,106335721112.50131,96.16722737927812,134.8699951171875,-28.696351404388242,79.62541130094112
COMBINED_LONG_RUN_NORMALIZATION,DVN,44912440881.84807,10448463924.749002,34463976957.09906,61.618025236318104,49.09999847412109,25.494963648104463,76.73592501410475
COMBINED_LONG_RUN_NORMALIZATION,EOG,46881030751.5777,12312022796.100159,34569007955.47755,80.3543714633118,153.0500030517578,-47.497961541276226,73.73773016779114
COMBINED_LONG_RUN_NORMALIZATION,EQT,-20749966762.037704,-9185359951.963825,-11564606810.07388,-48.09777124381306,53.720001220703125,-189.53419611106912,55.73313414280477
COMBINED_LONG_RUN_NORMALIZATION,FANG,104039714910.09633,12754666446.1467,91285048463.94963,299.12811021548094,210.72000122070312,41.95525269676763,87.74057920365472
COMBINED_LONG_RUN_NORMALIZATION,MGY,6271898751.136531,1743920382.3026977,4527978368.833834,32.456861954230206,28.13999938964844,15.340663319878267,72.19469810499282
COMBINED_LONG_RUN_NORMALIZATION,MTDR,17746490823.283283,3546644885.474655,14199845937.808628,112.5786312223904,58.380001068115234,92.83766557496045,80.01495100754522
COMBINED_LONG_RUN_NORMALIZATION,NOG,6102396430.824793,1254174959.0236263,4848221471.801167,33.91503302999055,27.34000015258789,24.049132555620332,79.44782884493603
COMBINED_LONG_RUN_NORMALIZATION,OVV,12856335247.630262,5354105406.988415,7502229840.641849,23.063723271578965,66.82,-65.48380234723291,58.354342012236295
COMBINED_LONG_RUN_NORMALIZATION,PR,15932590349.449594,1610199375.9229279,14322390973.526665,14.997227345660518,23.75,-36.853779597218875,89.8936749103164
COMBINED_LONG_RUN_NORMALIZATION,RRC,5864911620.720586,1228224150.8710418,4636687469.849545,21.41522976170793,41.060001373291016,-47.844059801619366,79.05809617775388
COMBINED_LONG_RUN_NORMALIZATION,SM,16470341308.120808,2958984944.454316,13511356363.666492,64.01340755594254,37.20000076293945,72.07904904054725,82.03446492638639
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,AR,20342423154.307552,3053594601.2540665,17288828553.053486,56.537836643603555,37.93999862670898,49.01907930961833,84.98903214188886
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,CNX,13865189301.322418,2252565773.735182,11612623527.587238,81.29968835434408,36.36000061035156,123.59649887134037,83.75380440337487
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,COP,237925919597.21924,41392885946.1289,196533033651.09033,181.84520183494527,134.8699951171875,34.829990671343445,82.60261596710345
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,DVN,75783477848.37817,12919410645.961851,62864067202.41632,111.29784011647598,49.09999847412109,126.67585249546845,82.95220671739291
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,EOG,126624320433.26314,22485813532.451874,104138506900.81128,230.070890932679,153.0500030517578,50.32400283904246,82.24210526420718
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,EQT,29099409196.538498,4596929771.235803,24502479425.302692,31.600277222441868,53.720001220703125,-41.175955874209,84.20266975116928
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,FANG,134480518515.15152,21007823081.227562,113472695433.92395,407.33772536586315,210.72000122070312,93.30757545850017,84.37853801191235
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,MGY,9225475151.196888,1767516180.0046365,7457958971.192251,48.42663644927658,28.13999938964844,72.09181769595476,80.84091983299825
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,MTDR,24328580709.3804,3892590120.790495,20435990588.589905,165.58381614983438,58.380001068115234,183.6310605007328,83.99992927129685
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,NOG,8967343088.757954,1431825401.4412594,7535517687.316692,60.996196143583354,27.34000015258789,123.10239869479193,84.03289149005249
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,OVV,23997584551.542458,5569094498.892716,18428490052.649742,62.709672914293876,66.82,-6.151342540715532,76.79310396039521
GROWTH_IMMEDIATELY_AT_TERMINAL_RATE,PR,23757414167.521904,4323467216.060711,19433946951.461193,24.342664828627026,23.75,2.495430857376957,81.80160860279481
