period,form,filing_date,report_date,source_url,source_sha256,accounts_receivable_usd,inventory_usd,accounts_payable_usd,contract_assets_usd,contract_liabilities_usd,cash_usd,debt_current_usd,debt_noncurrent_usd,stockholders_equity_usd,pension_liability_usd,shares_outstanding,remaining_performance_obligation_usd,cumulative_combined_depreciation_amortization_usd,cumulative_depreciation_usd,cumulative_intangible_amortization_usd,cumulative_interest_expense_usd,total_debt_usd,nwc_chain_complete,operating_nwc_usd,change_operating_nwc_qoq_usd,change_operating_nwc_yoy_usd,discrete_combined_depreciation_amortization_usd,discrete_depreciation_usd,discrete_intangible_amortization_usd,discrete_interest_expense_usd
2019Q4,10-K,2020-02-13,2019-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000011/hii-20191231.htm,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1,318000000.0,136000000.0,497000000.0,989000000.0,,75000000.0,0.0,1286000000.0,1588000000.0,975000000.0,40800000.0,46500000000.0,227000000.0,180000000.0,47000000.0,70000000.0,1286000000.0,False,,,,,,,
2020Q1,10-Q,2020-05-07,2020-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000019/hii-20200331.htm,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9,418000000.0,154000000.0,536000000.0,1211000000.0,387000000.0,28000000.0,0.0,1667000000.0,1643000000.0,941000000.0,40500000.0,45200000000.0,,47000000.0,11000000.0,16000000.0,1667000000.0,True,860000000.0,,,58000000.0,47000000.0,11000000.0,16000000.0
2020Q2,10-Q,2020-08-06,2020-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000035/hii-20200630.htm,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8,494000000.0,160000000.0,437000000.0,1134000000.0,573000000.0,631000000.0,0.0,2276000000.0,1678000000.0,882000000.0,40500000.0,46100000000.0,,92000000.0,26000000.0,41000000.0,2276000000.0,True,778000000.0,-82000000.0,,60000000.0,45000000.0,15000000.0,25000000.0
2020Q3,10-Q,2020-11-05,2020-09-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158520000042/hii-20200930.htm,99ba70d2164893b5aed993a656ad04f02c99efffe2ef1e13b93a0c2e376431ec,492000000.0,152000000.0,429000000.0,1134000000.0,604000000.0,744000000.0,0.0,2278000000.0,1880000000.0,728000000.0,40500000.0,45300000000.0,,136000000.0,41000000.0,68000000.0,2278000000.0,True,745000000.0,-33000000.0,,59000000.0,44000000.0,15000000.0,27000000.0
2020Q4,10-K,2021-02-11,2020-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000008/hii-20201231.htm,c36fb47b2ccff954dee7a6dea7f83b6d16bced0de0451ba8b50c964590a018c8,397000000.0,137000000.0,460000000.0,1049000000.0,,512000000.0,0.0,1686000000.0,1901000000.0,960000000.0,40500000.0,46000000000.0,247000000.0,191000000.0,56000000.0,114000000.0,1686000000.0,False,,,,70000000.0,55000000.0,15000000.0,46000000.0
2021Q1,10-Q,2021-05-06,2021-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000018/hii-20210331.htm,d214a14aa150b01157d383205dc3c2564c50833b33db3ce5d7f1629c4785fdc1,407000000.0,142000000.0,397000000.0,1288000000.0,700000000.0,407000000.0,0.0,1688000000.0,1979000000.0,869000000.0,40300000.0,48800000000.0,,52000000.0,13000000.0,21000000.0,1688000000.0,True,740000000.0,,-120000000.0,65000000.0,52000000.0,13000000.0,21000000.0
2021Q2,10-Q,2021-08-05,2021-06-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000029/hii-20210630.htm,ca03ac808581a53939e1004e5252217d4f8d7d1a6a792fd6a021aa4d79f90e7a,443000000.0,139000000.0,349000000.0,1182000000.0,660000000.0,348000000.0,0.0,1689000000.0,2067000000.0,853000000.0,40200000.0,47700000000.0,,102000000.0,26000000.0,39000000.0,1689000000.0,True,755000000.0,15000000.0,-23000000.0,63000000.0,50000000.0,13000000.0,18000000.0
2021Q3,10-Q,2021-11-04,2021-09-30,https://www.sec.gov/Archives/edgar/data/1501585/000150158521000036/hii-20210930.htm,29ff7b69ce5c53055d5b4167ea0e8ee828fb375fd0986e47579d87d5dfc330c1,446000000.0,143000000.0,508000000.0,1363000000.0,674000000.0,555000000.0,0.0,3321000000.0,2189000000.0,833000000.0,40100000.0,50100000000.0,,154000000.0,48000000.0,63000000.0,3321000000.0,True,770000000.0,15000000.0,25000000.0,74000000.0,52000000.0,22000000.0,24000000.0
2021Q4,10-K,2022-02-10,2021-12-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000007/hii-20211231.htm,044bbc3f603b93031cf93d2d5b0c79964518807a8b543e9897e74767e666a693,433000000.0,161000000.0,603000000.0,1310000000.0,,627000000.0,0.0,3298000000.0,2808000000.0,351000000.0,40000000.0,48500000000.0,293000000.0,207000000.0,86000000.0,89000000.0,3298000000.0,False,,,,91000000.0,53000000.0,38000000.0,26000000.0
2022Q1,10-Q,2022-05-05,2022-03-31,https://www.sec.gov/Archives/edgar/data/1501585/000150158522000013/hii-20220331.htm,96a62a56e1834c7bb671cad2d29f436e668ae020b3abe4064a2b666789b79cce,671000000.0,188000000.0,544000000.0,1349000000.0,685000000.0,330000000.0,0.0,3200000000.0,2822000000.0,398000000.0,40100000.0,47900000000.0,,52000000.0,35000000.0,26000000.0,3200000000.0,True,979000000.0,,239000000.0,87000000.0,52000000.0,35000000.0,26000000.0
