scenario,base_revenue_usd,near_term_growth_pct,terminal_growth_pct,initial_margin_pct,terminal_margin_pct,tax_rate_pct,initial_roic_pct,terminal_roic_pct,wacc_pct,first_discount_years,horizon_years,explicit_period_pv_usd,pv_terminal_value_usd,enterprise_value_usd,terminal_value_share_pct,equity_value_usd,conditional_value_per_share,market_price,conditional_expectations_gap_pct,scenario_weight,ev_to_common_equity_identity_error_usd,terminal_authority,valuation_authority,production_promoted
bear,13050000000.0,0.80699994203475,1.0,5.3486590038314175,4.638058084091894,17.0,11.452064172010443,7.601471753306467,8.570735052542654,1.4182067077344285,5,1917145791.1650264,3899263989.067125,5816409780.232151,67.03901782022471,3126409780.232151,79.3420382143537,324.0150146484375,-75.51285137189049,0.25,0.0,False,RESEARCH_CONDITIONAL_ONLY,False
base,13250000000.0,6.4620500198509205,2.0,5.5452830188679245,5.292244286249532,17.0,11.452064172010443,9.096174562379913,8.333234636506527,1.4182067077344285,5,1547104216.5688052,5827255939.308788,7374360155.877594,79.02049555667936,4684360155.877594,118.8797082351239,324.0150146484375,-63.310432276075026,0.5,0.0,False,RESEARCH_CONDITIONAL_ONLY,False
bull,13450000000.0,12.0,2.5,5.739776951672862,6.818578662475991,17.0,11.452064172010443,11.452064172010443,8.0957342204704,1.4182067077344285,5,1301194138.643722,10119043385.160349,11420237523.804071,88.60624276919333,8730237523.804071,221.55599806964935,324.0150146484375,-31.62168786837183,0.25,0.0,False,RESEARCH_CONDITIONAL_ONLY,False
