terminal_margin_pct,wacc_pct,conditional_value_per_share,market_price,market_price_gap_pct,terminal_value_share_pct,conditional_on_base_growth_and_roic,terminal_authority
4.0,5.0,249.26321666334223,324.0150146484375,-23.07047346747261,88.02363163328354,True,False
4.0,6.0,167.64948483401082,324.0150146484375,-48.25872960982572,84.40787973077002,True,False
4.0,7.0,118.73485641136575,324.0150146484375,-63.355137557376665,80.96372081918702,True,False
4.0,8.0,86.16775924985947,324.0150146484375,-73.40624497190257,77.68205822281165,True,False
4.0,9.0,62.9404758055315,324.0150146484375,-80.57482741229659,74.55431908561539,True,False
4.0,10.0,45.549228146119745,324.0150146484375,-85.94224770863119,71.57242246476478,True,False
5.0,5.0,323.73866700938544,324.0150146484375,-0.08528852878990278,89.12549715998898,True,False
5.0,6.0,221.83919251379177,324.0150146484375,-31.534286226059137,85.80137248396326,True,False
5.0,7.0,160.80926812864067,324.0150146484375,-50.369809774673,82.61639060468286,True,False
5.0,8.0,120.20963644546428,324.0150146484375,-62.8999796272114,79.5642883842992,True,False
5.0,9.0,91.28084620426702,324.0150146484375,-71.82820484312788,76.63909283163048,True,False
5.0,10.0,69.64335937776022,324.0150146484375,-78.50613205276163,73.83510805964012,True,False
6.0,5.0,398.2141173554287,324.0150146484375,22.899896409892804,89.87552867542298,True,False
6.0,6.0,276.0289001935728,324.0150146484375,-14.809842842292525,86.75621347078129,True,False
6.0,7.0,202.8836798459156,324.0150146484375,-37.38448199196933,83.75617100482552,True,False
6.0,8.0,154.25151364106904,324.0150146484375,-52.39371428252024,80.87061413122363,True,False
6.0,9.0,119.62121660300257,324.0150146484375,-63.081582273959164,78.09494673471573,True,False
6.0,10.0,93.73749060940071,324.0150146484375,-71.07001639689207,75.4247567418142,True,False
7.0,5.0,472.68956770147196,324.0150146484375,45.88508134857551,90.41904101409878,True,False
7.0,6.0,330.21860787335373,324.0150146484375,1.9146005414740586,87.45135837272827,True,False
7.0,7.0,244.95809156319055,324.0150146484375,-24.399154209265646,84.58974594921868,True,False
7.0,8.0,188.2933908366739,324.0150146484375,-41.88744893782906,81.83027833700855,True,False
7.0,9.0,147.96158700173808,324.0150146484375,-54.33495970479046,79.16917236187783,True,False
7.0,10.0,117.8316218410412,324.0150146484375,-63.63390074102252,76.6027823962289,True,False
8.0,5.0,547.1650180475152,324.0150146484375,68.87026628725826,90.83100888894542,True,False
8.0,6.0,384.40831555313474,324.0150146484375,18.63904392524067,87.98007178640074,True,False
8.0,7.0,287.03250328046545,324.0150146484375,-11.413826426561997,85.2258976383941,True,False
8.0,8.0,222.3352680322786,324.0150146484375,-31.38118359313792,82.56510747558667,True,False
8.0,9.0,176.3019574004736,324.0150146484375,-45.58833713562175,79.99443774700732,True,False
8.0,10.0,141.92575307268166,324.0150146484375,-56.19778508515298,77.51073662955939,True,False
9.0,5.0,621.6404683935583,324.0150146484375,91.85545122594093,91.1540329502978,True,False
9.0,6.0,438.5980232329157,324.0150146484375,35.36348730900724,88.39573405758433,True,False
9.0,7.0,329.10691499774043,324.0150146484375,1.5715013561417095,85.72733631006938,True,False
9.0,8.0,256.37714522788343,324.0150146484375,-20.874918248446733,83.1458295599284,True,False
9.0,9.0,204.64232779920908,324.0150146484375,-36.841714566453064,80.64830304472156,True,False
9.0,10.0,166.01988430432218,324.0150146484375,-48.761669429283415,78.23194217267684,True,False
10.0,5.0,696.1159187396016,324.0150146484375,114.84063616462365,91.4141111576171,True,False
10.0,6.0,492.78773091269676,324.0150146484375,52.08793069277388,88.73110247299634,True,False
10.0,7.0,371.1813267150153,324.0150146484375,14.556829138845345,86.13275575019648,True,False
10.0,8.0,290.41902242348823,324.0150146484375,-10.368652903755574,83.6163222065334,True,False
10.0,9.0,232.98269819794464,324.0150146484375,-28.095091997284342,81.17914219277269,True,False
10.0,10.0,190.1140155359626,324.0150146484375,-41.32555377341388,78.81864222633571,True,False
12.0,5.0,845.0668194316879,324.0150146484375,160.81100604198906,91.80702310923517,True,False
12.0,6.0,601.1671462722587,324.0150146484375,85.53681746030708,89.23895378806259,True,False
12.0,7.0,455.33015014956516,324.0150146484375,40.527484704252686,86.748126148643,True,False
12.0,8.0,358.5027768146978,324.0150146484375,10.64387778562677,84.33213045806673,True,False
12.0,9.0,289.66343899541573,324.0150146484375,-10.601846858946914,81.9886343049661,True,False
12.0,10.0,238.30227799924364,324.0150146484375,-26.45332246167476,79.715379856911,True,False
