period,metric,value,available,selected_concept,selected_context_ref,source_sha256
2019Q4,accounts_receivable_usd,318000000.0,True,AccountsReceivableNetCurrent,i88f0143507644611bb16596af24b8254_I20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,inventory_usd,136000000.0,True,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,i88f0143507644611bb16596af24b8254_I20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,accounts_payable_usd,497000000.0,True,AccountsPayableCurrent,i88f0143507644611bb16596af24b8254_I20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,contract_assets_usd,989000000.0,True,ContractWithCustomerAssetNet,i88f0143507644611bb16596af24b8254_I20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,contract_liabilities_usd,,False,,,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,cash_usd,75000000.0,True,CashAndCashEquivalentsAtCarryingValue,i88f0143507644611bb16596af24b8254_I20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,debt_current_usd,,False,,,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,debt_noncurrent_usd,1286000000.0,True,LongTermDebtNoncurrent,i88f0143507644611bb16596af24b8254_I20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,stockholders_equity_usd,1588000000.0,True,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,i88f0143507644611bb16596af24b8254_I20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,pension_liability_usd,975000000.0,True,DefinedBenefitPensionPlanLiabilitiesNoncurrent,i88f0143507644611bb16596af24b8254_I20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,shares_outstanding,40800000.0,True,CommonStockSharesOutstanding,i88f0143507644611bb16596af24b8254_I20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,remaining_performance_obligation_usd,46500000000.0,True,RevenueRemainingPerformanceObligation,i88f0143507644611bb16596af24b8254_I20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,combined_depreciation_amortization_usd,227000000.0,True,DepreciationDepletionAndAmortization,id4756bc70a0d4b4caa5673ca65bd57bf_D20190101-20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,depreciation_usd,180000000.0,True,Depreciation,id4756bc70a0d4b4caa5673ca65bd57bf_D20190101-20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,intangible_amortization_usd,47000000.0,True,AmortizationOfIntangibleAssets,id4756bc70a0d4b4caa5673ca65bd57bf_D20190101-20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2019Q4,interest_expense_usd,70000000.0,True,InterestExpense,id4756bc70a0d4b4caa5673ca65bd57bf_D20190101-20191231,4589650f60e0ff9b1861743c4ceccc9826678b355e8dccf0fbc5f9efa41450a1
2020Q1,accounts_receivable_usd,418000000.0,True,AccountsReceivableNetCurrent,i7358f11747f64266af61968c7393c4fc_I20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,inventory_usd,154000000.0,True,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,i7358f11747f64266af61968c7393c4fc_I20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,accounts_payable_usd,536000000.0,True,AccountsPayableCurrent,i7358f11747f64266af61968c7393c4fc_I20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,contract_assets_usd,1211000000.0,True,ContractWithCustomerAssetNet,i7358f11747f64266af61968c7393c4fc_I20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,contract_liabilities_usd,387000000.0,True,ContractWithCustomerLiabilityCurrent,i7358f11747f64266af61968c7393c4fc_I20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,cash_usd,28000000.0,True,CashAndCashEquivalentsAtCarryingValue,i7358f11747f64266af61968c7393c4fc_I20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,debt_current_usd,,False,,,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,debt_noncurrent_usd,1667000000.0,True,LongTermDebtNoncurrent,i7358f11747f64266af61968c7393c4fc_I20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,stockholders_equity_usd,1643000000.0,True,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,i7358f11747f64266af61968c7393c4fc_I20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,pension_liability_usd,941000000.0,True,DefinedBenefitPensionPlanLiabilitiesNoncurrent,i7358f11747f64266af61968c7393c4fc_I20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,shares_outstanding,40500000.0,True,CommonStockSharesOutstanding,i7358f11747f64266af61968c7393c4fc_I20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,remaining_performance_obligation_usd,45200000000.0,True,RevenueRemainingPerformanceObligation,i7358f11747f64266af61968c7393c4fc_I20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,combined_depreciation_amortization_usd,,False,,,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,depreciation_usd,47000000.0,True,Depreciation,id745bf51593a4c1bb9ec491b9dabc64a_D20200101-20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,intangible_amortization_usd,11000000.0,True,AmortizationOfIntangibleAssets,id745bf51593a4c1bb9ec491b9dabc64a_D20200101-20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q1,interest_expense_usd,16000000.0,True,InterestExpense,id745bf51593a4c1bb9ec491b9dabc64a_D20200101-20200331,5357376f593d4530980fd68f1bc38d743217dc7eb582daed4dc93c1b37144fe9
2020Q2,accounts_receivable_usd,494000000.0,True,AccountsReceivableNetCurrent,i242b491145af47bb8bd5b1e82def2736_I20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,inventory_usd,160000000.0,True,InventoryNetOfAllowancesCustomerAdvancesAndProgressBillings,i242b491145af47bb8bd5b1e82def2736_I20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,accounts_payable_usd,437000000.0,True,AccountsPayableCurrent,i242b491145af47bb8bd5b1e82def2736_I20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,contract_assets_usd,1134000000.0,True,ContractWithCustomerAssetNet,i242b491145af47bb8bd5b1e82def2736_I20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,contract_liabilities_usd,573000000.0,True,ContractWithCustomerLiabilityCurrent,i242b491145af47bb8bd5b1e82def2736_I20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,cash_usd,631000000.0,True,CashAndCashEquivalentsAtCarryingValue,i242b491145af47bb8bd5b1e82def2736_I20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,debt_current_usd,,False,,,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,debt_noncurrent_usd,2276000000.0,True,LongTermDebtNoncurrent,i242b491145af47bb8bd5b1e82def2736_I20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,stockholders_equity_usd,1678000000.0,True,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,i242b491145af47bb8bd5b1e82def2736_I20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,pension_liability_usd,882000000.0,True,DefinedBenefitPensionPlanLiabilitiesNoncurrent,i242b491145af47bb8bd5b1e82def2736_I20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,shares_outstanding,40500000.0,True,CommonStockSharesOutstanding,i242b491145af47bb8bd5b1e82def2736_I20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,remaining_performance_obligation_usd,46100000000.0,True,RevenueRemainingPerformanceObligation,i242b491145af47bb8bd5b1e82def2736_I20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,combined_depreciation_amortization_usd,,False,,,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,depreciation_usd,92000000.0,True,Depreciation,i1db3c7cec9a8482fa2f0d4d4b42f3efd_D20200101-20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,intangible_amortization_usd,26000000.0,True,AmortizationOfIntangibleAssets,i1db3c7cec9a8482fa2f0d4d4b42f3efd_D20200101-20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
2020Q2,interest_expense_usd,41000000.0,True,InterestExpense,i1db3c7cec9a8482fa2f0d4d4b42f3efd_D20200101-20200630,26a8cd1c0cf3300e699c7c5aec8b35d587671db4883c895183b3014d2f1616a8
