layer,source_count,use,pit_cutoff_pass
SEC_10K,7,ANNUAL_MARGIN_ROIC_FCFF_HISTORY,True
SEC_10Q,20,TTM_AND_BALANCE_SHEET_BRIDGE,True
IR_HTML,27,SEGMENT_ACTUALS_BACKLOG_AND_FY26_GUIDANCE,True
BLS_AS_RELEASED_VINTAGE,3,PROSPECTIVE_PRICE_COST_SIGNAL,True
ANALYST_CONSENSUS_PROVIDER,3,MODEL_VS_CONSENSUS_AND_SCENARIO_BOUNDS,True
MARKET_PRICE,1,EV_TO_EQUITY_AND_REVERSE_DCF_TARGET,True
MARKET_RETURN_SERIES,6,INDEPENDENT_SYMMETRIC_AND_DOWNSIDE_BETA,True
FRED_DGS10,1,RISK_FREE_RATE,True
