ticker,subindustry,anchor_growth_pct,anchor_growth_source,anchor_forecast_quarter
AR,ep,,HISTORICAL_PIT_DISTRIBUTION,
CNX,ep,,HISTORICAL_PIT_DISTRIBUTION,
COP,ep,21.0786783088434,V3.4_FROZEN_REVENUE_NOWCAST,2026Q3
DVN,ep,100.57644159462988,V3.4_FROZEN_REVENUE_NOWCAST,2026Q3
EOG,ep,31.04924432725671,V3.4_FROZEN_REVENUE_NOWCAST,2026Q3
EQT,ep,,HISTORICAL_PIT_DISTRIBUTION,
FANG,ep,25.393333994347667,V3.4_FROZEN_REVENUE_NOWCAST,2026Q3
MGY,ep,,HISTORICAL_PIT_DISTRIBUTION,
MTDR,ep,,HISTORICAL_PIT_DISTRIBUTION,
NOG,ep,,HISTORICAL_PIT_DISTRIBUTION,
OVV,ep,,HISTORICAL_PIT_DISTRIBUTION,
PR,ep,,HISTORICAL_PIT_DISTRIBUTION,
RRC,ep,,HISTORICAL_PIT_DISTRIBUTION,
SM,ep,,HISTORICAL_PIT_DISTRIBUTION,
XOM,integrated,35.177723233510385,PHASE2_4_INTEGRATED_SELECTED_RESEARCH_ROUTE,2026Q2
CVX,integrated,33.336546880800746,PHASE2_4_INTEGRATED_SELECTED_RESEARCH_ROUTE,2026Q2
VLO,refining,48.899647380281166,PHASE2_4_REFINING_SELECTED_RESEARCH_ROUTE,2026Q2
MPC,refining,49.07521341494034,PHASE2_4_REFINING_SELECTED_RESEARCH_ROUTE,2026Q2
PSX,refining,55.67752477273085,PHASE2_4_REFINING_SELECTED_RESEARCH_ROUTE,2026Q2
KMI,midstream,11.511156186612581,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,2026Q2
WMB,midstream,6.25,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,2026Q2
ET,midstream,31.039834454216255,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,2026Q2
EPD,midstream,17.483388704318937,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,2026Q2
SLB,services,1.4345538212909847,PHASE2_4_SERVICES_SELECTED_RESEARCH_ROUTE,2026Q2
HAL,services,0.22995905975000674,PHASE2_4_SERVICES_SELECTED_RESEARCH_ROUTE,2026Q2
BKR,services,1.5559782197755334,PHASE2_4_SERVICES_SELECTED_RESEARCH_ROUTE,2026Q2
