ticker,subindustry,market_date,price_age_days,price_freshness_status,shares_date,shares_source,beta_weekly_observations,beta_method,price_override_used,market_input_complete
AR,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
CNX,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
COP,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
DVN,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
EOG,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
EQT,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
FANG,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
MGY,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
MTDR,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
NOG,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
OVV,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,0,CONSERVATIVE_BETA_1P0_INSUFFICIENT_LOCAL_HISTORY,True,True
PR,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
RRC,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
SM,ep,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
XOM,integrated,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
CVX,integrated,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
VLO,refining,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
MPC,refining,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
PSX,refining,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
KMI,midstream,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
WMB,midstream,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
ET,midstream,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,us-gaap:LimitedPartnersCapitalAccountUnitsOutstanding,0,CONSERVATIVE_BETA_1P0_INSUFFICIENT_LOCAL_HISTORY,True,True
EPD,midstream,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,us-gaap:LimitedPartnersCapitalAccountUnitsOutstanding,104,LOCAL_WEEKLY_RETURN_BETA,False,True
SLB,services,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
HAL,services,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
BKR,services,2026-08-21,12,CURRENT_WITHIN_LIMIT,2026-03-31,ARCANA_SILVER_NORMALIZED_SHARES,104,LOCAL_WEEKLY_RETURN_BETA,False,True
