ticker,subindustry,scenario,forecast_year,revenue_usd,growth_pct,operating_margin_pct,ebit_usd,nopat_usd,roic_pct,reinvestment_rate_pct,reinvestment_usd,fcff_usd,wacc_pct,discount_factor,pv_fcff_usd,terminal_reinvestment_rate_pct,terminal_fcff_usd,terminal_value_usd,pv_terminal_value_usd
AR,ep,BEAR,1,4779876400.0,-15.0,-3.9734582188513334,-189926391.66673523,-150089325.47060838,2.0,-50.0,75044662.73530419,-225133988.2059126,7.690596691205954,1.0769059669120595,-209056310.5072823,,,,
AR,ep,BEAR,2,4254089996.0,-11.0,-3.9734582188513334,-169034488.58339435,-133579499.66884145,2.0,-50.0,66789749.834420726,-200369249.50326216,7.690596691205954,1.1597264615707978,-172772853.0328358,,,,
AR,ep,BEAR,3,3956303696.2799997,-7.0,-3.9734582188513334,-157202074.38255674,-124228934.69202255,2.0,-50.0,62114467.34601127,-186343402.0380338,7.690596691205954,1.2489163464514015,-149204070.04640394,,,,
AR,ep,BEAR,4,3837614585.3915997,-3.0,-3.9734582188513334,-152486012.15108004,-120502066.65126188,2.0,-50.0,60251033.32563094,-180753099.97689283,7.690596691205954,1.3449654656675232,-134392372.58570263,,,,
AR,ep,BEAR,5,3875990731.245516,1.0,-3.9734582188513334,-154010872.27259085,-121707087.3177745,2.0,50.0,-60853543.65888725,-60853543.65888725,7.690596691205954,1.4484013352680125,-42014283.04236332,50.0,-61462079.09547612,-918633747.2151203,-634239782.0595326
AR,ep,BASE,1,6689564333.729969,18.95976397361393,13.654051084597409,913396531.4644983,721811582.327401,5.926828537431934,150.0,1082717373.4911015,-360905791.16370046,6.190596691205954,1.0619059669120596,-339866054.4428303,,,,
AR,ep,BASE,2,7674256361.802315,14.719822980210449,13.654051084597409,1047846884.0034546,828060969.4966505,5.926828537431934,150.0,1242091454.2449758,-414030484.74832535,6.190596691205954,1.1276442825634363,-367164088.13524383,,,,
AR,ep,BASE,3,8478509371.884223,10.479881986806966,13.654051084597409,1157660000.8494506,914840781.878709,5.926828537431934,150.0,1372261172.8180635,-457420390.93935454,6.190596691205954,1.1974521922083816,-381994700.0103315,,,,
AR,ep,BASE,4,9007563353.809982,6.239940993403483,13.654051084597409,1229897301.8066907,971926306.8515315,5.926828537431934,105.28296801559269,1023272862.7776291,-51346555.92609763,6.190596691205954,1.271581627998007,-40380070.61091174,,,,
AR,ep,BASE,5,9187714620.886183,2.0,13.654051084597409,1254495247.8428245,991364832.9885621,5.926828537431934,33.744860128290306,334534676.2530491,656830156.735513,6.190596691205954,1.3503001181868344,486432718.09640074,33.744860128290306,669966759.8702235,15987383402.372301,11839874104.313902
AR,ep,BULL,1,6748060800.0,20.0,29.344934691444198,1980214034.698947,1564864083.1175845,19.85004945643563,100.75541647336175,1576685324.187176,-11821241.069591522,5.190596691205954,1.0519059669120596,-11237925.671525152,,,,
AR,ep,BULL,2,7802445300.0,15.625,29.344934691444198,2289622477.6206574,1809374096.104707,19.85004945643563,78.71516911981386,1424251879.7589235,385122216.3457835,5.190596691205954,1.1065061632251951,348052481.89783806,,,,
AR,ep,BULL,3,8680220396.25,11.25,29.344934691444198,2547205006.352981,2012928681.9164863,19.85004945643563,56.67492176626598,1140825755.6868975,872102926.2295887,5.190596691205954,1.1639404355215521,749267659.76543,,,,
AR,ep,BULL,4,9276985548.492188,6.875,29.344934691444198,2722325350.5397487,2151317528.798245,19.85004945643563,34.634674412718105,745101821.6830052,1406215707.1152396,5.190596691205954,1.2243558892553421,1148535094.6206543,,,,
AR,ep,BULL,5,9508910187.20449,2.5,29.344934691444198,2790383484.303242,2205100467.018201,19.85004945643563,12.594427059170219,277719769.9000291,1927380697.1181717,5.190596691205954,1.287907265531615,1496521332.475439,12.594427059170219,1975565214.5461257,73424799079.07181,57010936302.74998
BKR,services,BEAR,1,27511440417.33894,-1.3679402812930075,5.835792096582904,1605510465.5311804,1182079133.9625175,4.000795802191795,-34.1917045739649,-404173005.3149468,1586252139.2774644,8.10816145864369,1.0810816145864368,1467282504.7388105,,,,
