ticker,subindustry,scenario,probability,probability_class,enterprise_value_usd,equity_value_usd,fair_value_per_share,market_price,value_gap_pct,terminal_value_share,production_eligible
AR,ep,BEAR,0.2,PLAUSIBLE,-1341679671.2741206,-4006476671.2741203,-12.930959188971327,37.93999862670898,-134.08265592257612,0.47272072137549004,False
AR,ep,BASE,0.6,PROBABLE,11196901909.210985,8532104909.210985,27.537487281048637,37.93999862670898,-27.418322936725637,1.05742411609179,False
AR,ep,BULL,0.2,PLAUSIBLE,60742074945.837814,58077277945.837814,187.44522245910034,37.93999862670898,394.057009077335,0.9385740667171018,False
BKR,services,BEAR,0.2,POSSIBLE,13579272243.504581,12179272243.504581,12.276642011117282,62.34000015258789,-80.30695864442077,0.6310136720589925,False
BKR,services,BASE,0.6,PROBABLE,32631004616.971474,31231004616.971474,31.480687488087806,62.34000015258789,-49.50162430055598,0.7961190596342437,False
BKR,services,BULL,0.2,PLAUSIBLE,70204039857.12753,68804039857.12753,69.35410830438443,62.34000015258789,11.251376539346003,0.9376966925410745,False
CNX,ep,BEAR,0.2,PROBABLE,-3492230676.515098,-5855335676.515099,-41.38701762566798,36.36000061035156,-213.82567912797353,0.456116053181746,False
CNX,ep,BASE,0.6,PROBABLE,3741049883.00488,1377944883.00488,9.739668622049651,36.36000061035156,-73.21323306227667,0.0,False
CNX,ep,BULL,0.2,PLAUSIBLE,49087593466.972435,46724488466.972435,330.26069461551936,36.36000061035156,808.3077257196067,0.9234507306379814,False
COP,ep,BEAR,0.2,PLAUSIBLE,131216457965.73271,113766457965.73271,93.38177591949093,134.8699951171875,-30.761637650870956,0.8242799373953374,False
COP,ep,BASE,0.6,PROBABLE,298674072953.26355,281224072953.26355,230.83432351913683,134.8699951171875,71.15320818286281,0.9121149510030289,False
COP,ep,BULL,0.2,PLAUSIBLE,609543467785.8688,592093467785.8688,486.00211803050325,134.8699951171875,260.34858428534807,0.9225664688056133,False
CVX,integrated,BEAR,0.2,PLAUSIBLE,171095850404.59448,171583850404.59448,86.15386915121998,205.2700042724609,-58.02900211525039,0.9631614713029578,False
CVX,integrated,BASE,0.6,PROBABLE,342888421317.0369,343376421317.0369,172.4125388374548,205.2700042724609,-16.006949262491087,0.9221099295872791,False
CVX,integrated,BULL,0.2,PLAUSIBLE,779616726565.0591,780104726565.0591,391.6979388109983,205.2700042724609,90.82083629281077,0.9006519119743035,False
DVN,ep,BEAR,0.2,POSSIBLE,47772276433.65743,41149276433.65743,66.22027105512944,49.09999847412109,34.86817334634309,0.9143008075531345,False
DVN,ep,BASE,0.6,POSSIBLE,83719713705.05807,77096713705.05807,124.06938156591258,49.09999847412109,152.68713935155267,0.9247718802226996,False
DVN,ep,BULL,0.2,POSSIBLE,163023378912.59677,156400378912.59677,251.6903426337251,49.09999847412109,412.60763840223416,0.9296391928003391,False
EOG,ep,BEAR,0.2,PLAUSIBLE,40521214098.45725,36439214098.45725,68.41393587845783,153.0500030517578,-55.2996180893104,1.0126423178765134,False
EOG,ep,BASE,0.6,PROBABLE,173132318566.20642,169050318566.20642,317.3887785661921,153.0500030517578,107.37587209250749,0.8845438669140554,False
EOG,ep,BULL,0.2,PLAUSIBLE,318417631364.0473,314335631364.0473,590.1592078893094,153.0500030517578,285.5989520560361,0.9065792303183395,False
EPD,midstream,BEAR,0.2,PLAUSIBLE,88477745288.50581,54754745288.50581,25.308196386618736,38.0099983215332,-33.41700209367996,0.7255316449940667,False
EPD,midstream,BASE,0.6,PROBABLE,162596968142.1187,128873968142.11871,59.56684991735793,38.0099983215332,56.71363469545976,0.911860579374568,False
EPD,midstream,BULL,0.2,PLAUSIBLE,301947257746.1058,268224257746.10577,123.97596144271516,38.0099983215332,226.16671117420447,0.940050434842906,False
EQT,ep,BEAR,0.2,PROBABLE,-11594070342.987204,-17259913342.987206,-27.594756878718684,53.720001220703125,-151.36775177153933,0.4509160406051126,False
EQT,ep,BASE,0.6,PROBABLE,7936694677.426693,2270851677.426693,3.63058601170096,53.720001220703125,-93.24164942442003,0.4473579107726843,False
EQT,ep,BULL,0.2,PLAUSIBLE,110449480210.28615,104783637210.28615,167.52569588424558,53.720001220703125,211.84976187171594,0.9614850172955115,False
ET,midstream,BEAR,0.2,PLAUSIBLE,89529352219.38434,21144352219.38434,6.144649158520339,21.19,-71.00212761434479,0.9328836988370688,False
ET,midstream,BASE,0.6,PROBABLE,145747799106.10162,77362799106.10162,22.481996776060452,21.19,6.097200453329177,0.9495867919518246,False
ET,midstream,BULL,0.2,PLAUSIBLE,217484824626.3256,149099824626.3256,43.32911703418256,21.19,104.47907991591579,0.9611520005830868,False
FANG,ep,BEAR,0.2,PLAUSIBLE,56925886640.141396,43201886640.141396,153.5721457210087,210.72000122070312,-27.12028054699901,0.6441481464039601,False
FANG,ep,BASE,0.6,PROBABLE,189467410098.846,175743410098.846,624.7248600511266,210.72000122070312,196.47155297650394,0.9355203983100149,False
FANG,ep,BULL,0.2,PLAUSIBLE,327616835196.8028,313892835196.8028,1115.8122937814874,210.72000122070312,429.52367469512876,0.9418553747020956,False
HAL,services,BEAR,0.2,POSSIBLE,22448168120.21779,17291168120.21779,20.69812664768332,35.34000015258789,-41.4314472034103,0.6098793892802679,False
HAL,services,BASE,0.6,PROBABLE,41848888726.25525,36691888726.25525,43.921460627679636,35.34000015258789,24.282570566042683,0.7753562394283569,False
HAL,services,BULL,0.2,PLAUSIBLE,112404899724.35342,107247899724.35342,128.37944757457765,35.34000015258789,263.26951618639606,0.9161848608668769,False
KMI,midstream,BEAR,0.2,PLAUSIBLE,36076432068.26554,4092432068.265541,1.8394393607631814,30.979999542236328,-94.06249390592987,0.6220569691412559,False
KMI,midstream,BASE,0.6,PROBABLE,56436884024.55815,24452884024.55815,10.990920950830287,30.979999542236328,-64.52252707155175,1.035723509479224,False
KMI,midstream,BULL,0.2,PLAUSIBLE,87558949209.60081,55574949209.600815,24.979461440854227,30.979999542236328,-19.369070981428894,1.0312997953359475,False
MGY,ep,BEAR,0.2,PLAUSIBLE,3950512151.5231934,3681442151.5231934,19.90529209780465,28.13999938964844,-29.263352773465247,0.6085788564519934,False
MGY,ep,BASE,0.6,PROBABLE,9373096934.215235,9104026934.215235,49.224816779167995,28.13999938964844,74.92827948417013,0.78426832546118,False
MGY,ep,BULL,0.2,PROBABLE,22586061703.7987,22316991703.7987,120.66636397494334,28.13999938964844,328.8072728933021,0.8958685225493447,False
MPC,refining,BEAR,0.2,PLAUSIBLE,67268890294.03024,36594890294.03024,125.35216861025422,360.7200012207031,-65.24945437290607,0.9951056527557218,False
MPC,refining,BASE,0.6,PROBABLE,186481717979.64926,155807717979.64926,533.7038908448378,360.7200012207031,47.95516994864284,0.9457620698404177,False
MPC,refining,BULL,0.2,PLAUSIBLE,542741149209.4846,512067149209.4846,1754.0352522371322,360.7200012207031,386.2594938737379,0.9224326219277763,False
MTDR,ep,BEAR,0.2,PLAUSIBLE,-1240460707.8158827,-4678950707.815883,-37.67931642167739,58.380001068115234,-164.5414795003426,0.5042396287035243,False
MTDR,ep,BASE,0.6,PROBABLE,32589732973.828003,29151242973.828003,234.7532548828226,58.380001068115234,302.1124539016756,0.8549154959825062,False
MTDR,ep,BULL,0.2,PLAUSIBLE,70519554939.12062,67081064939.12062,540.1998930063692,58.380001068115234,825.3166891451192,0.9120527847130757,False
NOG,ep,BEAR,0.2,PLAUSIBLE,-2179975847.20571,-4694462847.205709,-44.37482762335087,27.34000015258789,-262.307342266604,0.4586413261085312,False
NOG,ep,BASE,0.6,PROBABLE,8717764360.241669,6203277360.241669,58.637031012910874,27.34000015258789,114.47341143251802,0.8795946862660511,False
NOG,ep,BULL,0.2,PLAUSIBLE,33393171644.24742,30878684644.24742,291.8835131776361,27.34000015258789,967.606113930499,0.903609743042119,False
OVV,ep,BEAR,0.2,PLAUSIBLE,5232169807.110379,-1142830192.8896208,-4.066742161632286,66.82,-106.0861151775401,0.5053876097178704,False
OVV,ep,BASE,0.6,PROBABLE,16551183960.235209,10176183960.235209,36.21178072918813,66.82,-45.80697286861998,0.649241617038261,False
OVV,ep,BULL,0.2,PLAUSIBLE,53219342794.16819,46844342794.16819,166.69481175791702,66.82,149.4684402243595,0.8782117969541702,False
PR,ep,BEAR,0.2,PLAUSIBLE,-761939948.9390752,-4137529948.9390755,-4.941584420393708,23.75,-120.80667124376299,0.45969457208166864,False
PR,ep,BASE,0.6,PROBABLE,29187739876.74677,25812149876.74677,30.82827659543726,23.75,29.803269875525306,0.9934018079976826,False
PR,ep,BULL,0.2,PLAUSIBLE,56857526420.39267,53481936420.39267,63.87518810716187,23.75,168.94816045120788,0.9684896900503399,False
PSX,refining,BEAR,0.2,PLAUSIBLE,30595964718.95007,8621964718.95007,21.50464361768665,242.8699951171875,-91.14561532917624,1.0768022717206582,False
PSX,refining,BASE,0.6,PROBABLE,116268898814.1961,94294898814.1961,235.18748453102478,242.8699951171875,-3.1632193109963347,0.9808798262301048,False
PSX,refining,BULL,0.2,PLAUSIBLE,337409283754.5728,315435283754.5728,786.74914392505,242.8699951171875,223.93838668520365,0.9259874551117608,False
RRC,ep,BEAR,0.2,PLAUSIBLE,-3517151268.6785383,-4336158268.678538,-18.4030084963476,41.060001373291016,-144.81979513112856,0.4353538809617187,False
RRC,ep,BASE,0.6,PROBABLE,10711666342.128174,9892659342.128174,41.98525114724171,41.060001373291016,2.2534090185212685,0.6880809262020577,False
RRC,ep,BULL,0.2,PLAUSIBLE,37600079717.365005,36781072717.365005,156.10186524135563,41.060001373291016,280.1798831475388,0.9086379650113717,False
SLB,services,BEAR,0.2,POSSIBLE,41924113262.75156,35073113262.75156,23.459371620016437,53.869998931884766,-56.45188029485699,0.5855468800560715,False
SLB,services,BASE,0.6,PROBABLE,80172335222.8387,73321335222.8387,49.04247985579113,53.869998931884766,-8.961424116970429,0.7751524029537572,False
SLB,services,BULL,0.2,PLAUSIBLE,145965208029.28738,139114208029.28738,93.04939311587353,53.869998931884766,72.7295247091589,0.8718367295832135,False
SM,ep,BEAR,0.2,PLAUSIBLE,5191339480.630549,5640339480.630549,23.52604813750607,37.20000076293945,-36.757936411270386,0.6032393575378727,False
SM,ep,BASE,0.6,PROBABLE,30287519783.72663,30736519783.72663,128.20307119714752,37.20000076293945,244.6319047521902,0.8693937454798134,False
SM,ep,BULL,0.2,PLAUSIBLE,53176696585.81388,53625696585.81388,223.67460746247747,37.20000076293945,501.27581418039534,0.891950650736404,False
VLO,refining,BEAR,0.2,PLAUSIBLE,12418330391.9649,6660330391.964899,22.43043138283364,348.8599853515625,-93.57036280322335,1.1686510146016407,False
VLO,refining,BASE,0.6,PROBABLE,80921638766.4467,75163638766.4467,253.1335147981293,348.8599853515625,-27.439796644193848,0.9569262676931773,False
VLO,refining,BULL,0.2,PLAUSIBLE,288936232323.13696,283178232323.13696,953.6779011592495,348.8599853515625,173.36981631704873,0.8842648966472756,False
WMB,midstream,BEAR,0.2,PLAUSIBLE,28663203685.634575,-688796314.3654251,-0.5632030184159134,70.48999786376953,-100.79898288478371,0.6141733280615551,False
WMB,midstream,BASE,0.6,PROBABLE,47127710420.744354,17775710420.744354,14.534534454751949,70.48999786376953,-79.38071372502849,0.9013358676184169,False
WMB,midstream,BULL,0.2,PLAUSIBLE,101967290684.20403,72615290684.20403,59.37481087448969,70.48999786376953,-15.768459818599068,0.9839256623030893,False
