ticker,subindustry,quarter,ttm_revenue,operating_margin_pct,ttm_fcff_usd,fcff_margin_pct,roic_pct,incremental_roic_pct,probability_weighted_fair_value,probability_weighted_value_gap_pct,growth_expectations_gap_pct_points,margin_expectations_gap_pct_points,roic_expectations_gap_pct_points,cap_expectations_gap_years
AR,ep,2026Q1,5623384000.0,23.8579830223225,1865713415.5508804,33.17777010339113,10.507819669766437,39.30972285027799,51.42534502265498,35.54387686891638,-13.14023602638607,-3.9459489154025924,-4.073171462568066,-11
BKR,services,2026Q1,27893000000.0,13.791990822070051,2485298183.1117125,8.910114305064756,14.0852443900385,64.47610307274842,35.21456255595302,-43.51209100134855,-44.34402178022447,-8.721796055949007,-51.04518591746676,4
CNX,ep,2026Q1,2943400000.0,56.85924441122512,692189571.0262398,23.516666814780177,19.55175650253261,,63.61853657120006,74.9684694809606,-7.300000000000001,-19.715138068460277,-1.0,-15
COP,ep,2026Q1,50845000000.0,24.389812174255088,17337051280.115448,34.09784891359121,9.801055385327327,298.023986921545,254.37737290148092,88.60931423661312,29.099999999999998,12.67866110574785,12.512592974836704,4
CVX,integrated,2026Q1,190028000000.0,10.238491169722357,15109917251.570004,7.951416239485762,7.567669270953746,-10.623364838812405,199.01788489491656,-3.045802721982571,-11.800000000000004,-2.5930064674335203,-11.641392365611473,-6
DVN,ep,2026Q1,16744000000.0,20.747730530339226,3296332919.089659,19.686651451801595,11.95943431937114,130.83450550346822,138.02375167731844,181.10744596064703,42.7,14.128192134033831,12.347171398553256,4
EOG,ep,2026Q1,23884000000.0,29.827499581309663,4164422606.7359324,17.436035030714837,17.7566164211226,-5.6927275277901455,322.1478958932687,110.48539004884965,36.7,16.741800142848668,18.513183285130413,4
EPD,midstream,2026Q1,51565000000.0,14.35081935421313,4932715503.0990715,9.566014744689365,10.501016440107138,-21.11815084143211,65.59694151628153,72.57812263338074,22.599999999999998,3.955033661701208,5.517283383875505,3
EQT,ep,2026Q1,10283097000.0,46.57477217223566,4377040752.661887,42.56539399231464,11.150703159821399,153.47319364461745,30.164539408125957,-43.8485876346167,-64.16112764806942,-46.66675301186821,-57.17261831255152,-8
ET,midstream,2026Q1,92287000000.0,10.314562181022245,6971600464.371212,7.554260583149536,7.9231591436809135,1.79189557294001,23.383951304176854,10.353710732311727,7.399999999999999,0.2799230499045997,0.4491418761861983,4
FANG,ep,2026Q1,15218000000.0,-1.9122092259166774,2941386692.8670087,19.328339419549277,-0.4232270571056592,-170.00529388881588,628.7118039311752,198.3636106155283,47.0,30.699999999999996,12.346899375756083,3
HAL,services,2026Q1,22169000000.0,11.313094862194957,1954113227.6303058,8.814620540530948,12.750184148295945,272.8143888188763,56.16839122105998,58.93715613622277,11.129959059750005,2.3271940513100695,8.355002427183205,-15
KMI,midstream,2026Q1,17524000000.0,28.663547135357227,4582390977.43906,26.14922949919573,6.101174758661376,-171.16439172215627,11.958332730821652,-61.3998292204028,-29.888843813387425,-21.355105063621437,-19.918361451901102,3
MGY,ep,2026Q1,1320056000.0,32.65944778100323,403219037.5213463,30.545600907942262,15.803748524996095,-40.25014253568694,57.6492212820504,104.86575171446945,23.668044570160813,18.888414931776005,26.873019822640263,-15
MPC,refining,2026Q1,135382000000.0,6.653764902276521,6819377980.464104,5.037137862096959,14.387282245960453,64.71102607690958,696.09981867638,92.97510986935207,21.599999999999998,1.7508698210506157,7.531673591020162,4
