ticker,subindustry,base_financial_quarter,primary_anchor,anchor_route,scenario,probability,probability_class,assumption_validation,growth_pct,operating_margin_pct,roic_pct,reinvestment_rate_pct,wacc_pct,terminal_growth_pct,tax_rate_pct,historical_observations,minimum_history_pass,anchor_growth_override_used,anchor_growth_pct,anchor_growth_source,fixed_ratio_used,production_eligible
DVN,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BEAR,0.2,POSSIBLE,PASS,20.0,23.576831006742992,13.906107503817834,143.82169844803175,7.850703001716201,1.0,27.710843373493976,10,True,True,100.57644159462988,V3.4_FROZEN_REVENUE_NOWCAST,False,False
DVN,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BASE,0.6,POSSIBLE,PASS,20.0,25.328192134033834,16.247171398553256,123.09835053368685,6.350703001716201,2.0,27.710843373493976,10,True,True,100.57644159462988,V3.4_FROZEN_REVENUE_NOWCAST,False,False
DVN,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BULL,0.2,POSSIBLE,PASS,20.0,30.212082185647617,21.65867182740806,92.34176573418003,5.350703001716201,2.5,27.710843373493976,10,True,True,100.57644159462988,V3.4_FROZEN_REVENUE_NOWCAST,False,False
EOG,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BEAR,0.2,PLAUSIBLE,PASS,18.035594028089374,16.789762567846534,7.532675572935127,150.0,8.044723728886035,1.0,22.504892367906066,20,True,True,31.04924432725671,V3.4_FROZEN_REVENUE_NOWCAST,False,False
EOG,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BASE,0.6,PROBABLE,PASS,20.0,33.141800142848666,23.213183285130413,86.15793773020062,6.544723728886035,2.0,22.504892367906066,20,True,True,31.04924432725671,V3.4_FROZEN_REVENUE_NOWCAST,False,False
EOG,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BULL,0.2,PLAUSIBLE,PASS,20.0,38.961111652377525,31.649149260008638,63.1928518384274,5.544723728886035,2.5,22.504892367906066,20,True,True,31.04924432725671,V3.4_FROZEN_REVENUE_NOWCAST,False,False
EPD,midstream,2026Q1,VOLUME_PLUS_FEE_PLUS_ADJUSTED_EBITDA,LAG_ADJUSTED_EBITDA_PLUS_VOLUME_FEE_BRIDGE,BEAR,0.2,PLAUSIBLE,PASS,0.8635597124465928,12.769565257876526,9.733614281910532,8.871932741895046,7.640522159772316,1.0,1.4492753623188406,20,True,True,17.483388704318937,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,False,False
EPD,midstream,2026Q1,VOLUME_PLUS_FEE_PLUS_ADJUSTED_EBITDA,LAG_ADJUSTED_EBITDA_PLUS_VOLUME_FEE_BRIDGE,BASE,0.6,PROBABLE,PASS,12.0,13.85503366170121,11.317283383875505,106.0325132186511,6.140522159772316,2.0,1.4492753623188406,20,True,True,17.483388704318937,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,False,False
EPD,midstream,2026Q1,VOLUME_PLUS_FEE_PLUS_ADJUSTED_EBITDA,LAG_ADJUSTED_EBITDA_PLUS_VOLUME_FEE_BRIDGE,BULL,0.2,PLAUSIBLE,PASS,12.0,16.580301469512058,11.776791264926409,101.89532725894827,5.140522159772316,2.5,1.4492753623188406,20,True,True,17.483388704318937,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,False,False
EQT,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BEAR,0.2,PROBABLE,PASS,-15.0,-20.0,2.0,-50.0,8.21496233922278,1.0,21.806266045785147,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
EQT,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BASE,0.6,PROBABLE,PASS,-14.161127648069428,13.333246988131787,2.827381687448481,-50.0,6.7149623392227795,2.0,21.806266045785147,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
EQT,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BULL,0.2,PLAUSIBLE,PASS,20.0,39.389361456672766,13.97970029790827,143.06458345886375,5.7149623392227795,2.5,21.806266045785147,20,True,False,,HISTORICAL_PIT_DISTRIBUTION,False,False
ET,midstream,2026Q1,VOLUME_PLUS_FEE_PLUS_ADJUSTED_EBITDA,LAG_ADJUSTED_EBITDA_PLUS_VOLUME_FEE_BRIDGE,BEAR,0.2,PLAUSIBLE,PASS,12.0,9.210725685570296,7.802200755236427,150.0,8.587428971306306,1.0,6.3950734249171015,20,True,True,31.039834454216255,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,False,False
ET,midstream,2026Q1,VOLUME_PLUS_FEE_PLUS_ADJUSTED_EBITDA,LAG_ADJUSTED_EBITDA_PLUS_VOLUME_FEE_BRIDGE,BASE,0.6,PROBABLE,PASS,12.0,10.5799230499046,8.349141876186199,143.7273456117322,7.087428971306306,2.0,6.3950734249171015,20,True,True,31.039834454216255,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,False,False
ET,midstream,2026Q1,VOLUME_PLUS_FEE_PLUS_ADJUSTED_EBITDA,LAG_ADJUSTED_EBITDA_PLUS_VOLUME_FEE_BRIDGE,BULL,0.2,PLAUSIBLE,PASS,12.0,11.315076884309105,8.636481728651178,138.94546850241673,6.087428971306306,2.5,6.3950734249171015,20,True,True,31.039834454216255,MIDSTREAM_LATEST_ADJUSTED_EBITDA_YOY_ANCHOR,False,False
FANG,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BEAR,0.2,PLAUSIBLE,PASS,-6.541717819796097,35.059475391814544,8.3777912383599,-50.0,7.420453693081896,1.0,18.181818181818183,20,True,True,25.393333994347667,V3.4_FROZEN_REVENUE_NOWCAST,False,False
FANG,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BASE,0.6,PROBABLE,PASS,20.0,50.0,15.746899375756083,127.00913064061352,5.920453693081896,2.0,18.181818181818183,20,True,True,25.393333994347667,V3.4_FROZEN_REVENUE_NOWCAST,False,False
FANG,ep,2026Q1,PRODUCTION_PLUS_REALIZED_PRICE,V3.5.3_GROUPED_REVENUE_PLUS_CONDITIONAL_COST_REINVESTMENT,BULL,0.2,PLAUSIBLE,PASS,20.0,50.0,20.844265291007492,95.94965195836517,4.920453693081896,2.5,18.181818181818183,20,True,True,25.393333994347667,V3.4_FROZEN_REVENUE_NOWCAST,False,False
HAL,services,2026Q1,ACTIVITY_PLUS_PRICING_PLUS_OPERATING_MARGIN,STRUCTURAL_REVENUE_PLUS_ACTIVITY_MARGIN_BRIDGE,BEAR,0.2,POSSIBLE,PASS,-7.882257121330663,10.9898281458407,11.39946332841701,-50.0,8.458599060637539,1.0,18.45342706502636,20,True,True,0.22995905975000674,PHASE2_4_SERVICES_SELECTED_RESEARCH_ROUTE,False,False
HAL,services,2026Q1,ACTIVITY_PLUS_PRICING_PLUS_OPERATING_MARGIN,STRUCTURAL_REVENUE_PLUS_ACTIVITY_MARGIN_BRIDGE,BASE,0.6,PROBABLE,PASS,0.22995905975000674,13.32719405131007,15.055002427183206,1.527459466461422,6.95859906063754,2.0,18.45342706502636,20,True,True,0.22995905975000674,PHASE2_4_SERVICES_SELECTED_RESEARCH_ROUTE,False,False
