ticker,subindustry,probability_weighted_fair_value,scenario_probability_sum,market_price,probability_weighted_value_gap_pct,production_eligible
AR,ep,51.42534502265498,1.0,37.93999862670898,35.54387686891638,False
BKR,services,35.21456255595302,1.0,62.34000015258789,-43.51209100134855,False
CNX,ep,63.61853657120006,1.0,36.36000061035156,74.9684694809606,False
COP,ep,254.37737290148092,1.0,134.8699951171875,88.60931423661312,False
CVX,integrated,199.01788489491656,1.0,205.2700042724609,-3.045802721982571,False
DVN,ep,138.02375167731844,1.0,49.09999847412109,181.10744596064703,False
EOG,ep,322.1478958932687,1.0,153.0500030517578,110.48539004884965,False
EPD,midstream,65.59694151628153,1.0,38.0099983215332,72.57812263338074,False
EQT,ep,30.164539408125957,1.0,53.720001220703125,-43.8485876346167,False
ET,midstream,23.383951304176854,1.0,21.19,10.353710732311727,False
FANG,ep,628.7118039311752,1.0,210.72000122070312,198.3636106155283,False
HAL,services,56.16839122105998,1.0,35.34000015258789,58.93715613622277,False
KMI,midstream,11.958332730821652,1.0,30.979999542236328,-61.3998292204028,False
MGY,ep,57.6492212820504,1.0,28.13999938964844,104.86575171446945,False
MPC,refining,696.09981867638,1.0,360.7200012207031,92.97510986935207,False
MTDR,ep,241.35606824663193,1.0,58.380001068115234,313.42251426996074,False
NOG,ep,84.68395571860356,1.0,27.34000015258789,209.74380119228977,False
OVV,ep,54.252682356769824,1.0,66.82,-18.807718711808096,False
PR,ep,30.283686694615987,1.0,23.75,27.510259766804147,False
PSX,refining,302.7632482271622,1.0,242.8699951171875,24.66062268460767,False
RRC,ep,52.73092203734663,1.0,41.060001373291016,28.424063014394818,False
SLB,services,52.72724086065267,1.0,53.869998931884766,-2.121325587321876,False
SM,ep,126.36197383828522,1.0,37.20000076293945,239.6827184051391,False
VLO,refining,347.1017753872942,1.0,348.8599853515625,-0.5039872837512394,False
WMB,midstream,20.483042244065924,1.0,70.48999786376953,-70.94191677569364,False
XOM,integrated,181.28499739391407,1.0,165.11000061035156,9.796497319223207,False
