ticker,subindustry,quarter,operating_margin_pct,fcff_margin_pct,fcff_less_operating_margin_pct_points,fcff_margin_above_operating_margin,ttm_nopat_usd,ttm_cfo_usd,after_tax_interest_usd,cash_conversion_adjustment_usd,ttm_cash_capex_usd,fcff_less_nopat_usd,ttm_fcff_usd,cash_capex_sign_status,incremental_roic_pct
AR,ep,2026Q1,23.8579830223225,33.17777010339113,9.319787081068633,True,1028829713.1308463,2032249000.0,76873146.41044454,1080292433.2795982,239783000.0,836883702.4200342,1865713415.5508804,PASS_NONNEGATIVE,39.30972285027799
BKR,services,2026Q1,13.791990822070051,8.910114305064756,-4.881876517005296,False,2876418183.1117125,3601000000.0,189219780.21978024,913801597.108068,1309000000.0,-391120000.0,2485298183.1117125,PASS_NONNEGATIVE,64.47610307274842
CNX,ep,2026Q1,56.85924441122512,23.516666814780177,-33.34257759644494,False,1313828571.0262399,1090814000.0,137704996.7904203,-85309574.23581958,533429000.0,-621639000.0000001,692189571.0262398,PASS_NONNEGATIVE,
COP,ep,2026Q1,24.389812174255088,34.09784891359121,9.70803673933612,True,8071365130.924761,17976000000.0,551200000.0,10455834869.07524,1190913850.8093128,9265686149.190687,17337051280.115448,PASS_NONNEGATIVE,298.023986921545
CVX,integrated,2026Q1,10.238491169722357,7.951416239485762,-2.287074930236595,False,12746717251.570007,31264000000.0,877500000.0,19394782748.429993,17038000000.0,2363199999.999996,15109917251.570004,PASS_NONNEGATIVE,-10.623364838812405
DVN,ep,2026Q1,20.747730530339226,19.686651451801595,-1.061079078537631,False,2661332919.0896597,6424000000.0,352771084.3373494,4115438165.2476892,3497000000.0,634999999.9999995,3296332919.089659,PASS_NONNEGATIVE,130.83450550346822
EOG,ep,2026Q1,29.827499581309663,17.436035030714837,-12.391464550594826,False,5562348876.99876,10721000000.0,196837573.38551858,5355488696.386759,6755000000.0,-1397926270.2628279,4164422606.7359324,PASS_NONNEGATIVE,-5.6927275277901455
EPD,midstream,2026Q1,14.35081935421313,9.566014744689365,-4.784804609523764,False,6573898816.918072,7740000000.0,1425043478.2608697,2591144661.342798,4091001181.3138237,-1641183313.8190002,4932715503.0990715,PASS_NONNEGATIVE,-21.11815084143211
EQT,ep,2026Q1,46.57477217223566,42.56539399231464,-4.009378179921022,False,3733655728.151642,6439832000.0,326773960.0066825,3032950231.8550406,2387281000.0,643385024.5102453,4377040752.661887,PASS_NONNEGATIVE,153.47319364461745
ET,midstream,2026Q1,10.314562181022245,7.554260583149536,-2.760301597872709,False,8858884238.54963,10610000000.0,3381009947.8919945,5132125709.342365,6995000000.0,-1887283774.1784172,6971600464.371212,PASS_NONNEGATIVE,1.79189557294001
FANG,ep,2026Q1,-1.9122092259166774,19.328339419549277,21.240548645465953,True,-233200224.60050377,8231000000.0,218454545.45454544,8682654770.055048,5502000000.0,3174586917.4675126,2941386692.8670087,PASS_NONNEGATIVE,-170.00529388881588
HAL,services,2026Q1,11.313094862194957,8.814620540530948,-2.498474321664009,False,2048189581.5822606,2822000000.0,283782073.81370825,1057592492.2314477,1144000000.0,-94076353.95195484,1954113227.6303058,PASS_NONNEGATIVE,272.8143888188763
KMI,midstream,2026Q1,28.663547135357227,26.14922949919573,-2.514317636161497,False,3948131198.077363,6246000000.0,1383369565.2173913,3681238367.140028,3064000000.0,634259779.3616972,4582390977.43906,PASS_NONNEGATIVE,-171.16439172215627
MGY,ep,2026Q1,32.65944778100323,30.545600907942262,-2.113846873060968,False,350797149.32796293,851765000.0,18530449.90305938,519498300.5750964,466736000.0,52421888.193383336,403219037.5213463,PASS_NONNEGATIVE,-40.25014253568694
MPC,refining,2026Q1,6.653764902276521,5.037137862096959,-1.6166270401795622,False,7500377980.464104,9438000000.0,1104489361.7021277,3042111381.2380238,3736000000.0,-681000000.0,6819377980.464104,PASS_NONNEGATIVE,64.71102607690958
MTDR,ep,2026Q1,24.61652391670808,64.76388003422008,40.147356117512004,True,685505872.5469205,2167682000.0,166339240.0,1648515367.4530795,5436000.0,1640777078.148246,2326282950.6951666,PASS_NONNEGATIVE,-86.27770526490663
NOG,ep,2026Q1,-33.977358257560994,82.75582639013773,116.73318464769872,True,-510312435.31894565,1421477000.0,135181640.0,2066971075.3189456,439000.0,2065008078.0303237,1554695642.711378,PASS_NONNEGATIVE,337.6400320722244
OVV,ep,2026Q1,5.256627185561196,22.54789702683104,17.291269841269845,True,352392938.5964912,3835000000.0,302570000.0,3785177061.4035087,2135000000.0,1646478132.8320804,1998871071.4285717,PASS_NONNEGATIVE,-19.95588418554454
PR,ep,2026Q1,28.078341415027186,48.903921926869785,20.8255805118426,True,1107549940.8885827,3524585000.0,213328025.95491546,2630363085.066333,1253973000.0,1375256205.6519852,2482806146.540568,PASS_NONNEGATIVE,-52.18463671541268
