subindustry,tickers,median_operating_margin_pct,median_fcff_margin_pct,median_fcff_less_operating_margin_pct_points,median_cash_conversion_adjustment_usd,median_cash_capex_usd,fcff_margin_above_operating_margin_tickers
ep,14,24.503168045481583,31.8616855056667,9.513911910202376,2348667080.1926394,899015925.4046564,8
integrated,2,10.703156835855953,6.86002846341182,-3.8431283724441343,20409115998.315315,22984000000.0,0
midstream,4,21.50718324478518,12.952931946527348,-3.7725531036982365,3763157005.456728,4665500590.656912,0
refining,3,4.656678150789199,4.012927388934113,-1.6166270401795622,2350129942.845973,1670510723.0084648,0
services,3,13.108322435237485,8.910114305064756,-2.498474321664009,1057592492.2314477,1309000000.0,1
