ticker,subindustry,scenario,enterprise_value_usd,pv_explicit_fcff_usd,pv_terminal_value_usd,terminal_value_share,terminal_value_share_pct,terminal_dependence_status
AR,ep,BEAR,1656921.9112616181,462150610.38746417,-460493688.47620255,-277.9211774232451,-27792.117742324514,UNSTABLE_OR_NONPOSITIVE_ENTERPRISE_VALUE
AR,ep,BASE,18566094787.835796,-570394764.1830444,19136489552.01884,1.0307223878096732,103.07223878096733,UNSTABLE_OR_NONPOSITIVE_ENTERPRISE_VALUE
AR,ep,BULL,74870091844.00357,5162611014.771988,69707480829.23158,0.9310457502105299,93.104575021053,HIGH_TERMINAL_DEPENDENCE
BKR,services,BEAR,15921481780.39721,4257354046.2082233,11664127734.188986,0.7326031518341498,73.26031518341497,TERMINAL_DEPENDENCE_WARNING
BKR,services,BASE,37526774313.98764,7214751615.175617,30312022698.812023,0.8077438909401172,80.77438909401172,HIGH_TERMINAL_DEPENDENCE
BKR,services,BULL,73549561041.30544,9164012239.769928,64385548801.53551,0.8754035767171552,87.54035767171551,HIGH_TERMINAL_DEPENDENCE
CNX,ep,BEAR,-8713459001.187183,-7120596528.214898,-1592862472.9722853,0.18280483935888864,18.280483935888864,UNSTABLE_OR_NONPOSITIVE_ENTERPRISE_VALUE
CNX,ep,BASE,13194210568.809784,6054067981.25501,7140142587.554774,0.5411572409215285,54.11572409215285,NORMAL
CNX,ep,BULL,42633576199.85771,4560231578.176216,38073344621.681496,0.8930366160981017,89.30366160981016,HIGH_TERMINAL_DEPENDENCE
COP,ep,BEAR,87894167403.90701,19080078448.357635,68814088955.54938,0.7829198567786934,78.29198567786933,TERMINAL_DEPENDENCE_WARNING
COP,ep,BASE,242651410406.84454,36434403303.295654,206217007103.5489,0.8498487882588135,84.98487882588135,HIGH_TERMINAL_DEPENDENCE
COP,ep,BULL,635579866068.3569,50928801195.158325,584651064873.1986,0.9198703358710848,91.98703358710848,HIGH_TERMINAL_DEPENDENCE
CVX,integrated,BEAR,170073304903.7157,46138198679.734985,123935106223.98071,0.7287158104803373,72.87158104803373,TERMINAL_DEPENDENCE_WARNING
CVX,integrated,BASE,307520599171.7319,57648145198.16809,249872453973.56378,0.8125389149428164,81.25389149428163,HIGH_TERMINAL_DEPENDENCE
CVX,integrated,BULL,768520462074.9731,76354682937.84009,692165779137.133,0.9006471698467395,90.06471698467395,HIGH_TERMINAL_DEPENDENCE
DVN,ep,BEAR,22665974471.77619,6376965642.073254,16289008829.702938,0.7186546887708759,71.8654688770876,TERMINAL_DEPENDENCE_WARNING
