ticker,subindustry,probability_weighted_fair_value,default_scenario_weight_sum,market_price,probability_weighted_value_gap_pct,scenario_weight_interpretation,production_eligible
AR,ep,75.16570258422018,1.0,37.93999862670898,98.1173044410842,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
BKR,services,39.90376197983507,1.0,62.34000015258789,-35.99011568469083,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
CNX,ep,87.20423094712775,1.0,36.36000061035156,139.8356146405042,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
COP,ep,224.82311442459513,1.0,134.8699951171875,66.69616858015608,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
CVX,integrated,184.30585002231612,1.0,205.2700042724609,-10.212965271983165,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
DVN,ep,124.13390484186971,1.0,49.09999847412109,152.8185513229627,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
EOG,ep,261.52746503261505,1.0,153.0500030517578,70.87713807112618,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
EPD,midstream,69.45458135972166,1.0,38.0099983215332,82.72713608717697,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
EQT,ep,29.579387384805145,1.0,53.720001220703125,-44.93785049765494,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
ET,midstream,30.215286853545066,1.0,21.19,42.592198459391525,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
FANG,ep,549.8987196038124,1.0,210.72000122070312,160.961805437663,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
HAL,services,52.122416362677754,1.0,35.34000015258789,47.48844407931028,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
KMI,midstream,11.678362468281367,1.0,30.979999542236328,-62.303542153511756,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
MGY,ep,51.5572175262981,1.0,28.13999938964844,83.21683953292445,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
MPC,refining,485.7623338965054,1.0,360.7200012207031,34.664651877536535,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
MTDR,ep,223.6377909102694,1.0,58.380001068115234,283.0726050335946,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
NOG,ep,90.27542382982358,1.0,27.34000015258789,230.19540353323106,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
OVV,ep,59.3540024716761,1.0,66.82,-11.173297707758001,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
PR,ep,31.116710247235453,1.0,23.75,31.017727356780856,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
PSX,refining,268.8437554441165,1.0,242.8699951171875,10.694511816659924,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
RRC,ep,42.06198474846197,1.0,41.060001373291016,2.4402906518720346,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
SLB,services,53.41206827987101,1.0,53.869998931884766,-0.8500661984285229,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
SM,ep,118.29397713062447,1.0,37.20000076293945,217.99455565730793,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
VLO,refining,291.4873669956377,1.0,348.8599853515625,-16.445743497382704,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
WMB,midstream,15.223740390628983,1.0,70.48999786376953,-78.40297793730862,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
XOM,integrated,158.5075616716597,1.0,165.11000061035156,-3.9988122550330463,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
