ticker,subindustry,variable,test,target_enterprise_value_usd,solved_assumption,original_assumption,assumption_error,forward_roundtrip_error_pct,solver_status
EOG,ep,operating_margin,A_FORWARD_BASE_TO_REVERSE,127632258702.26196,32.7776948120445,32.77769481204113,3.367972567502875e-12,1.0281537541666522e-11,SOLVED
EOG,ep,operating_margin,B_MARKET_REVERSE_TO_FORWARD,85600798141.95328,21.983445765916258,32.77769481204113,,-5.392220389991944e-11,SOLVED
EOG,ep,roic,A_FORWARD_BASE_TO_REVERSE,127632258702.26196,20.58090111956117,20.580901119557726,3.4425795547576854e-12,2.008486403488344e-12,SOLVED
EOG,ep,roic,B_MARKET_REVERSE_TO_FORWARD,85600798141.95328,5.509061004404613,20.580901119557726,,1.960807414542525e-12,SOLVED
EPD,midstream,growth,A_FORWARD_BASE_TO_REVERSE,162030532335.6465,5.455190972890705,5.455190972956087,-6.538236618780502e-11,-7.789933249341772e-11,SOLVED
EPD,midstream,growth,B_MARKET_REVERSE_TO_FORWARD,116987825849.31642,-18.803516629966907,5.455190972956087,,7.331502461699408e-11,SOLVED
EPD,midstream,operating_margin,A_FORWARD_BASE_TO_REVERSE,162030532335.6465,15.396162965131225,15.396162965137034,-5.808686864838819e-12,-3.774426071489582e-11,SOLVED
EPD,midstream,operating_margin,B_MARKET_REVERSE_TO_FORWARD,116987825849.31642,11.116198939474998,15.396162965137034,,-5.903287696433289e-11,SOLVED
EPD,midstream,roic,A_FORWARD_BASE_TO_REVERSE,162030532335.6465,10.321728417087435,10.321728417088226,-7.904787935331115e-13,-2.203631987845714e-12,SOLVED
EPD,midstream,roic,B_MARKET_REVERSE_TO_FORWARD,116987825849.31642,5.263001050151798,10.321728417088226,,3.9429161967118505e-11,SOLVED
EQT,ep,growth,A_FORWARD_BASE_TO_REVERSE,21628993237.810226,-12.1295743053779,-12.129574305530257,1.5235634975852008e-10,4.081192950407496e-11,SOLVED
EQT,ep,growth,B_MARKET_REVERSE_TO_FORWARD,42934809923.52295,,-12.129574305530257,,-49.12216176332078,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
EQT,ep,operating_margin,A_FORWARD_BASE_TO_REVERSE,21628993237.810226,18.628728272975422,18.62872827295765,1.7770673821360106e-11,9.538068917806283e-11,SOLVED
EQT,ep,operating_margin,B_MARKET_REVERSE_TO_FORWARD,42934809923.52295,36.979109416832216,18.62872827295765,,6.421975987561347e-11,SOLVED
EQT,ep,roic,A_FORWARD_BASE_TO_REVERSE,21628993237.810226,6.019614264104166,6.019614264070633,3.353317623577823e-11,3.160543546728709e-11,SOLVED
EQT,ep,roic,B_MARKET_REVERSE_TO_FORWARD,42934809923.52295,,6.019614264070633,,-47.05187633373582,UNBRACKETED_NO_SOLUTION_IN_DOMAIN
ET,midstream,growth,A_FORWARD_BASE_TO_REVERSE,175025075590.17664,7.112389077432454,7.112389077441145,-8.691714015185426e-12,-3.487223533210439e-12,SOLVED
ET,midstream,growth,B_MARKET_REVERSE_TO_FORWARD,155945909000.0,-11.948087061522529,7.112389077441145,,7.307189874326873e-11,SOLVED
