ticker,subindustry,scenario,variable,raw_value,clipped_value,lower_bound,upper_bound,hit_lower_bound,hit_upper_bound,boundary_hit,boundary_side,same_boundary_all_three_scenarios
AR,ep,BEAR,growth,,-15.0,-15.0,20.0,True,False,True,LOWER,False
AR,ep,BEAR,operating_margin,,-3.973458218851333,-20.0,50.0,False,False,False,NONE,False
AR,ep,BEAR,reinvestment_rate,,-50.0,-50.0,150.0,True,False,True,LOWER,False
AR,ep,BEAR,roic,,2.0,2.0,35.0,True,False,True,LOWER,False
AR,ep,BEAR,wacc,,7.690596691205954,3.0,20.0,False,False,False,NONE,False
AR,ep,BEAR,terminal_growth,,1.0,0.0,3.0,False,False,False,NONE,False
AR,ep,BASE,growth,,18.95976397361393,-15.0,20.0,False,False,False,NONE,False
AR,ep,BASE,operating_margin,,13.654051084597407,-20.0,50.0,False,False,False,NONE,False
AR,ep,BASE,reinvestment_rate,,150.0,-50.0,150.0,False,True,True,UPPER,False
AR,ep,BASE,roic,,5.926828537431934,2.0,35.0,False,False,False,NONE,False
AR,ep,BASE,wacc,,6.190596691205954,3.0,20.0,False,False,False,NONE,False
AR,ep,BASE,terminal_growth,,2.0,0.0,3.0,False,False,False,NONE,False
AR,ep,BULL,growth,,20.0,-15.0,20.0,False,True,True,UPPER,False
AR,ep,BULL,operating_margin,,29.3449346914442,-20.0,50.0,False,False,False,NONE,False
AR,ep,BULL,reinvestment_rate,,100.75541647336176,-50.0,150.0,False,False,False,NONE,False
AR,ep,BULL,roic,,19.85004945643563,2.0,35.0,False,False,False,NONE,False
AR,ep,BULL,wacc,,5.190596691205954,3.0,20.0,False,False,False,NONE,False
AR,ep,BULL,terminal_growth,,2.5,0.0,3.0,False,False,False,NONE,False
BKR,services,BEAR,growth,,-1.3679402812930077,-15.0,20.0,False,False,False,NONE,False
BKR,services,BEAR,operating_margin,,5.835792096582904,-10.0,30.0,False,False,False,NONE,False
BKR,services,BEAR,reinvestment_rate,,-34.1917045739649,-50.0,150.0,False,False,False,NONE,False
BKR,services,BEAR,roic,,4.000795802191795,2.0,35.0,False,False,False,NONE,False
BKR,services,BEAR,wacc,,8.10816145864369,3.0,20.0,False,False,False,NONE,False
BKR,services,BEAR,terminal_growth,,1.0,0.0,3.0,False,False,False,NONE,False
BKR,services,BASE,growth,,1.5559782197755334,-15.0,20.0,False,False,False,NONE,False
BKR,services,BASE,operating_margin,,9.278203944050992,-10.0,30.0,False,False,False,NONE,False
BKR,services,BASE,reinvestment_rate,,17.37588525495507,-50.0,150.0,False,False,False,NONE,False
BKR,services,BASE,roic,,8.954814082533241,2.0,35.0,False,False,False,NONE,False
BKR,services,BASE,wacc,,6.60816145864369,3.0,20.0,False,False,False,NONE,False
BKR,services,BASE,terminal_growth,,2.0,0.0,3.0,False,False,False,NONE,False
BKR,services,BULL,growth,,13.05492075694946,-15.0,20.0,False,False,False,NONE,False
BKR,services,BULL,operating_margin,,11.186499276637596,-10.0,30.0,False,False,False,NONE,False
BKR,services,BULL,reinvestment_rate,,111.0790774994216,-50.0,150.0,False,False,False,NONE,False
BKR,services,BULL,roic,,11.752817047852634,2.0,35.0,False,False,False,NONE,False
BKR,services,BULL,wacc,,5.60816145864369,3.0,20.0,False,False,False,NONE,False
BKR,services,BULL,terminal_growth,,2.5,0.0,3.0,False,False,False,NONE,False
CNX,ep,BEAR,growth,,-15.0,-15.0,20.0,True,False,True,LOWER,False
CNX,ep,BEAR,operating_margin,,-20.0,-20.0,50.0,True,False,True,LOWER,False
CNX,ep,BEAR,reinvestment_rate,,-50.0,-50.0,150.0,True,False,True,LOWER,False
CNX,ep,BEAR,roic,,2.0,2.0,35.0,True,False,True,LOWER,False
CNX,ep,BEAR,wacc,,8.086456160827698,3.0,20.0,False,False,False,NONE,False
CNX,ep,BEAR,terminal_growth,,1.0,0.0,3.0,False,False,False,NONE,False
CNX,ep,BASE,growth,,-15.0,-15.0,20.0,True,False,True,LOWER,False
CNX,ep,BASE,operating_margin,,40.28486193153972,-20.0,50.0,False,False,False,NONE,False
CNX,ep,BASE,reinvestment_rate,,-50.0,-50.0,150.0,True,False,True,LOWER,False
CNX,ep,BASE,roic,,2.0,2.0,35.0,True,False,True,LOWER,False
