ticker,subindustry,scenario,variable,raw_value,clipped_value,lower_bound,upper_bound,hit_lower_bound,hit_upper_bound,boundary_hit,boundary_side,same_boundary_all_three_scenarios
COP,ep,BASE,operating_margin,32.23259549982627,32.23259549982627,-20.0,50.0,False,False,False,NONE,False
COP,ep,BASE,reinvestment_rate,31.10439443590896,31.10439443590896,-50.0,150.0,False,False,False,NONE,False
COP,ep,BASE,roic,16.86619375506222,16.86619375506222,3.0,35.0,False,False,False,NONE,False
COP,ep,BASE,wacc,6.393861867479845,6.393861867479845,3.0,20.0,False,False,False,NONE,False
COP,ep,BASE,terminal_growth,2.0,2.0,0.0,3.0,False,False,False,NONE,False
COP,ep,BULL,growth,21.87432296759342,20.0,-15.0,20.0,False,True,True,UPPER,False
COP,ep,BULL,operating_margin,42.57754190447099,42.57754190447099,-20.0,50.0,False,False,False,NONE,False
COP,ep,BULL,reinvestment_rate,44.05744181553556,44.05744181553556,-50.0,150.0,False,False,False,NONE,False
COP,ep,BULL,roic,25.53484618354082,25.53484618354082,3.5,35.0,False,False,False,NONE,False
COP,ep,BULL,wacc,5.393861867479845,5.393861867479845,3.0,20.0,False,False,False,NONE,False
COP,ep,BULL,terminal_growth,2.5,2.5,0.0,3.0,False,False,False,NONE,False
CVX,integrated,BEAR,growth,2.637493076242121,2.637493076242121,-10.0,15.0,False,False,False,NONE,False
CVX,integrated,BEAR,operating_margin,11.3882304542092,11.3882304542092,-5.0,30.0,False,False,False,NONE,False
CVX,integrated,BEAR,reinvestment_rate,21.17540471289727,21.17540471289727,-50.0,150.0,False,False,False,NONE,False
CVX,integrated,BEAR,roic,8.588957626927053,8.588957626927053,2.0,30.0,False,False,False,NONE,False
CVX,integrated,BEAR,wacc,8.403575287693794,8.403575287693794,3.0,20.0,False,False,False,NONE,False
CVX,integrated,BEAR,terminal_growth,1.0,1.0,0.0,3.0,False,False,False,NONE,False
CVX,integrated,BASE,growth,4.312048233278697,4.312048233278697,-10.0,15.0,False,False,False,NONE,False
CVX,integrated,BASE,operating_margin,13.905561226129684,13.905561226129684,-5.0,30.0,False,False,False,NONE,False
CVX,integrated,BASE,reinvestment_rate,25.860666377719614,25.860666377719614,-50.0,150.0,False,False,False,NONE,False
CVX,integrated,BASE,roic,12.203955112921747,12.203955112921747,3.0,30.0,False,False,False,NONE,False
CVX,integrated,BASE,wacc,6.903575287693793,6.903575287693793,3.0,20.0,False,False,False,NONE,False
CVX,integrated,BASE,terminal_growth,2.0,2.0,0.0,3.0,False,False,False,NONE,False
CVX,integrated,BULL,growth,14.998793866943101,14.998793866943101,-10.0,15.0,False,False,False,NONE,False
CVX,integrated,BULL,operating_margin,18.61548348704684,18.61548348704684,-5.0,30.0,False,False,False,NONE,False
CVX,integrated,BULL,reinvestment_rate,42.31764530031206,42.31764530031206,-50.0,150.0,False,False,False,NONE,False
CVX,integrated,BULL,roic,20.67552878091502,20.67552878091502,3.5,30.0,False,False,False,NONE,False
CVX,integrated,BULL,wacc,5.903575287693793,5.903575287693793,3.0,20.0,False,False,False,NONE,False
CVX,integrated,BULL,terminal_growth,2.5,2.5,0.0,3.0,False,False,False,NONE,False
DVN,ep,BEAR,growth,0.9015387375393611,0.9015387375393611,-15.0,20.0,False,False,False,NONE,False
DVN,ep,BEAR,operating_margin,14.511809216636944,14.511809216636944,-20.0,50.0,False,False,False,NONE,False
DVN,ep,BEAR,reinvestment_rate,11.84374726099238,11.84374726099238,-50.0,150.0,False,False,False,NONE,False
DVN,ep,BEAR,roic,8.02760602551068,8.02760602551068,2.0,35.0,False,False,False,NONE,False
DVN,ep,BEAR,wacc,7.850703001716201,7.850703001716201,3.0,20.0,False,False,False,NONE,False
DVN,ep,BEAR,terminal_growth,1.0,1.0,0.0,3.0,False,False,False,NONE,False
DVN,ep,BASE,growth,4.947518563989792,4.947518563989792,-15.0,20.0,False,False,False,NONE,False
DVN,ep,BASE,operating_margin,28.234520734473158,28.234520734473158,-20.0,50.0,False,False,False,NONE,False
DVN,ep,BASE,reinvestment_rate,22.78096693422199,22.78096693422199,-50.0,150.0,False,False,False,NONE,False
DVN,ep,BASE,roic,15.248515535030036,15.248515535030036,3.0,35.0,False,False,False,NONE,False
DVN,ep,BASE,wacc,6.350703001716201,6.350703001716201,3.0,20.0,False,False,False,NONE,False
DVN,ep,BASE,terminal_growth,2.0,2.0,0.0,3.0,False,False,False,NONE,False
DVN,ep,BULL,growth,11.625108648892741,11.625108648892741,-15.0,20.0,False,False,False,NONE,False
DVN,ep,BULL,operating_margin,37.70490987504891,37.70490987504891,-20.0,50.0,False,False,False,NONE,False
DVN,ep,BULL,reinvestment_rate,28.73451468572723,28.73451468572723,-50.0,150.0,False,False,False,NONE,False
DVN,ep,BULL,roic,24.578644886438344,24.578644886438344,3.5,35.0,False,False,False,NONE,False
DVN,ep,BULL,wacc,5.350703001716201,5.350703001716201,3.0,20.0,False,False,False,NONE,False
DVN,ep,BULL,terminal_growth,2.5,2.5,0.0,3.0,False,False,False,NONE,False
EOG,ep,BEAR,growth,0.5794626401459082,0.5794626401459082,-15.0,20.0,False,False,False,NONE,False
EOG,ep,BEAR,operating_margin,12.901410971034489,12.901410971034489,-20.0,50.0,False,False,False,NONE,False
EOG,ep,BEAR,reinvestment_rate,14.16655120122565,14.16655120122565,-50.0,150.0,False,False,False,NONE,False
EOG,ep,BEAR,roic,5.574619459989873,5.574619459989873,2.0,35.0,False,False,False,NONE,False
EOG,ep,BEAR,wacc,8.044723728886035,8.044723728886035,3.0,20.0,False,False,False,NONE,False
EOG,ep,BEAR,terminal_growth,1.0,1.0,0.0,3.0,False,False,False,NONE,False
EOG,ep,BASE,growth,4.100601455470199,4.100601455470199,-15.0,20.0,False,False,False,NONE,False
EOG,ep,BASE,operating_margin,32.77769481204113,32.77769481204113,-20.0,50.0,False,False,False,NONE,False
EOG,ep,BASE,reinvestment_rate,14.821026105783305,14.821026105783305,-50.0,150.0,False,False,False,NONE,False
EOG,ep,BASE,roic,20.580901119557726,20.580901119557726,3.0,35.0,False,False,False,NONE,False
EOG,ep,BASE,wacc,6.544723728886035,6.544723728886035,3.0,20.0,False,False,False,NONE,False
EOG,ep,BASE,terminal_growth,2.0,2.0,0.0,3.0,False,False,False,NONE,False
EOG,ep,BULL,growth,15.142233946839804,15.142233946839804,-15.0,20.0,False,False,False,NONE,False
EOG,ep,BULL,operating_margin,41.27820674792696,41.27820674792696,-20.0,50.0,False,False,False,NONE,False
EOG,ep,BULL,reinvestment_rate,28.75964835601495,28.75964835601495,-50.0,150.0,False,False,False,NONE,False
EOG,ep,BULL,roic,30.671852674356515,30.671852674356515,3.5,35.0,False,False,False,NONE,False
EOG,ep,BULL,wacc,5.544723728886035,5.544723728886035,3.0,20.0,False,False,False,NONE,False
EOG,ep,BULL,terminal_growth,2.5,2.5,0.0,3.0,False,False,False,NONE,False
EPD,midstream,BEAR,growth,2.279658076111238,2.279658076111238,-5.0,12.0,False,False,False,NONE,False
EPD,midstream,BEAR,operating_margin,12.391994615918811,12.391994615918811,0.0,40.0,False,False,False,NONE,False
EPD,midstream,BEAR,reinvestment_rate,19.39364691905581,19.39364691905581,-50.0,150.0,False,False,False,NONE,False
EPD,midstream,BEAR,roic,8.45549599257866,8.45549599257866,2.0,20.0,False,False,False,NONE,False
EPD,midstream,BEAR,wacc,7.640522159772316,7.640522159772316,3.0,20.0,False,False,False,NONE,False
EPD,midstream,BEAR,terminal_growth,1.0,1.0,0.0,3.0,False,False,False,NONE,False
EPD,midstream,BASE,growth,5.455190972956087,5.455190972956087,-5.0,12.0,False,False,False,NONE,False
EPD,midstream,BASE,operating_margin,15.396162965137034,15.396162965137034,0.0,40.0,False,False,False,NONE,False
EPD,midstream,BASE,reinvestment_rate,36.11406283764249,36.11406283764249,-50.0,150.0,False,False,False,NONE,False
EPD,midstream,BASE,roic,10.321728417088226,10.321728417088226,3.0,20.0,False,False,False,NONE,False
EPD,midstream,BASE,wacc,6.140522159772316,6.140522159772316,3.0,20.0,False,False,False,NONE,False
