ticker,subindustry,scenario,forecast_year,growth_pct,forecast_normalized_roic_pct,reinvestment_rate_pct,nopat_usd,reinvestment_usd,fcff_usd,fundamental_growth_reconstructed_pct,reinvestment_plausibility_status,fcff_identity_error_usd,growth_reinvestment_roic_gap_pct_points
AR,ep,BEAR,1,8.243207786750778,2.0,412.1603893375389,-76424164.32270946,-314990133.2204398,238565968.89773035,8.243207786750778,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,0.0,0.0
AR,ep,BEAR,2,6.432405840063083,2.0,321.6202920031542,-81340076.73182282,-261606192.3004782,180266115.56865537,6.432405840063084,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,0.0,-8.881784197001252e-16
AR,ep,BEAR,3,4.621603893375389,2.0,231.08019466876945,-85099292.88493529,-196647611.66025475,111548318.77531946,4.621603893375389,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,0.0,0.0
AR,ep,BEAR,4,2.8108019466876946,2.0,140.54009733438474,-87491265.46596251,-122960309.64494865,35469044.17898613,2.810801946687695,WITHIN_REFERENCE_RANGE,0.0,-4.440892098500626e-16
AR,ep,BEAR,5,1.0,2.0,50.0,-88366178.12062213,-44183089.060311064,-44183089.060311064,1.0,WITHIN_REFERENCE_RANGE,0.0,0.0
AR,ep,BASE,1,17.34910386876914,8.61795092682996,201.3135606836283,1028638879.3114349,2070789554.5180197,-1042150675.2065848,17.34910386876914,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,0.0,0.0
AR,ep,BASE,2,13.511827901576856,8.61795092682996,156.78701371472147,1167626794.4127047,1830687182.29261,-663060387.8799052,13.511827901576856,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,0.0,0.0
AR,ep,BASE,3,9.67455193438457,8.61795092682996,112.26046674581463,1280589455.0379517,1437595699.3232884,-157006244.28533673,9.674551934384573,WITHIN_REFERENCE_RANGE,0.0,-1.7763568394002505e-15
AR,ep,BASE,4,5.837275967192285,8.61795092682996,67.73391977690777,1355340995.5352807,918025582.6194102,437315412.91587055,5.8372759671922845,WITHIN_REFERENCE_RANGE,0.0,8.881784197001252e-16
AR,ep,BASE,5,2.0,8.61795092682996,23.207372808000926,1382447815.4459863,320829818.40661466,1061617997.0393716,2.0,WITHIN_REFERENCE_RANGE,0.0,0.0
