ticker,subindustry,market_enterprise_value_usd,base_forward_enterprise_value_usd,our_base_growth_pct,market_implied_growth_pct,growth_solver_status,growth_solver_residual_pct_of_market_ev,growth_expectations_gap_pct_points,our_base_operating_margin_pct,market_implied_operating_margin_pct,operating_margin_solver_status,operating_margin_solver_residual_pct_of_market_ev,operating_margin_expectations_gap_pct_points,our_base_roic_pct,market_implied_roic_pct,roic_solver_status,roic_solver_residual_pct_of_market_ev,roic_expectations_gap_pct_points,our_competitive_advantage_period_years,market_implied_competitive_advantage_period_years,cap_solver_status,cap_solver_residual_pct_of_market_ev,cap_expectations_gap_years,reverse_dcf_method,production_eligible_x,probability_weighted_fair_value,default_scenario_weight_sum,market_price,probability_weighted_value_gap_pct,scenario_weight_interpretation,production_eligible_y
AR,ep,14580143414.505005,18566094787.835796,17.34910386876914,-9.545353026827797,SOLVED,-3.8565215784759456e-11,26.89445689559694,19.72517788473904,15.490383180876961,SOLVED,-2.0381481069421718e-11,4.234794703862079,8.61795092682996,6.402173199901338,SOLVED,-1.05962770643335e-12,2.215777726928623,5,1,DISCRETE_NEAREST,17.451026801919078,4,BRACKETED_CONTINUOUS_ROOT_OR_EXPLICIT_UNBRACKETED_STATUS,False,75.16570258422018,1.0,37.93999862670898,98.1173044410842,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
BKR,services,62668562722.357666,37526774313.98764,2.6912104418376295,,UNBRACKETED_NO_SOLUTION_IN_DOMAIN,-15.896985189045953,,10.40239770162312,17.371685276564676,SOLVED,2.8670234868309424e-11,-6.969287574941557,9.859350124556926,,UNBRACKETED_NO_SOLUTION_IN_DOMAIN,-26.804800620621467,,5,20,DISCRETE_NEAREST,-39.145184024428126,-15,BRACKETED_CONTINUOUS_ROOT_OR_EXPLICIT_UNBRACKETED_STATUS,False,39.90376197983507,1.0,62.34000015258789,-35.99011568469083,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
CNX,ep,7507230404.191071,13194210568.809784,-10.897467145250591,25.336865789315198,SOLVED,6.85984182091806e-11,-36.234332934565785,37.879881803963315,21.552862060430925,SOLVED,-1.4177006429897326e-11,16.32701974353239,5.201469322402524,1.0711981244113535,SOLVED,4.217532378786659e-12,4.130271197991171,5,1,DISCRETE_NEAREST,69.33663318275094,4,BRACKETED_CONTINUOUS_ROOT_OR_EXPLICIT_UNBRACKETED_STATUS,False,87.20423094712775,1.0,36.36000061035156,139.8356146405042,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
COP,ep,180696306775.3888,242651410406.8445,8.492254863798395,-8.743685924680904,SOLVED,2.3593762042751227e-11,17.235940788479297,32.23259549982627,24.002790483820718,SOLVED,-7.79590591190692e-11,8.22980501600555,16.86619375506222,7.0473056328719395,SOLVED,-5.134218798136273e-12,9.81888812219028,5,1,DISCRETE_NEAREST,25.990698817878215,4,BRACKETED_CONTINUOUS_ROOT_OR_EXPLICIT_UNBRACKETED_STATUS,False,224.82311442459513,1.0,134.8699951171875,66.69616858015608,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
CVX,integrated,413983274956.66345,307520599171.7319,4.312048233278697,31.07498022564687,SOLVED,-3.4986057298187165e-11,-26.762931992368173,13.905561226129684,18.719623309822055,SOLVED,3.532515519867529e-11,-4.81406208369237,12.203955112921747,,UNBRACKETED_NO_SOLUTION_IN_DOMAIN,-12.349653984135736,,5,20,DISCRETE_NEAREST,-20.44505255132643,-15,BRACKETED_CONTINUOUS_ROOT_OR_EXPLICIT_UNBRACKETED_STATUS,False,184.30585002231612,1.0,205.2700042724609,-10.212965271983165,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
DVN,ep,37133739051.81885,72967813294.25754,4.947518563989792,,UNBRACKETED_NO_SOLUTION_IN_DOMAIN,4.82589447360903,,28.234520734473158,14.368709679954918,SOLVED,-7.184838736155883e-11,13.86581105451824,15.248515535030036,4.024184018893175,SOLVED,3.4496266050917154e-11,11.22433151613686,5,1,DISCRETE_NEAREST,91.12861601420751,4,BRACKETED_CONTINUOUS_ROOT_OR_EXPLICIT_UNBRACKETED_STATUS,False,124.13390484186971,1.0,49.09999847412109,152.8185513229627,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
EOG,ep,85600798141.95328,127632258702.26196,4.100601455470199,-16.912105590919964,SOLVED,-4.600767215394779e-11,21.01270704639016,32.77769481204113,21.983445765916258,SOLVED,-5.392220389991944e-11,10.794249046124875,20.580901119557726,5.509061004404613,SOLVED,1.960807414542525e-12,15.071840115153114,5,1,DISCRETE_NEAREST,45.85815740401358,4,BRACKETED_CONTINUOUS_ROOT_OR_EXPLICIT_UNBRACKETED_STATUS,False,261.52746503261505,1.0,153.0500030517578,70.87713807112618,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
EPD,midstream,116987825849.31642,162030532335.6465,5.455190972956087,-18.803516629966907,SOLVED,7.331502461699408e-11,24.258707602922996,15.396162965137034,11.116198939474998,SOLVED,-5.903287696433289e-11,4.279964025662036,10.321728417088226,5.263001050151798,SOLVED,3.9442205024335545e-11,5.058727366936427,5,1,DISCRETE_NEAREST,35.104187952797496,4,BRACKETED_CONTINUOUS_ROOT_OR_EXPLICIT_UNBRACKETED_STATUS,False,69.45458135972166,1.0,38.0099983215332,82.72713608717697,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
EQT,ep,42934809923.52295,21628993237.810226,-12.129574305530257,,UNBRACKETED_NO_SOLUTION_IN_DOMAIN,-49.12216176332078,,18.62872827295765,36.979109416832216,SOLVED,6.421975987561347e-11,-18.350381143874564,6.019614264070633,,UNBRACKETED_NO_SOLUTION_IN_DOMAIN,-47.05187633373582,,5,8,DISCRETE_NEAREST,-49.58627814691718,-3,BRACKETED_CONTINUOUS_ROOT_OR_EXPLICIT_UNBRACKETED_STATUS,False,29.579387384805145,1.0,53.720001220703125,-44.93785049765494,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
ET,midstream,155945909000.0,175025075590.17664,7.112389077441145,-11.948087061522529,SOLVED,7.307189874326873e-11,19.060476138963672,13.05679824242517,11.63350030661968,SOLVED,-7.04496077867615e-12,1.4232979358054898,8.201627340167292,6.610875566075263,SOLVED,-3.8258050895310753e-11,1.5907517740920287,5,1,DISCRETE_NEAREST,10.636532081132163,4,BRACKETED_CONTINUOUS_ROOT_OR_EXPLICIT_UNBRACKETED_STATUS,False,30.215286853545066,1.0,21.19,42.592198459391525,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
FANG,ep,79169338287.24002,166453901320.6653,16.513298132646565,-25.33755776612088,SOLVED,-4.868513746070707e-11,41.85085589876745,46.766288937009925,22.243132302188314,SOLVED,-5.381191757335477e-11,24.52315663482161,15.247841184290348,5.074305767233911,SOLVED,-4.556281273044795e-11,10.173535417056437,5,1,DISCRETE_NEAREST,82.21416283526541,4,BRACKETED_CONTINUOUS_ROOT_OR_EXPLICIT_UNBRACKETED_STATUS,False,549.8987196038124,1.0,210.72000122070312,160.961805437663,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
HAL,services,34634956082.37158,43414304068.858795,3.625756986536174,-11.4340939958347,SOLVED,8.326590990771737e-12,15.059850982370875,13.29453349252246,10.606080035708146,SOLVED,-5.370430908862829e-11,2.6884534568143135,14.216627513592615,6.712858065967884,SOLVED,-7.062182729210102e-11,7.50376944762473,5,1,DISCRETE_NEAREST,23.662365367105885,4,BRACKETED_CONTINUOUS_ROOT_OR_EXPLICIT_UNBRACKETED_STATUS,False,52.122416362677754,1.0,35.34000015258789,47.48844407931028,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,False
