ticker,subindustry,scenario,scenario_weight,scenario_weight_source,story_validation_class,enterprise_value_usd,adjusted_total_debt_usd,noncontrolling_interest_usd,preferred_stock_usd,cash_usd,nonoperating_assets_usd,common_equity_value_usd,shares_outstanding,fair_value_per_share,market_price,value_gap_pct,pv_explicit_fcff_usd,pv_terminal_value_usd,terminal_value_share,equity_reconciliation_error_usd,production_eligible
COP,ep,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,242651410406.8445,22262000000.0,0.0,0.0,5877000000.0,0.0,226266410406.8445,1218294007.0,185.7239788645242,134.8699951171875,37.70592836690627,36434403303.29562,206217007103.5489,0.8498487882588136,0.0,False
COP,ep,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,635579866068.3569,22262000000.0,0.0,0.0,5877000000.0,0.0,619194866068.3569,1218294007.0,508.24748583726466,134.8699951171875,276.8425181565791,50928801195.158325,584651064873.1986,0.9198703358710848,0.0,False
CVX,integrated,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,170073304903.7157,5828000000.0,5656000000.0,0.0,6316000000.0,0.0,164905304903.7157,1991597732.0,82.80050848326418,205.2700042724609,-59.662636157321536,46138198679.734985,123935106223.98071,0.7287158104803373,0.0,False
CVX,integrated,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,307520599171.7319,5828000000.0,5656000000.0,0.0,6316000000.0,0.0,302352599171.7319,1991597732.0,151.81409092492976,205.2700042724609,-26.041755850785464,57648145198.16809,249872453973.56378,0.8125389149428164,0.0,False
CVX,integrated,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,768520462074.9731,5828000000.0,5656000000.0,0.0,6316000000.0,0.0,763352462074.9731,1991597732.0,383.2864688535271,205.2700042724609,86.72307734976205,76354682937.84009,692165779137.133,0.9006471698467395,0.0,False
DVN,ep,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,22665974471.77619,8386000000.0,0.0,0.0,1763000000.0,0.0,16042974471.776192,621400000.0,25.817467769192454,49.09999847412109,-47.41859761401022,6376965642.073254,16289008829.702938,0.7186546887708759,0.0,False
DVN,ep,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,72967813294.25754,8386000000.0,0.0,0.0,1763000000.0,0.0,66344813294.25754,621400000.0,106.76667733224579,49.09999847412109,117.44741476625262,12289659428.755875,60678153865.50166,0.8315742397377961,0.0,False
DVN,ep,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,177229627989.14038,8386000000.0,0.0,0.0,1763000000.0,0.0,170606627989.14038,621400000.0,274.5520244434187,49.09999847412109,459.16910993006564,17814035210.405487,159415592778.7349,0.8994861332581647,0.0,False
EOG,ep,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,28212901803.1195,7931000000.0,0.0,0.0,3849000000.0,0.0,24130901803.1195,532628530.0,45.30531213399233,153.0500030517578,-70.39835920900232,8366719777.931477,19846182025.188023,0.7034434870855302,0.0,False
EOG,ep,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,127632258702.26196,7931000000.0,0.0,0.0,3849000000.0,0.0,123550258702.26196,532628530.0,231.9632759857268,153.0500030517578,51.56045172196595,23595931988.42006,104036326713.8419,0.8151256412106269,0.0,False
EOG,ep,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,305785268364.8355,7931000000.0,0.0,0.0,3849000000.0,0.0,301703268364.8355,532628530.0,566.4421850719027,153.0500030517578,270.1026943987356,31689415529.90915,274095852834.92636,0.8963670954478415,0.0,False
EPD,midstream,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,84849443040.8959,33914000000.0,1029500000.0,0.0,191000000.0,0.0,50096943040.895905,2163518271.0,23.155313136200412,38.0099983215332,-39.08099405760142,21457831314.79425,63391611726.101654,0.7471069868490243,0.0,False
EPD,midstream,BASE,0.6,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PLAUSIBLE,162030532335.6465,33914000000.0,1029500000.0,0.0,191000000.0,0.0,127278032335.64651,2163518271.0,58.82919226599243,38.0099983215332,54.772940972914654,23562869856.07022,138467662479.5763,0.8545775940101233,0.0,False
EPD,midstream,BULL,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,POSSIBLE,354152738834.23364,33914000000.0,1029500000.0,0.0,191000000.0,0.0,319400238834.23364,2163518271.0,147.63001686443056,38.0099983215332,288.3978515747423,19703536161.477356,334449202672.7563,0.9443642982224687,0.0,False
EQT,ep,BEAR,0.2,DEFAULT_SCENARIO_WEIGHT_NOT_EMPIRICAL_PROBABILITY,PROBABLE,-29109197398.656296,5992411000.0,3668288000.0,0.0,326568000.0,0.0,-38443328398.656296,625478000.0,-61.46231905623586,53.720001220703125,-214.41235603052985,-23881245105.099346,-5227952293.55695,0.17959795393734476,0.0,False
