ticker,subindustry,scenario,forecast_year,revenue_usd,growth_pct,operating_margin_pct,ebit_usd,nopat_usd,forecast_normalized_roic_pct,reinvestment_rate_pct,reinvestment_usd,fcff_usd,fundamental_growth_reconstructed_pct,reinvestment_plausibility_status,wacc_pct,discount_factor,pv_fcff_usd,terminal_reinvestment_rate_pct,terminal_fcff_usd,terminal_value_usd,pv_terminal_value_usd
AR,ep,BEAR,1,6086931227.766898,8.243207786750778,-1.5887948195660953,-96708848.0173114,-76424164.32270946,2.0,412.1603893375389,-314990133.2204398,238565968.89773035,8.243207786750778,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,7.690596691205954,1.0769059669120595,221529062.17225158,,,,
AR,ep,BEAR,2,6478467347.542399,6.432405840063083,-1.5887948195660953,-102929553.60503465,-81340076.73182282,2.0,321.6202920031542,-261606192.3004782,180266115.56865537,6.432405840063084,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,7.690596691205954,1.1597264615707978,155438477.55658945,,,,
AR,ep,BEAR,3,6777876446.707472,4.621603893375389,-1.5887948195660953,-107686549.86187886,-85099292.88493529,2.0,231.08019466876945,-196647611.66025475,111548318.77531946,4.621603893375389,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,7.690596691205954,1.2489163464514015,89316085.17437248,,,,
AR,ep,BEAR,4,6968389129.815613,2.8108019466876946,-1.5887948195660953,-110713405.50171736,-87491265.46596251,2.0,140.54009733438474,-122960309.64494865,35469044.17898613,2.810801946687695,WITHIN_REFERENCE_RANGE,7.690596691205954,1.3449654656675232,26371713.686627932,,,,
AR,ep,BEAR,5,7038073021.113769,1.0,-1.5887948195660953,-111820539.55673452,-88366178.12062213,2.0,50.0,-44183089.060311064,-44183089.060311064,1.0,WITHIN_REFERENCE_RANGE,7.690596691205954,1.4484013352680125,-30504728.20237729,50.0,-44624919.95091418,-666979673.2714239,-460493688.47620255
AR,ep,BASE,1,6598990731.099745,17.34910386876914,19.72517788473904,1301662660.306866,1028638879.3114349,8.61795092682996,201.3135606836283,2070789554.5180197,-1042150675.2065848,17.34910386876914,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,6.190596691205954,1.0619059669120596,-981396383.1817222,,,,
AR,ep,BASE,2,7490635001.92695,13.511827901576856,19.72517788473904,1477541078.8266165,1167626794.4127047,8.61795092682996,156.78701371472147,1830687182.29261,-663060387.8799052,13.511827901576856,OUTSIDE_REFERENCE_RANGE_NOT_CLIPPED,6.190596691205954,1.1276442825634363,-588004921.5277287,,,,
AR,ep,BASE,3,8215320375.403563,9.67455193438457,19.72517788473904,1620486557.8495638,1280589455.0379517,8.61795092682996,112.26046674581463,1437595699.3232884,-157006244.28533673,9.674551934384573,WITHIN_REFERENCE_RANGE,6.190596691205954,1.1974521922083816,-131116920.83153695,,,,
AR,ep,BASE,4,8694871297.304846,5.837275967192285,19.72517788473904,1715078830.242498,1355340995.5352807,8.61795092682996,67.73391977690777,918025582.6194102,437315412.91587055,5.8372759671922845,WITHIN_REFERENCE_RANGE,6.190596691205954,1.271581627998007,343914541.7698312,,,,
AR,ep,BASE,5,8868768723.250942,2.0,19.72517788473904,1749380406.8473477,1382447815.4459863,8.61795092682996,23.207372808000926,320829818.40661466,1061617997.0393716,2.0,WITHIN_REFERENCE_RANGE,6.190596691205954,1.3503001181868344,786208919.5881125,23.207372808000926,1082850356.980159,25840004103.772163,19136489552.01884
AR,ep,BULL,1,6748060800.0,20.0,35.25360462322965,2378934674.1671476,1879953056.8185112,22.642903374365822,88.32789536452349,1660522968.9288151,219430087.88969612,20.0,WITHIN_REFERENCE_RANGE,5.190596691205954,1.0519059669120596,208602379.67263162,,,,
AR,ep,BULL,2,7802445300.0,15.625,35.25360462322965,2750643217.005764,2173695721.9464035,22.642903374365822,69.00616825353397,1499984127.2062051,673711594.7401984,15.625,WITHIN_REFERENCE_RANGE,5.190596691205954,1.1065061632251951,608863842.9057581,,,,
AR,ep,BULL,3,8680220396.25,11.25,35.25360462322965,3060090578.918913,2418236490.6653743,22.642903374365822,49.68444114254446,1201487285.8921704,1216749204.7732038,11.25,WITHIN_REFERENCE_RANGE,5.190596691205954,1.1639404355215521,1045370680.1826062,,,,
AR,ep,BULL,4,9276985548.492188,6.875,35.25360462322965,3270471806.219588,2584490249.398618,22.642903374365822,30.362714031554944,784721383.5983236,1799768865.8002946,6.874999999999999,WITHIN_REFERENCE_RANGE,5.190596691205954,1.2243558892553421,1469971992.2896936,,,,
