surface,ticker,fixed_variable,fixed_value_pct,solved_variable,solved_value_pct,solver_status,residual_value_gap_pct,domain_lower_pct,domain_upper_pct,interpretation
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,12.0,wacc_center_pct,6.853868006262928,SOLVED,-1.3204992654891612e-10,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,14.0,wacc_center_pct,7.239202636264963,SOLVED,-5.3655746512504265e-09,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,16.0,wacc_center_pct,7.6192535783629864,SOLVED,4.4872994209299577e-10,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,18.0,wacc_center_pct,7.992750046018045,SOLVED,1.4555912031255502e-09,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,20.0,wacc_center_pct,8.358962873462588,SOLVED,-3.737321563335172e-09,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,22.0,wacc_center_pct,8.717522413877305,SOLVED,-1.3951839683556955e-09,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,24.0,wacc_center_pct,9.068295759352623,SOLVED,3.746891685807441e-09,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,26.0,wacc_center_pct,9.411304491281044,SOLVED,5.151479243181711e-09,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,28.0,wacc_center_pct,9.7466696142219,SOLVED,8.162581721649076e-09,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,30.0,wacc_center_pct,10.074574623489752,SOLVED,6.462141932672694e-09,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,32.0,wacc_center_pct,10.39524068083847,SOLVED,-8.035461185329495e-09,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,34.0,wacc_center_pct,10.708909911511,SOLVED,6.426770227108136e-09,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,36.0,wacc_center_pct,10.941980711824726,SOLVED,9.868106332078241e-10,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,38.0,wacc_center_pct,11.149393601721385,SOLVED,1.836797380860844e-09,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
TERMINAL_MARGIN_X_WACC,AR,terminal_margin_center_pct,40.0,wacc_center_pct,11.354431673622457,SOLVED,-1.7369883309470424e-09,4.5,15.0,ONE_POINT_ON_NON_UNIQUE_ISO_VALUE_CURVE
