ticker,fair_value,market_price,value_gap_pct,weighted_enterprise_value_usd,terminal_value_share_pct,frozen_fair_value,reproduction_error_per_share
AR,75.16570258422018,37.93999862670898,98.1173044410842,26114006625.884445,97.00269867532994,75.16570258422018,0.0
CNX,87.20423094712777,36.36000061035156,139.83561464050425,14700549781.019978,78.77380203307766,87.20423094712775,1.4210854715202004e-14
COP,224.82311442459513,134.8699951171875,66.69616858015608,290285652938.5595,87.6458179907806,224.82311442459516,-2.842170943040401e-14
DVN,124.13390484186972,49.09999847412109,152.8185513229627,83759808468.73785,85.42021997064708,124.13390484186972,0.0
EOG,261.52746503261505,153.0500030517578,70.87713807112618,143378989254.94818,84.53832993954163,261.52746503261505,0.0
EQT,29.579387384805138,53.720001220703125,-44.93785049765495,27835387062.67315,87.89675970945068,29.579387384805145,-7.105427357601002e-15
FANG,549.8987196038124,210.72000122070312,160.961805437663,174584821827.82697,92.80447406612853,549.8987196038124,0.0
MGY,51.5572175262981,28.13999938964844,83.21683953292445,9804469575.346985,81.51730035417286,51.5572175262981,0.0
MTDR,223.6377909102694,58.380001068115234,283.0726050335946,31537620365.433968,87.96881069570139,223.6377909102694,0.0
NOG,90.27542382982358,27.34000015258789,230.19540353323106,12064825466.257998,87.63607325625419,90.27542382982358,0.0
OVV,59.3540024716761,66.82,-11.173297707758001,23054578738.340958,69.86682971547461,59.3540024716761,0.0
PR,31.116710247235446,23.75,31.01772735678083,29429241947.959343,93.50165697684211,31.116710247235453,-7.105427357601002e-15
RRC,42.06198474846197,41.060001373291016,2.4402906518720346,10729746485.898293,85.3507669212623,42.06198474846197,0.0
SM,118.29397713062447,37.20000076293945,217.99455565730793,29484037353.19092,88.52165450646541,118.29397713062448,-1.4210854715202004e-14
