surface,x_value_pct,y_value_pct,median_value_gap_pct,q25_value_gap_pct,q75_value_gap_pct,tickers_below_market,tickers_above_market
GROWTH_X_NORMALIZED_ROIC,-5.0,6.0,38.29034301759843,2.29704667990322,79.55155157695155,4,10
GROWTH_X_NORMALIZED_ROIC,-5.0,10.0,48.29448283854353,10.400485835313717,93.33220195908788,3,11
GROWTH_X_NORMALIZED_ROIC,-5.0,14.0,53.21857105005916,16.675585800334332,99.82714675809859,3,11
GROWTH_X_NORMALIZED_ROIC,-5.0,18.0,54.37991333286343,20.149090217756616,103.37830121454152,3,11
GROWTH_X_NORMALIZED_ROIC,-5.0,22.0,56.02591602181057,22.17777085045785,105.66381211331336,2,12
GROWTH_X_NORMALIZED_ROIC,-5.0,26.0,57.077216736975785,23.229078882675747,107.13264854382825,2,12
GROWTH_X_NORMALIZED_ROIC,0.0,6.0,43.076177571149266,8.772510722805748,88.60254458088279,3,11
GROWTH_X_NORMALIZED_ROIC,0.0,10.0,58.69846168242302,21.919727036073027,110.5351008073061,2,12
GROWTH_X_NORMALIZED_ROIC,0.0,14.0,66.17174303769626,29.06471000660045,120.7072498519009,1,13
GROWTH_X_NORMALIZED_ROIC,0.0,18.0,70.63437787303441,33.15678649955133,127.58224112236559,1,13
GROWTH_X_NORMALIZED_ROIC,0.0,22.0,73.55190800155691,35.818059204444964,131.47203207848443,1,13
GROWTH_X_NORMALIZED_ROIC,0.0,26.0,75.33820344492217,37.26882922534169,133.94689554729393,1,13
GROWTH_X_NORMALIZED_ROIC,5.0,6.0,47.89293042328797,15.26073403927085,96.53434928797796,3,11
GROWTH_X_NORMALIZED_ROIC,5.0,10.0,69.57637611474077,34.19077920034148,129.30380947188053,1,13
GROWTH_X_NORMALIZED_ROIC,5.0,14.0,79.77638011704855,42.270332202470534,146.43927885430395,1,13
GROWTH_X_NORMALIZED_ROIC,5.0,18.0,87.89075969137772,47.04015479009959,156.19845495850242,1,13
GROWTH_X_NORMALIZED_ROIC,5.0,22.0,92.27171626372242,50.41396020464748,162.39036526435785,1,13
GROWTH_X_NORMALIZED_ROIC,5.0,26.0,94.90259424818052,52.31754351898931,166.33237889740175,1,13
GROWTH_X_NORMALIZED_ROIC,10.0,6.0,49.12191277828608,19.169249652151365,98.60411575120835,3,11
GROWTH_X_NORMALIZED_ROIC,10.0,10.0,77.24012814270506,45.459024937945905,143.08116119734765,1,13
GROWTH_X_NORMALIZED_ROIC,10.0,14.0,90.23900879750903,55.793297781534086,167.2862725093311,1,13
GROWTH_X_NORMALIZED_ROIC,10.0,18.0,102.34426317748913,61.27469826024442,181.09657302908772,0,14
GROWTH_X_NORMALIZED_ROIC,10.0,22.0,108.24200985622844,65.42484394468647,189.58516558889104,0,14
GROWTH_X_NORMALIZED_ROIC,10.0,26.0,111.72918780332813,67.82174074284937,195.19425917480038,0,14
GROWTH_X_NORMALIZED_ROIC,15.0,6.0,48.904717362488505,15.062057384250227,96.51723732516786,3,11
GROWTH_X_NORMALIZED_ROIC,15.0,10.0,84.6406007188727,48.18685646173515,153.86815194803893,1,13
