surface,curve_points,solved_points,unbracketed_points,tickers,solved_value_q25_pct,solved_value_median_pct,solved_value_q75_pct
GROWTH_X_NORMALIZED_ROIC,98,54,44,14,3.411426603764994,4.393352272221819,6.8978871159488335
GROWTH_X_OPERATING_MARGIN,98,98,0,14,14.38148361063213,18.996317410783377,23.854750079190126
TERMINAL_MARGIN_X_WACC,210,210,0,14,6.79786378712015,8.10701605649956,9.717280077762553
