through_cycle_margin_reference,tickers,solved_tickers,unbracketed_tickers,terminal_margin_median_pct,conditional_wacc_q25_pct,conditional_wacc_median_pct,conditional_wacc_q75_pct
Q25,14,10,4,11.649128047683266,5.1231255888451415,6.261389006045647,8.354814228921896
Q50,14,13,1,28.372464797338306,7.137834639492212,7.917222074320307,10.249934229184873
Q75,14,14,0,36.27197900159318,8.431766686509945,9.408736301294994,11.588414084399119
