ticker,year,mix_method,oil_mix_pct,ngl_mix_pct,gas_boe_mix_pct,benchmark_basket_usd_per_boe,upstream_revenue_per_boe,upstream_revenue_scope,realized_revenue_basis_per_boe,basis_confidence,basis_semantics
AR,2016,AUDITED_ALL_COMPONENTS,1.6134513101541963,22.512154123287196,75.8743945665586,16.05053488483202,15.683233523124144,UPSTREAM_EXACT,-0.3673013617078773,HIGH_EXACT_REVENUE_AUDITED_OR_RESIDUAL_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
AR,2017,AUDITED_ALL_COMPONENTS,1.788408228336182,26.30193118312625,71.90966058853756,22.37785555773564,20.051760539399304,UPSTREAM_EXACT,-2.3260950183363356,HIGH_EXACT_REVENUE_AUDITED_OR_RESIDUAL_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
AR,2018,AUDITED_ALL_COMPONENTS,1.981122103041262,26.176357003755847,71.8425208932029,24.65943624544837,22.165349935073603,UPSTREAM_EXACT,-2.4940863103747652,HIGH_EXACT_REVENUE_AUDITED_OR_RESIDUAL_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
AR,2019,AUDITED_ALL_COMPONENTS,1.8543620000954768,28.236756510677395,69.90888148922713,18.479642341156087,18.602894678624306,UPSTREAM_EXACT,0.12325233746821951,HIGH_EXACT_REVENUE_AUDITED_OR_RESIDUAL_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
AR,2020,AUDITED_ALL_COMPONENTS,2.0214166405034057,31.17667263441703,66.80191072507955,15.009589700005062,14.129706515489014,UPSTREAM_EXACT,-0.8798831845160482,HIGH_EXACT_REVENUE_AUDITED_OR_RESIDUAL_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
AR,2021,AUDITED_ALL_COMPONENTS,1.7697555516285737,29.030545641053784,69.19969880731765,30.439232251299543,29.105141737032568,UPSTREAM_EXACT,-1.3340905142669754,HIGH_EXACT_REVENUE_AUDITED_OR_RESIDUAL_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
AR,2022,AUDITED_ALL_COMPONENTS,1.6533715364873767,30.128693259204674,68.21793520430795,41.93116540620309,42.55150366875683,UPSTREAM_EXACT,0.6203382625537373,HIGH_EXACT_REVENUE_AUDITED_OR_RESIDUAL_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
AR,2023,AUDITED_ALL_COMPONENTS,1.8771427312251843,32.264499377620695,65.85835789115411,21.492875617881527,20.720749603491218,UPSTREAM_EXACT,-0.7721260143903095,HIGH_EXACT_REVENUE_AUDITED_OR_RESIDUAL_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
AR,2024,AUDITED_ALL_COMPONENTS,1.769802328211258,34.89973033695365,63.330467334835085,21.058575220964634,19.722037715956198,UPSTREAM_EXACT,-1.3365375050084367,HIGH_EXACT_REVENUE_AUDITED_OR_RESIDUAL_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
AR,2025,AUDITED_ALL_COMPONENTS,1.384504279137639,34.315037930703376,64.30045779015899,25.290008156100548,23.92778547208558,UPSTREAM_EXACT,-1.3622226840149665,HIGH_EXACT_REVENUE_AUDITED_OR_RESIDUAL_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
CNX,2016,MULTIPLE_MISSING_COMPONENTS_ALLOCATED_WITH_GROUP_PRIOR,8.271961008043954,14.178404541543976,77.54963445041207,17.45076586090797,10.587219567038055,UPSTREAM_EXACT,-6.863546293869916,MEDIUM_EXACT_REVENUE_GROUP_PRIOR_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
CNX,2017,MULTIPLE_MISSING_COMPONENTS_ALLOCATED_WITH_GROUP_PRIOR,4.358915509428729,54.77625158967694,40.864832900894335,27.223247597565603,20.42374192635688,UPSTREAM_EXACT,-6.799505671208724,MEDIUM_EXACT_REVENUE_GROUP_PRIOR_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
CNX,2018,MULTIPLE_MISSING_COMPONENTS_ALLOCATED_WITH_GROUP_PRIOR,6.881432993233985,28.605132695197412,64.5134343115686,27.421823664808244,19.093330335908753,UPSTREAM_EXACT,-8.32849332889949,MEDIUM_EXACT_REVENUE_GROUP_PRIOR_MIX,UPSTREAM_REVENUE_PER_BOE_MINUS_BENCHMARK_MIX_NOT_PURE_PRICE_DIFFERENTIAL
