ticker,year,kpi_production_mboe,kpi_quarters,kpi_min_quality,kpi_last_filing_date,g_and_a_usd,g_and_a_usd_source_tag,g_and_a_usd_scope,hedge_gain_loss_usd,hedge_gain_loss_usd_source_tag,hedge_gain_loss_usd_scope,upstream_revenue_usd,upstream_revenue_usd_source_tag,upstream_revenue_usd_scope,transport_cost_usd,transport_cost_usd_source_tag,transport_cost_usd_scope,production_tax_usd,production_tax_usd_source_tag,production_tax_usd_scope,transport_cost_per_boe,production_tax_per_boe,g_and_a_per_boe,hedge_gain_loss_per_boe,upstream_revenue_per_boe
AR,2016,111906.83333333334,4,0.95,2017-02-28,239324000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-514181000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,1755061000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,2.1386004131412886,-4.5947238848983005,15.683233523124144
AR,2017,137041.33333333334,4,0.95,2018-02-13,251196000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,636889000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,2747920000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,1.8329944250396473,4.647422675397204,20.051760539399304
AR,2018,164802.0,4,0.95,2019-02-13,240344000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-87594000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,3652894000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,1.4583803594616571,-0.531510539920632,22.165349935073603
AR,2019,195876.66666666666,4,0.95,2020-02-12,178696000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,463972000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,3643873000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,0.9122883447067033,2.368694586729745,18.602894678624306
AR,2020,218256.83333333334,4,0.95,2021-02-17,134482000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,79918000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,3083905000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,0.6161639841746077,0.36616493870753186,14.129706515489014
AR,2021,198960.0,4,0.95,2022-02-16,145006000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-1936509000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,5790759000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,0.7288198632891033,-9.733157418576598,29.105141737032568
AR,2022,194934.33333333334,4,0.95,2023-02-15,172909000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,-1615836000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,8294749000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,0.887011523538696,-8.289129843725151,42.55150366875683
AR,2023,206384.66666666666,4,0.95,2024-02-14,224516000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,166324000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,4276445000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,1.0878521337179443,0.8058932026604044,20.720749603491218
AR,2024,208665.0,4,0.95,2025-02-12,229338000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,731000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,4115299000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,1.0990726762993315,0.003503222869192246,19.722037715956198
AR,2025,209390.0,4,0.95,2026-02-11,232526000.0,us-gaap:GeneralAndAdministrativeExpense,CONSOLIDATED_ALLOCATED,111049000.0,us-gaap:DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet,DERIVATIVE_BROAD,5010239000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,UPSTREAM_EXACT,,,,,,,,,1.110492382635274,0.5303452886957353,23.92778547208558
