ticker,level_1_development_roic_pct,level_1_semantics,level_2_reserve_replacement_roic_pct,level_2_semantics,level_3_company_incremental_roic_q50_pct,level_3_eligible_years,level_3_semantics,three_level_roic_separated,company_incremental_roic_validated,level_3_status,unexplained_roic_over_100pct,terminal_anchor_ready,research_only
AR,30.213649009639354,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,26.31864158365348,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,,2,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,LOCKED_FEWER_THAN_3_POSITIVE_MATERIAL_DELTA_CAPITAL_YEARS,False,False,True
CNX,85.3771796812329,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,74.84314083754909,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,34.777602664395765,3,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True
COP,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,6.954051844845019,4,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True
DVN,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,,2,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,LOCKED_FEWER_THAN_3_POSITIVE_MATERIAL_DELTA_CAPITAL_YEARS,False,False,True
EOG,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,-10.386454694718502,5,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True
EQT,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,-4.755193031374001,3,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True
FANG,119.4054075444966,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,41.87448476131674,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,0.12169977734097638,5,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,True,False,True
MGY,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,95.82671316794125,3,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True
MTDR,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,7.3286342943103016,6,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True
NOG,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,59.43213446456852,3,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True
OVV,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,-25.103271914637332,3,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True
PR,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,-18.078261530035658,4,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True
RRC,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,,2,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,LOCKED_FEWER_THAN_3_POSITIVE_MATERIAL_DELTA_CAPITAL_YEARS,False,False,True
SM,,PROJECT_DEVELOPMENT_UNIT_ECONOMICS_PROXY,,DEV_EXPLORATION_AND_ACQUISITION_RESERVE_PROXY,-45.16137776410283,4,DELTA_NOPAT_OVER_DELTA_TOTAL_INVESTED_CAPITAL,True,False,DIAGNOSTIC_3PLUS_YEARS_NOT_MNA_NORMALIZED,False,False,True
