ticker,event_name,deal_year,cohort_offset,observation_year,year_label,parent_annual_scope_complete,parent_cohort_status,organic_invested_capital_proxy_usd,v171_net_income_based_organic_numerator_proxy_usd,acquiree_after_tax_interest_adjustment_usd,reported_organic_nopat_bridge_usd,reported_organic_nopat_annual_scope_complete,reported_organic_nopat_bridge_status,reported_organic_nopat_roic_pct,cycle_normalized_organic_nopat_proxy_usd,cycle_normalized_annual_scope_complete,cycle_normalization_status,cycle_normalized_organic_roic_proxy_pct,reported_cumulative_organic_nopat_roic_pct,cycle_normalized_cumulative_organic_roic_proxy_pct,reported_nopat_cohort_complete,cycle_normalized_cohort_complete,reported_vs_cycle_separated,organic_company_roic_validated,terminal_input_allowed,research_only
COP,Concho Resources,2021,0,2021,t,False,LOCKED_INCOMPLETE_COMPANY_YEAR_MNA_SCOPE,646000000.0,8906666891.60086,169634317.47684133,8737032574.12402,False,LOCKED_COMPANY_YEAR_MNA_SCOPE__LOCKED_INCOMPLETE_COMPANY_YEAR_MNA_SCOPE,,,False,LOCKED_MISSING_PRODUCTION_OR_NORMALIZED_ECONOMICS,,,,False,False,True,False,False,True
COP,Concho Resources,2021,1,2022,t+1,False,LOCKED_INCOMPLETE_COMPANY_YEAR_MNA_SCOPE,,,0.0,,False,LOCKED_COMPANY_YEAR_MNA_SCOPE__LOCKED_INCOMPLETE_COMPANY_YEAR_MNA_SCOPE,,,False,LOCKED_MISSING_PRODUCTION_OR_NORMALIZED_ECONOMICS,,,,False,False,True,False,False,True
COP,Concho Resources,2021,2,2023,t+2,False,LOCKED_INCOMPLETE_COMPANY_YEAR_MNA_SCOPE,,,0.0,,False,LOCKED_COMPANY_YEAR_MNA_SCOPE__LOCKED_INCOMPLETE_COMPANY_YEAR_MNA_SCOPE,,,False,LOCKED_MISSING_PRODUCTION_OR_NORMALIZED_ECONOMICS,,,,False,False,True,False,False,True
DVN,WPX Energy,2021,0,2021,t,True,PARTIAL_OBSERVATION_WINDOW,-138000000.0,4114252946.75583,166283149.5269292,3947969797.2289004,True,BRIDGED_NET_INCOME_PLUS_AFTER_TAX_INTEREST_PREDEAL_YIELD_PROXY_NONOPERATING_UNAPPLIED,,-399110796.3269615,True,V13_NORMALIZED_COMMODITY_PRICE_PLUS_SEC_COMPONENT_UNIT_COST,,,,False,False,True,False,False,True
DVN,WPX Energy,2021,1,2022,t+1,True,PARTIAL_OBSERVATION_WINDOW,2679000000.0,3400858818.171899,0.0,3400858818.171899,True,BUYER_REPORTED_NOPAT_SUBSEQUENT_YEAR,126.94508466487117,144240660.43106174,True,V13_NORMALIZED_COMMODITY_PRICE_PLUS_SEC_COMPONENT_UNIT_COST,5.384123196381551,289.2100989925541,-10.030308378429744,False,False,True,False,False,True
DVN,WPX Energy,2021,2,2023,t+2,True,COMPLETE_3Y_DIAGNOSTIC_AFTER_TAX_PROXY_NOT_NOPAT_OR_CYCLE_NORMALIZED,1123000000.0,-2241428590.443142,0.0,-2241428590.443142,True,BUYER_REPORTED_NOPAT_SUBSEQUENT_YEAR,-199.59292880170455,175149373.3805747,True,V13_NORMALIZED_COMMODITY_PRICE_PLUS_SEC_COMPONENT_UNIT_COST,15.596560407887328,139.39410548465221,-2.175785003147518,True,True,True,False,False,True
FANG,Endeavor Energy Resources,2024,0,2024,t,False,LOCKED_INCOMPLETE_COMPANY_YEAR_MNA_SCOPE,1767000000.0,-145280197.73126143,,-145280197.73126143,False,LOCKED_COMPANY_YEAR_MNA_SCOPE__LOCKED_INCOMPLETE_COMPANY_YEAR_MNA_SCOPE,,148930345.30763012,False,LOCKED_COMPANY_YEAR_MNA_SCOPE__LOCKED_INCOMPLETE_COMPANY_YEAR_MNA_SCOPE,,,,False,False,True,False,False,True
FANG,Endeavor Energy Resources,2024,1,2025,t+1,True,LOCKED_INCOMPLETE_COMPANY_YEAR_MNA_SCOPE,4676000000.0,-2633312015.6667266,0.0,-2633312015.6667266,True,BUYER_REPORTED_NOPAT_SUBSEQUENT_YEAR,-56.315483654121614,1083213186.299316,True,V14_BASIS_ADJUSTED_PRICE_PLUS_V161_ACCOUNTING_PROVEN_COMPONENT_UNIT_COST,23.165380374236868,,,False,False,True,False,False,True
EOG,Encino Acquisition Partners,2025,0,2025,t,True,PARTIAL_OBSERVATION_WINDOW,1645000000.0,-1504988467.100326,,-1504988467.100326,False,LOCKED_PRIVATE_TARGET_FINANCING_AND_NONOPERATING_SCOPE_UNAVAILABLE,,234116867.24775475,True,V13_NORMALIZED_COMMODITY_PRICE_AND_V12_HIERARCHICAL_MARGIN_IMPLIED_UNIT_COST,14.232028404118829,,14.232028404118829,False,False,True,False,False,True
