stage,hits,opportunities,recall
CANDIDATE,25,27,0.9259259259259259
TEXT_BINDING,7,27,0.25925925925925924
TABLE_BINDING,0,27,0.0
XBRL_DIRECT,0,27,0.0
ADJUDICATED_DIRECT,2,27,0.07407407407407407
ALL_BINDING_ROUTES,9,27,0.3333333333333333
FINAL_FACT,9,27,0.3333333333333333
