entity,basis,observations,minimum_pct,q25_pct,median_pct,q75_pct,q90_pct,maximum_pct,latest_pct
consolidated,AS_REPORTED_TTM,24,4.460195349641283,5.115138895643885,5.340143424662792,6.896106228586456,7.720195382649275,8.53541288323897,5.293894577171028
consolidated,CATCHUP_NEUTRAL_TTM,23,4.0114029729179395,4.590772476235339,5.685131195335277,5.878021917471546,6.791324455273164,8.845208845208845,5.346985210466439
consolidated,SEGMENT_SUM_TTM,24,4.693577664448094,5.704509492595693,6.357765993977411,7.0888500668492425,7.507529961779774,7.974947807933194,5.8399696624952595
consolidated,NONSEGMENT_CONTRIBUTION_TTM,24,-1.7849643007139857,-0.9965103417709832,-0.535103321063642,-0.27178857430078646,1.1716856256279073,2.606559128298259,-0.5460750853242321
ingalls_shipbuilding,AS_REPORTED_TTM,24,7.062658457080769,7.611653097057519,10.744460544677153,11.843729281703993,12.364345685903794,13.154069767441861,7.301490721022209
mission_technologies,AS_REPORTED_TTM,24,0.301659125188537,2.9189287974824603,3.9571051069509853,4.5890569532335235,5.013849860737919,5.518836748182419,5.518836748182419
newport_news_shipbuilding,AS_REPORTED_TTM,24,3.6672778796466075,4.58717322417576,5.869777174918629,6.216863937571763,6.403263229668549,6.5543071161048685,5.169467388208488
ingalls_shipbuilding,CATCHUP_NEUTRAL_TTM,11,7.043588123815541,7.082726825957735,7.119624141669679,9.739380270405412,9.787985865724382,9.847383720930232,7.088530574992394
mission_technologies,CATCHUP_NEUTRAL_TTM,11,3.075213041867358,3.6016266301433455,3.8670284938941655,4.159140776135517,4.369250985545335,4.593522802379379,4.593522802379379
newport_news_shipbuilding,CATCHUP_NEUTRAL_TTM,11,5.767587581885502,6.0516611555376745,6.185908038372478,6.475645414360377,6.693643567695161,6.701289998324677,5.767587581885502
