layer,source_count,use,source_hash_required,pdf_parsing_used,source_hash_verified
SEC_10K_HTML,7,CONTRACT_MIX_CATCHUP_FAS_CAS_PROGRAM_RISK,True,False,True
SEC_10Q_HTML,20,QUARTERLY_CATCHUP_FAS_CAS_BACKLOG_CONTRACT_MIX,True,False,True
IR_HTML_DERIVED_HISTORY,27,27_QUARTER_SEGMENT_AND_COMPANY_MARGIN_HISTORY,True,False,True
BLS_AS_RELEASED_VINTAGE,3,PIT_PRICE_COST_RECOVERY_CONTEXT,True,False,True
FROZEN_V5_2_DCF,1,CONDITIONAL_DCF_REVERSE_DCF_CROSSCHECK,True,False,True
FROZEN_V5_2_1_CONSENSUS,1,FIELD_SEMANTICS_CORRECTION_ONLY,True,False,True
