period,filing_period,filing_date,intersegment_eliminations_usd,revenue_usd,operating_income_usd,segment_operating_income_usd,source_url,source_sha256,table_index,history_authority,segment_sum_revenue_usd,revenue_reconciliation_difference_usd,net_cumulative_catchup_adjustment_usd,nonsegment_effect_usd,catchup_neutral_operating_income_usd,reported_ttm_margin_pct,catchup_neutral_ttm_margin_pct,segment_ttm_margin_pct,nonsegment_ttm_contribution_pct
2023Q1,2023Q1,2023-05-04,-33000000.0,2674000000.0,141000000.0,156000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000014/hii2023q1earningsrelease.htm,e74480cf13137080f1a65ff2ae5319a68557aed5b1e2f5a09dc995cdaf3b762a,9,AS_REPORTED_PIT_HISTORY,2707000000.0,0.0,9000000.0,-15000000.0,132000000.0,5.271950993131613,4.557267495823279,6.422869871913867,-1.1509188787822537
2023Q2,2023Q2,2023-08-03,-31000000.0,2787000000.0,156000000.0,169000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000024/hii2023q2earningsrelease.htm,756cdd7a4f0e7e90f6b2bf5d59d7bcd4a62ddcf67a34c48228bab30606d01574,9,AS_REPORTED_PIT_HISTORY,2818000000.0,0.0,20000000.0,-13000000.0,136000000.0,4.890356913478301,4.624277456647398,5.835397742912194,-0.945040829433893
2023Q3,2023Q3,2023-11-02,-33000000.0,2816000000.0,172000000.0,187000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158523000030/hii2023q3earningsrelease.htm,e2d36dc345c09085e61dadf1a1e9054cc772db6836ec335b6bcc96ae83c4dd09,9,AS_REPORTED_PIT_HISTORY,2849000000.0,0.0,21000000.0,-15000000.0,151000000.0,5.1763008386689515,4.968888087293714,5.924790332762197,-0.7484894940932456
2023Q4,2023Q4,2024-02-01,-33000000.0,3177000000.0,312000000.0,330000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000005/hii2023q4earningsrelease.htm,a4820233db4b90b13c468a83841e9bbd976d7cb9a8ca51bb71961e1bef43664e,9,AS_REPORTED_PIT_HISTORY,3210000000.0,0.0,68000000.0,-18000000.0,244000000.0,6.818578662475991,5.788370874803562,7.351143705255805,-0.5325650427798149
2024Q1,2024Q1,2024-05-02,-34000000.0,2805000000.0,154000000.0,170000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000011/hii2024q1earningsrelease.htm,946aaa0632bd5132395e037ef9571c4a834320b7db5892396488c6068c1e4011,9,AS_REPORTED_PIT_HISTORY,2839000000.0,0.0,2000000.0,-16000000.0,152000000.0,6.853690116529995,5.895554596460941,7.388864911523522,-0.5351747949935262
2024Q2,2024Q2,2024-08-01,-35000000.0,2977000000.0,189000000.0,203000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000034/hii2024q2earningsrelease.htm,ede2a686eb16d1cf047a45f1020ddffb3198e88c028e9661bdeee77263f4432b,9,AS_REPORTED_PIT_HISTORY,3012000000.0,0.0,24000000.0,-14000000.0,165000000.0,7.023354564755839,6.046709129511677,7.558386411889597,-0.535031847133758
2024Q3,2024Q3,2024-10-31,-36000000.0,2749000000.0,82000000.0,97000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158524000040/hii2024q3earningsrelease.htm,211594c1978545ed97c7efa4cb8d6b48cf159807a3b8e2b0a2a6d3a1f345d871,11,AS_REPORTED_PIT_HISTORY,2785000000.0,0.0,-72000000.0,-15000000.0,154000000.0,6.294841134267168,6.106935428766655,6.832934745473181,-0.538093611206013
2024Q4,2024Q4,2025-02-06,-33000000.0,3004000000.0,110000000.0,103000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000004/hii2024q4earningsrelease.htm,0561dd5b76aacefca396e29d14e37366ce07a54b0e9a7bc4241dd8e9dcfd179f,10,AS_REPORTED_PIT_HISTORY,3037000000.0,0.0,-80000000.0,7000000.0,190000000.0,4.638058084091894,5.730385782401387,4.967490247074123,-0.329432162982228
2025Q1,2025Q1,2025-05-01,-34000000.0,2734000000.0,161000000.0,171000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000035/hii2025q1earningsrelease.htm,e49b548d3cfb0cd12acee825dcf2fa95b6cc81929197a986c3ac0461dd0cb785,9,AS_REPORTED_PIT_HISTORY,2768000000.0,0.0,0.0,-10000000.0,161000000.0,4.727843684577809,5.844382414515003,5.006978367062107,-0.2791346824842987
2025Q2,2025Q2,2025-07-31,-36000000.0,3082000000.0,163000000.0,172000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000097/hii2025q2earningsrelease.htm,a720e693850daaeee45a8460b4673ef68d18f2522aead5e4b6da4a7e75f8063c,9,AS_REPORTED_PIT_HISTORY,3118000000.0,0.0,-10000000.0,-9000000.0,173000000.0,4.460195349641283,5.860489238482151,4.693577664448094,-0.2333823148068113
2025Q3,2025Q3,2025-10-30,-40000000.0,3192000000.0,161000000.0,179000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158525000109/hii2025q3earningsrelease.htm,b3bad45a197ca86f3a80a786df2d3ebe6d321c0857ac3ba921c15577ea8605ac,9,AS_REPORTED_PIT_HISTORY,3232000000.0,0.0,-3000000.0,-18000000.0,164000000.0,4.953379953379954,5.727605727605728,5.203130203130203,-0.24975024975024976
2025Q4,2025Q4,2026-02-05,-35000000.0,3476000000.0,172000000.0,195000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000004/hiiq42025earningsrelease.htm,a75b2819b9738b0cc1ff19610cc24aede58f165412bc80baaae6720c421ad493,10,AS_REPORTED_PIT_HISTORY,3511000000.0,0.0,-15000000.0,-23000000.0,187000000.0,5.262736302467158,5.487023389939122,5.743351489907081,-0.4806151874399231
2026Q1,2026Q1,2026-05-05,-39000000.0,3099000000.0,155000000.0,172000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000027/hii2026q1earningsrelease.htm,82938c39c73524d6ea623e3fa239799b2db3a434148fc9b6dccebe17aec9d21e,9,AS_REPORTED_PIT_HISTORY,3138000000.0,0.0,1000000.0,-17000000.0,154000000.0,5.066542143357459,5.276675227644175,5.58798350066153,-0.5214413573040704
2026Q2,2026Q2,2026-07-30,-36000000.0,3418000000.0,210000000.0,224000000.0,https://www.sec.gov/Archives/edgar/data/1501585/000150158526000045/hii2026q2earningsrelease.htm,7597b77e8082170248de963248d8e2ef5284b65aab82cdef97390d89abce8e09,9,AS_REPORTED_PIT_HISTORY,3454000000.0,0.0,10000000.0,-14000000.0,200000000.0,5.293894577171028,5.346985210466439,5.8399696624952595,-0.5460750853242321
