period,segment,derivation,net_cumulative_catchup_adjustment_usd,source_path,source_sha256,table_index
2023Q4,mission_technologies,FY_LESS_REPORTED_Q1_Q2_Q3,7000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2024-02-01_0001501585-24-000007_hii-20231231.htm,0b3d953af66e8986f467784154cf686e260e45e7a548fc9f7d2ee216d54c771b,13
2023Q4,newport_news_shipbuilding,FY_LESS_REPORTED_Q1_Q2_Q3,24000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2024-02-01_0001501585-24-000007_hii-20231231.htm,0b3d953af66e8986f467784154cf686e260e45e7a548fc9f7d2ee216d54c771b,13
2024Q1,ingalls_shipbuilding,AS_REPORTED_CURRENT_QUARTER,13000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-05-02_0001501585-24-000013_hii-20240331.htm,4fa47c55238b6f0d1cbaaa8e5eda90085126d50b324357ebebba460643ff2d3c,27
2024Q1,mission_technologies,AS_REPORTED_CURRENT_QUARTER,1000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-05-02_0001501585-24-000013_hii-20240331.htm,4fa47c55238b6f0d1cbaaa8e5eda90085126d50b324357ebebba460643ff2d3c,27
2024Q1,newport_news_shipbuilding,AS_REPORTED_CURRENT_QUARTER,-12000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-05-02_0001501585-24-000013_hii-20240331.htm,4fa47c55238b6f0d1cbaaa8e5eda90085126d50b324357ebebba460643ff2d3c,27
2024Q2,ingalls_shipbuilding,AS_REPORTED_CURRENT_QUARTER,6000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-08-01_0001501585-24-000036_hii-20240630.htm,be9966ba3f35be49eab21b4c8839977cef91e77537bd2cea51bbc6544200634d,30
2024Q2,mission_technologies,AS_REPORTED_CURRENT_QUARTER,8000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-08-01_0001501585-24-000036_hii-20240630.htm,be9966ba3f35be49eab21b4c8839977cef91e77537bd2cea51bbc6544200634d,30
2024Q2,newport_news_shipbuilding,AS_REPORTED_CURRENT_QUARTER,10000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-08-01_0001501585-24-000036_hii-20240630.htm,be9966ba3f35be49eab21b4c8839977cef91e77537bd2cea51bbc6544200634d,30
2024Q3,ingalls_shipbuilding,AS_REPORTED_CURRENT_QUARTER,1000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-10-31_0001501585-24-000042_hii-20240930.htm,a97548189124c42ee0911ff7c7ced36c6a4efc1e1ea10025c2afdcd823b729e1,30
2024Q3,mission_technologies,AS_REPORTED_CURRENT_QUARTER,5000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-10-31_0001501585-24-000042_hii-20240930.htm,a97548189124c42ee0911ff7c7ced36c6a4efc1e1ea10025c2afdcd823b729e1,30
