period,derivation,gross_favorable_adjustment_usd,gross_unfavorable_adjustment_usd,net_cumulative_catchup_adjustment_usd,source_path,source_sha256,table_index
2022Q3,AS_REPORTED_CURRENT_QUARTER,84000000.0,-57000000.0,27000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2022-11-03_0001501585-22-000034_hii-20220930.htm,57998b25458f3a20d8ab189f4d1d7fc62bf7ae7299f006de9dae780a4081f114,31
2022Q4,FY_LESS_REPORTED_Q1_Q2_Q3,,,-27000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2023-02-09_0001501585-23-000010_hii-20221231.htm,cfcc6f7fd5211d6d8f36fcd6ed2a9b9a8d27927356fe1913e9b42f534685bf8e,14
2023Q1,AS_REPORTED_CURRENT_QUARTER,64000000.0,-55000000.0,9000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2023-05-04_0001501585-23-000016_hii-20230331.htm,7677040d91a50e08f5092f2204c472ddc90d8ad7f1bdb3eca371625d64954a79,24
2023Q2,AS_REPORTED_CURRENT_QUARTER,72000000.0,-52000000.0,20000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2023-08-03_0001501585-23-000026_hii-20230630.htm,240c989517686f107b5ebdb4e8faab041462605487b47ef2d93bb505ef3201e3,28
2023Q3,AS_REPORTED_CURRENT_QUARTER,62000000.0,-41000000.0,21000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2023-11-02_0001501585-23-000033_hii-20230930.htm,a978dd437797961c49f196e72ddcadbe80d8301e189d7eabf45e54dceab92f1e,28
2023Q4,FY_LESS_REPORTED_Q1_Q2_Q3,,,68000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2024-02-01_0001501585-24-000007_hii-20231231.htm,0b3d953af66e8986f467784154cf686e260e45e7a548fc9f7d2ee216d54c771b,12
2024Q1,AS_REPORTED_CURRENT_QUARTER,55000000.0,-53000000.0,2000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-05-02_0001501585-24-000013_hii-20240331.htm,4fa47c55238b6f0d1cbaaa8e5eda90085126d50b324357ebebba460643ff2d3c,26
2024Q2,AS_REPORTED_CURRENT_QUARTER,83000000.0,-59000000.0,24000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-08-01_0001501585-24-000036_hii-20240630.htm,be9966ba3f35be49eab21b4c8839977cef91e77537bd2cea51bbc6544200634d,29
2024Q3,AS_REPORTED_CURRENT_QUARTER,36000000.0,-108000000.0,-72000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2024-10-31_0001501585-24-000042_hii-20240930.htm,a97548189124c42ee0911ff7c7ced36c6a4efc1e1ea10025c2afdcd823b729e1,29
2024Q4,FY_LESS_REPORTED_Q1_Q2_Q3,,,-80000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2025-02-06_0001501585-25-000006_hii-20241231.htm,db9afdddcf4eac67785bb07386819b59aa3c2a28addf94448fad93d2a661c5c3,12
2025Q1,AS_REPORTED_CURRENT_QUARTER,80000000.0,-80000000.0,0.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-05-01_0001501585-25-000037_hii-20250331.htm,b1efdc3fd2c325117b31607fef86e968de29049cfdf95f6d8adb9e108cc70786,25
2025Q2,AS_REPORTED_CURRENT_QUARTER,138000000.0,-148000000.0,-10000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-07-31_0001501585-25-000099_hii-20250630.htm,9f28d3329cea57d5f484b236d530e6e9b5b8e9e3968dc050213ac298aa952b84,30
2025Q3,AS_REPORTED_CURRENT_QUARTER,37000000.0,-40000000.0,-3000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2025-10-30_0001501585-25-000112_hii-20250930.htm,85ab8d8d07fd834c3e7182d97d540b714b3f719ad7d2bdbe371d9cacdbfb35e5,30
2025Q4,FY_LESS_REPORTED_Q1_Q2_Q3,,,-15000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-K\2026-02-05_0001501585-26-000006_hii-20251231.htm,e9c2363b3b156a5e2e0ceb49d9548f25fbf60ef9da574ac270867e9ead3b3a82,9
2026Q1,AS_REPORTED_CURRENT_QUARTER,66000000.0,-65000000.0,1000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2026-05-05_0001501585-26-000029_hii-20260331.htm,517eb40c506fdafa020e4e4f8f7b4c2524632345fbe735b0b85c3c2d4653b85a,25
2026Q2,AS_REPORTED_CURRENT_QUARTER,168000000.0,-158000000.0,10000000.0,D:\Programming\python_example\ForecastTest\data-lake\bronze\industrials\v5\sec\hii\10-Q\2026-07-30_0001501585-26-000047_hii-20260630.htm,cc018dfd509fe4bc6db1fdd5fc2bd89cfb56c4f601faf2bd09e4fdfaa7400191,30
