issuer,filing_year,referenced_year,metric,original_filing_value_usd,repeated_value_usd,difference_usd,within_tolerance
CAT,2023,2022,mpe_finance_receivables_current_usd,0.0,0.0,0.0,True
CAT,2023,2022,financial_products_finance_receivables_current_usd,13902000000.0,13902000000.0,0.0,True
CAT,2023,2022,consolidated_short_term_borrowings_usd,5957000000.0,5957000000.0,0.0,True
CAT,2023,2022,mpe_short_term_borrowings_usd,3000000.0,3000000.0,0.0,True
CAT,2023,2022,financial_products_short_term_borrowings_usd,5954000000.0,5954000000.0,0.0,True
CAT,2023,2022,consolidated_debt_current_usd,5322000000.0,5322000000.0,0.0,True
CAT,2023,2022,mpe_debt_current_usd,120000000.0,120000000.0,0.0,True
CAT,2023,2022,financial_products_debt_current_usd,5202000000.0,5202000000.0,0.0,True
CAT,2023,2022,consolidated_debt_noncurrent_usd,25714000000.0,25714000000.0,0.0,True
CAT,2023,2022,mpe_debt_noncurrent_usd,9529000000.0,9529000000.0,0.0,True
CAT,2023,2022,financial_products_debt_noncurrent_usd,16216000000.0,16216000000.0,0.0,True
CAT,2023,2022,consolidated_equity_usd,15891000000.0,15891000000.0,0.0,True
CAT,2023,2022,mpe_equity_usd,12962000000.0,12962000000.0,0.0,True
CAT,2023,2022,financial_products_equity_usd,4032000000.0,4032000000.0,0.0,True
CAT,2024,2023,consolidated_total_revenue_usd,67060000000.0,67060000000.0,0.0,True
CAT,2024,2023,mpe_total_revenue_usd,63869000000.0,63869000000.0,0.0,True
CAT,2024,2023,financial_products_total_revenue_usd,3927000000.0,3927000000.0,0.0,True
CAT,2024,2023,consolidated_operating_profit_usd,12966000000.0,12966000000.0,0.0,True
CAT,2024,2023,mpe_operating_profit_usd,12659000000.0,12659000000.0,0.0,True
CAT,2024,2023,financial_products_operating_profit_usd,923000000.0,923000000.0,0.0,True
CAT,2024,2023,consolidated_interest_expense_usd,511000000.0,511000000.0,0.0,True
CAT,2024,2023,mpe_interest_expense_usd,511000000.0,511000000.0,0.0,True
CAT,2024,2023,financial_products_interest_expense_usd,0.0,0.0,0.0,True
CAT,2024,2023,consolidated_fp_interest_expense_usd,1030000000.0,1030000000.0,0.0,True
CAT,2024,2023,mpe_fp_interest_expense_usd,0.0,0.0,0.0,True
CAT,2024,2023,financial_products_fp_interest_expense_usd,1032000000.0,1032000000.0,0.0,True
CAT,2024,2023,consolidated_pretax_profit_usd,13050000000.0,13050000000.0,0.0,True
CAT,2024,2023,mpe_pretax_profit_usd,12488000000.0,12488000000.0,0.0,True
CAT,2024,2023,financial_products_pretax_profit_usd,907000000.0,907000000.0,0.0,True
CAT,2024,2023,consolidated_income_tax_usd,2781000000.0,2781000000.0,0.0,True
CAT,2024,2023,mpe_income_tax_usd,2560000000.0,2560000000.0,0.0,True
CAT,2024,2023,financial_products_income_tax_usd,221000000.0,221000000.0,0.0,True
CAT,2024,2023,consolidated_profit_usd,10332000000.0,10332000000.0,0.0,True
CAT,2024,2023,mpe_profit_usd,9995000000.0,9995000000.0,0.0,True
CAT,2024,2023,financial_products_profit_usd,686000000.0,686000000.0,0.0,True
