fiscal_year,filing_date,accession,primary_document,source_url,local_path,source_sha256,source_authority,point_in_time_eligible
2021,2022-02-16,0000018230-22-000050,cat-20211231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823022000050/cat-20211231.htm,data-lake/bronze/snapshots/industrials_cat_10k/fiscal_year=2021/cat-20211231.htm,926c3064c1b485242db38739459d66126011e6f4b2db5289066a58f6456ccc08,SEC_EDGAR_10_K,True
2022,2023-02-15,0000018230-23-000011,cat-20221231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823023000011/cat-20221231.htm,data-lake/bronze/snapshots/industrials_cat_10k/fiscal_year=2022/cat-20221231.htm,779a0af213e496cf178df5089e528d4b6ab0afafa4ec812db660c5b230857fe0,SEC_EDGAR_10_K,True
2023,2024-02-16,0000018230-24-000009,cat-20231231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823024000009/cat-20231231.htm,data-lake/bronze/snapshots/industrials_cat_10k/fiscal_year=2023/cat-20231231.htm,6234e660810ce6ac07a3574668a3223492164efc9019ff6c05178b0f782ea3d7,SEC_EDGAR_10_K,True
2024,2025-02-14,0000018230-25-000008,cat-20241231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823025000008/cat-20241231.htm,data-lake/bronze/snapshots/industrials_cat_10k/fiscal_year=2024/cat-20241231.htm,a2abf5cb2bc7be0440c1d358cdd02b5eb300a8f231ff4233ee6a724f02b6782c,SEC_EDGAR_10_K,True
2025,2026-02-13,0000018230-26-000008,cat-20251231.htm,https://www.sec.gov/Archives/edgar/data/18230/000001823026000008/cat-20251231.htm,data-lake/bronze/snapshots/industrials_cat_10k/fiscal_year=2025/cat-20251231.htm,090ce2bd6d7dd1e85d4397ab152d3c3c3fb059fd4af0eb9aa979c1eb2ff92f15,SEC_EDGAR_10_K,True
