fiscal_year,filing_date,accession,primary_document,source_url,local_path,source_sha256,source_authority,point_in_time_eligible
2021,2022-02-16,0000764764-22-000029,cfsc-20211231.htm,https://www.sec.gov/Archives/edgar/data/764764/000076476422000029/cfsc-20211231.htm,data-lake/bronze/snapshots/industrials_cfsc_10k/fiscal_year=2021/cfsc-20211231.htm,d4053476be47c5c5b5808db42dbb66a7fc4a06ff9597440b2b49b6c6cc850bc7,SEC_EDGAR_CFSC_10_K,True
2022,2023-02-15,0000764764-23-000016,cfsc-20221231.htm,https://www.sec.gov/Archives/edgar/data/764764/000076476423000016/cfsc-20221231.htm,data-lake/bronze/snapshots/industrials_cfsc_10k/fiscal_year=2022/cfsc-20221231.htm,33430d63c0d50ee9fcb90d6b245148be481bcf67232fe12a685f8738ee8e5744,SEC_EDGAR_CFSC_10_K,True
2023,2024-02-16,0000764764-24-000011,cfsc-20231231.htm,https://www.sec.gov/Archives/edgar/data/764764/000076476424000011/cfsc-20231231.htm,data-lake/bronze/snapshots/industrials_cfsc_10k/fiscal_year=2023/cfsc-20231231.htm,298120acae9d50d9f18f6fe022e125389b27962d74d539e87aec842d950e4d78,SEC_EDGAR_CFSC_10_K,True
2024,2025-02-14,0000764764-25-000006,cfsc-20241231.htm,https://www.sec.gov/Archives/edgar/data/764764/000076476425000006/cfsc-20241231.htm,data-lake/bronze/snapshots/industrials_cfsc_10k/fiscal_year=2024/cfsc-20241231.htm,98c45befce8ca3dea554110c90f2286ce09d099eac9fa33b6bdf549cb6af84f7,SEC_EDGAR_CFSC_10_K,True
2025,2026-02-13,0000764764-26-000007,cfsc-20251231.htm,https://www.sec.gov/Archives/edgar/data/764764/000076476426000007/cfsc-20251231.htm,data-lake/bronze/snapshots/industrials_cfsc_10k/fiscal_year=2025/cfsc-20251231.htm,fdfd79877b9496fae0883ed1f017fad12cd01dd0fa70e920e041669cd650a115,SEC_EDGAR_CFSC_10_K,True
