forecast_year,revenue_usd,growth_pct,operating_margin_pct,ebit_usd,nopat_usd,roic_pct,reinvestment_usd,fcff_usd,discount_factor,pv_fcff_usd,fcff_identity_error_usd,terminal_margin_pct,terminal_roic_pct,terminal_fcff_usd,terminal_value_usd,pv_terminal_value_usd
1,74874398679.74641,17.027819130582095,26.29388332984816,19687387032.777893,15651535751.2347,75.09641635507643,3489841948.5423894,12161693802.69231,1.0951380973659068,11105169139.804707,4.76837158203125e-07,,,,,
2,84810878559.86877,13.270864347936573,23.97330402598881,20331969764.2695,16163981087.417328,68.66528532521475,3123994887.922746,13039986199.494581,1.1993274523022184,10872748868.095314,-4.76837158203125e-07,,,,,
3,92879708847.58351,9.513909565291048,21.652724722129456,20110987679.482574,15988299622.18954,62.23415429535309,2444176167.0993924,13544123455.090149,1.313429184232952,10312031754.494608,4.76837158203125e-07,,,,,
4,98226751688.19171,5.756954782645524,19.33214541827011,18989338476.00431,15096584912.697851,55.803023265491426,1557448891.2774642,13539136021.420387,1.43838633784573,9412725680.986334,2.384185791015625e-07,,,,,
5,100191286721.95555,2.0,17.011566114410755,17044106981.584314,13550119643.91168,49.37189223562976,548900154.737561,13001219489.17412,1.5752316773054873,8253528465.992607,7.152557373046875e-07,17.011566114410755,49.37189223562976,13261243878.957602,176491611364.3138,112041684983.26009
