fiscal_year,filing_date,source_url,source_sha256,retail_finance_revenue_usd,operating_lease_revenue_usd,wholesale_finance_revenue_usd,other_revenue_usd,total_revenue_usd,interest_expense_usd,leased_equipment_depreciation_usd,general_operating_admin_usd,credit_loss_provision_usd,total_expense_usd,pretax_profit_usd,income_tax_usd,standalone_profit_usd,cash_usd,finance_receivables_net_usd,allowance_credit_losses_usd,operating_lease_assets_net_usd,short_term_borrowings_usd,current_debt_usd,long_term_debt_usd,standalone_equity_usd,dividend_to_parent_usd,finance_receivables_gross_usd,standalone_funding_debt_usd,average_finance_receivables_usd,average_funding_debt_usd,average_equity_usd,financing_revenue_usd,financing_yield_pct,funding_cost_pct,net_finance_spread_pct,credit_loss_rate_pct,allowance_coverage_pct,standalone_roe_pct,payout_ratio_pct,retention_ratio_pct,sustainable_equity_growth_pct,financial_products_profit_usd,financial_products_equity_usd,segment_minus_cfsc_profit_usd,segment_minus_cfsc_equity_usd,perimeter_status
2021,2022-02-16,https://www.sec.gov/Archives/edgar/data/764764/000076476422000029/cfsc-20211231.htm,d4053476be47c5c5b5808db42dbb66a7fc4a06ff9597440b2b49b6c6cc850bc7,1197000000.0,942000000.0,314000000.0,109000000.0,2562000000.0,455000000.0,755000000.0,528000000.0,70000000.0,1844000000.0,695000000.0,178000000.0,505000000.0,610000000.0,27177000000.0,337000000.0,3123000000.0,5395000000.0,6307000000.0,16287000000.0,2981000000.0,850000000.0,27514000000.0,27989000000.0,,,,1511000000.0,,,,,1.224830995129752,,168.31683168316832,-68.31683168316832,,678000000.0,4257000000.0,173000000.0,1276000000.0,CFSC_EXACT_STANDALONE_WITH_CAT_FP_RECONCILING_RESIDUAL
2022,2023-02-15,https://www.sec.gov/Archives/edgar/data/764764/000076476423000016/cfsc-20221231.htm,33430d63c0d50ee9fcb90d6b245148be481bcf67232fe12a685f8738ee8e5744,1229000000.0,888000000.0,441000000.0,176000000.0,2734000000.0,566000000.0,718000000.0,531000000.0,81000000.0,1920000000.0,731000000.0,189000000.0,535000000.0,868000000.0,26441000000.0,346000000.0,2911000000.0,5954000000.0,5202000000.0,16216000000.0,2963000000.0,275000000.0,26787000000.0,27372000000.0,26809000000.0,27680500000.0,2972000000.0,1670000000.0,6.229251370808311,2.0447607521540436,4.184490618654268,0.3021373419374091,1.2916713331093441,18.001345895020187,51.4018691588785,48.5981308411215,8.748317631224765,655000000.0,4032000000.0,120000000.0,1069000000.0,CFSC_EXACT_STANDALONE_WITH_CAT_FP_RECONCILING_RESIDUAL
2023,2024-02-16,https://www.sec.gov/Archives/edgar/data/764764/000076476424000011/cfsc-20231231.htm,298120acae9d50d9f18f6fe022e125389b27962d74d539e87aec842d950e4d78,1464000000.0,905000000.0,684000000.0,195000000.0,3248000000.0,1033000000.0,713000000.0,588000000.0,49000000.0,2416000000.0,760000000.0,192000000.0,563000000.0,727000000.0,27746000000.0,331000000.0,3014000000.0,4643000000.0,7719000000.0,15893000000.0,3170000000.0,425000000.0,28077000000.0,28255000000.0,27093500000.0,27813500000.0,3066500000.0,2148000000.0,7.928100835993873,3.714023765437647,4.214077070556225,0.1808551866683891,1.1789008797236171,18.35969346160117,75.48845470692717,24.511545293072828,4.500244578509702,686000000.0,4399000000.0,123000000.0,1229000000.0,CFSC_EXACT_STANDALONE_WITH_CAT_FP_RECONCILING_RESIDUAL
2024,2025-02-14,https://www.sec.gov/Archives/edgar/data/764764/000076476425000006/cfsc-20241231.htm,98c45befce8ca3dea554110c90f2286ce09d099eac9fa33b6bdf549cb6af84f7,1689000000.0,936000000.0,706000000.0,158000000.0,3489000000.0,1287000000.0,722000000.0,644000000.0,75000000.0,2764000000.0,533000000.0,-66000000.0,598000000.0,599000000.0,28964000000.0,267000000.0,2780000000.0,4393000000.0,6619000000.0,18787000000.0,2890000000.0,625000000.0,29231000000.0,29799000000.0,28355000000.0,29027000000.0,3030000000.0,2395000000.0,8.44648210192206,4.433803010989768,4.012679090932291,0.26450361488273677,0.9134138414696726,19.735973597359735,104.51505016722409,-4.515050167224089,-0.8910891089108928,724000000.0,4246000000.0,126000000.0,1356000000.0,CFSC_EXACT_STANDALONE_WITH_CAT_FP_RECONCILING_RESIDUAL
2025,2026-02-13,https://www.sec.gov/Archives/edgar/data/764764/000076476426000007/cfsc-20251231.htm,fdfd79877b9496fae0883ed1f017fad12cd01dd0fa70e920e041669cd650a115,1858000000.0,922000000.0,694000000.0,160000000.0,3634000000.0,1388000000.0,699000000.0,666000000.0,106000000.0,2887000000.0,734000000.0,193000000.0,540000000.0,533000000.0,32815000000.0,284000000.0,2927000000.0,5514000000.0,7085000000.0,20018000000.0,3227000000.0,500000000.0,33099000000.0,32617000000.0,30889500000.0,31208000000.0,3058500000.0,2552000000.0,8.261707052558313,4.447577544219431,3.8141295083388815,0.3431586785153531,0.8580319647119248,17.655713585090734,92.5925925925926,7.407407407407405,1.3078306359326464,734000000.0,4841000000.0,194000000.0,1614000000.0,CFSC_EXACT_STANDALONE_WITH_CAT_FP_RECONCILING_RESIDUAL
