surface,growth_pct,margin_pct,roic_pct,wacc_pct,mpe_enterprise_value_usd,market_target_mpe_enterprise_value_usd,market_value_gap_pct,market_match,sotp_value_per_share
GROWTH_X_ROIC,-5.0,17.011566114410755,10.0,9.513809736590686,91521252145.68088,377897559334.99567,-75.78146513919403,False,212.4173162166366
GROWTH_X_ROIC,-5.0,17.011566114410755,20.0,9.513809736590686,95599770772.97131,377897559334.99567,-74.70219946876534,False,221.18290759811535
GROWTH_X_ROIC,-5.0,17.011566114410755,30.0,9.513809736590686,96959276982.06813,377897559334.99567,-74.34244424528913,False,224.1047713919416
GROWTH_X_ROIC,-5.0,17.011566114410755,40.0,9.513809736590686,97639030086.61653,377897559334.99567,-74.16256663355101,False,225.5657032888547
GROWTH_X_ROIC,-5.0,17.011566114410755,50.0,9.513809736590686,98046881949.34558,377897559334.99567,-74.05464006650814,False,226.44226242700262
GROWTH_X_ROIC,0.0,17.011566114410755,10.0,9.513809736590686,93383658108.19373,377897559334.99567,-75.2886315877442,False,216.42001698759344
GROWTH_X_ROIC,0.0,17.011566114410755,20.0,9.513809736590686,102777589167.0907,377897559334.99567,-72.80279096061025,False,236.60954378712594
GROWTH_X_ROIC,0.0,17.011566114410755,30.0,9.513809736590686,105908899520.05637,377897559334.99567,-71.97417741823226,False,243.3393860536368
GROWTH_X_ROIC,0.0,17.011566114410755,40.0,9.513809736590686,107474554696.5392,377897559334.99567,-71.55987064704327,False,246.7043071868922
GROWTH_X_ROIC,0.0,17.011566114410755,50.0,9.513809736590686,108413947802.4289,377897559334.99567,-71.31128658432988,False,248.72325986684547
GROWTH_X_ROIC,5.0,17.011566114410755,10.0,9.513809736590686,94667560805.871,377897559334.99567,-74.94888271507706,False,219.1793929889957
GROWTH_X_ROIC,5.0,17.011566114410755,20.0,9.513809736590686,110195092571.145,377897559334.99567,-70.83995653079619,False,252.5513133001079
GROWTH_X_ROIC,5.0,17.011566114410755,30.0,9.513809736590686,115370936492.90302,377897559334.99567,-69.47031446936923,False,263.6752867371453
GROWTH_X_ROIC,5.0,17.011566114410755,40.0,9.513809736590686,117958858453.78203,377897559334.99567,-68.78549343865575,False,269.237273455664
GROWTH_X_ROIC,5.0,17.011566114410755,50.0,9.513809736590686,119511611630.3094,377897559334.99567,-68.37460082022766,False,272.5744654867752
GROWTH_X_ROIC,10.0,17.011566114410755,10.0,9.513809736590686,95319034563.26039,377897559334.99567,-74.77648844014821,False,220.57954664155503
GROWTH_X_ROIC,10.0,17.011566114410755,20.0,9.513809736590686,117852506875.01433,377897559334.99567,-68.81363640389607,False,269.00870162175966
GROWTH_X_ROIC,10.0,17.011566114410755,30.0,9.513809736590686,125363664312.26562,377897559334.99567,-66.82601905847869,False,285.1517532818279
GROWTH_X_ROIC,10.0,17.011566114410755,40.0,9.513809736590686,129119243030.89127,377897559334.99567,-65.83221038577,False,293.2232791118619
GROWTH_X_ROIC,10.0,17.011566114410755,50.0,9.513809736590686,131372590262.06668,377897559334.99567,-65.2359251821448,False,298.0661946098825
GROWTH_X_ROIC,15.0,17.011566114410755,10.0,9.513809736590686,95281457853.72781,377897559334.99567,-74.78643206338799,False,220.49878641674715
GROWTH_X_ROIC,15.0,17.011566114410755,20.0,9.513809736590686,125749326528.81335,377897559334.99567,-66.72396435952102,False,285.9806222194153
GROWTH_X_ROIC,15.0,17.011566114410755,30.0,9.513809736590686,135905282753.84189,377897559334.99567,-64.03647512489869,False,307.8079008203047
GROWTH_X_ROIC,15.0,17.011566114410755,40.0,9.513809736590686,140983260866.35614,377897559334.99567,-62.692730507587534,False,318.7215401207494
GROWTH_X_ROIC,15.0,17.011566114410755,50.0,9.513809736590686,144030047733.8647,377897559334.99567,-61.886483737200834,False,325.2697237010162
