change,policy,required_version_route
NEW_MARKET_PRICE,ALLOWED_APPEND_ONLY_OBSERVATION,ENERGY_VALUATION_V1_1_READ_ONLY
ACTUAL_RELEASE,ALLOWED_APPEND_ONLY_OBSERVATION,ENERGY_VALUATION_V1_1_READ_ONLY
CONSENSUS_VINTAGE,ALLOWED_APPEND_ONLY_OBSERVATION,ENERGY_VALUATION_V1_1_READ_ONLY
LIVE_FORECAST_SNAPSHOT,ALLOWED_APPEND_ONLY_OBSERVATION,ENERGY_VALUATION_V1_1_READ_ONLY
SETTLEMENT,ALLOWED_APPEND_ONLY_OBSERVATION,ENERGY_VALUATION_V1_1_READ_ONLY
FCFF_ATTRIBUTION,ALLOWED_APPEND_ONLY_OBSERVATION,ENERGY_VALUATION_V1_1_READ_ONLY
MONITORING_REPORT,ALLOWED_APPEND_ONLY_OBSERVATION,ENERGY_VALUATION_V1_1_READ_ONLY
WACC_FORMULA,PROHIBITED_IN_FROZEN_V1_1,V1.1.1_BUGFIX_IF_PROVEN_BUG_ELSE_V1.2_RESEARCH
SCENARIO_BOUNDS,PROHIBITED_IN_FROZEN_V1_1,V1.1.1_BUGFIX_IF_PROVEN_BUG_ELSE_V1.2_RESEARCH
TERMINAL_GROWTH,PROHIBITED_IN_FROZEN_V1_1,V1.1.1_BUGFIX_IF_PROVEN_BUG_ELSE_V1.2_RESEARCH
FINANCIAL_BRIDGE,PROHIBITED_IN_FROZEN_V1_1,V1.1.1_BUGFIX_IF_PROVEN_BUG_ELSE_V1.2_RESEARCH
PARSER_SEMANTICS,PROHIBITED_IN_FROZEN_V1_1,V1.1.1_BUGFIX_IF_PROVEN_BUG_ELSE_V1.2_RESEARCH
E&P_MANUAL_OVERRIDE,PROHIBITED_IN_FROZEN_V1_1,V1.1.1_BUGFIX_IF_PROVEN_BUG_ELSE_V1.2_RESEARCH
SCENARIO_WEIGHT_RETUNING,PROHIBITED_IN_FROZEN_V1_1,V1.1.1_BUGFIX_IF_PROVEN_BUG_ELSE_V1.2_RESEARCH
