as_of_date,ticker,provider,dataset,revenue_consensus_available,status,source_path,ingested_at
2026-07-31,AR,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=AR.json,2026-09-02T00:07:34+00:00
2026-07-31,CNX,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=CNX.json,2026-09-02T00:07:34+00:00
2026-07-31,COP,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=COP.json,2026-09-02T00:07:34+00:00
2026-07-31,DVN,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=DVN.json,2026-09-02T00:07:34+00:00
2026-07-31,EOG,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=EOG.json,2026-09-02T00:07:34+00:00
2026-07-31,EQT,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=EQT.json,2026-09-02T00:07:34+00:00
2026-07-31,FANG,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=FANG.json,2026-09-02T00:07:34+00:00
2026-07-31,MGY,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=MGY.json,2026-09-02T00:07:34+00:00
2026-07-31,MTDR,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=MTDR.json,2026-09-02T00:07:34+00:00
2026-07-31,NOG,FINNWORLDS,COMPANY_RATINGS,0,RATINGS_ONLY_NOT_USED_AS_REVENUE_CONSENSUS,D:\Programming\python_example\Arcana\data-lake\bronze\consensus\finnworlds\company-ratings\snapshot_date=2026-07-31\ticker=NOG.json,2026-09-02T00:07:34+00:00
