ticker,quarter,ma_event,ma_window,mna_jump_allow,total_production_raw,oil_production_raw,total_oil_ratio,total_production_clean,oil_production_clean,production_qoq_log_raw,production_qoq_threshold,total_prod_yoy_raw,total_prod_yoy_clean,production_qc_flag
FANG,2012Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
FANG,2013Q1,0.0,0.0,0.0,,,,,,,,,,MISSING
FANG,2013Q2,0.0,0.0,0.0,,,,,,,,,,MISSING
FANG,2013Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
FANG,2014Q1,1.0,1.0,1.0,,,,,,,,,,MISSING
FANG,2014Q2,0.0,1.0,1.0,,,,,,,,,,MISSING
FANG,2014Q3,1.0,1.0,1.0,,,,,,,,,,MISSING
FANG,2014Q4,0.0,1.0,1.0,,,,,,,,,,MISSING
FANG,2015Q1,0.0,1.0,0.0,,,,,,,,,,MISSING
FANG,2015Q2,0.0,1.0,0.0,,,,,,,,,,MISSING
FANG,2015Q3,0.0,1.0,0.0,,,,,,,,,,MISSING
FANG,2015Q4,0.0,0.0,0.0,,,,,,,,,,MISSING
FANG,2016Q1,0.0,0.0,0.0,,,,,,,,,,MISSING
FANG,2016Q2,0.0,0.0,0.0,,,,,,,,,,MISSING
FANG,2016Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
FANG,2016Q4,0.0,0.0,0.0,,,,,,,,,,MISSING
FANG,2017Q1,1.0,1.0,1.0,,,,,,,,,,MISSING
FANG,2017Q2,0.0,1.0,1.0,,,,,,,,,,MISSING
FANG,2017Q3,0.0,1.0,0.0,,,,,,,,,,MISSING
FANG,2017Q4,0.0,1.0,0.0,,,,,,,,,,MISSING
FANG,2018Q1,0.0,1.0,0.0,,,,,,,,,,MISSING
FANG,2018Q2,0.0,0.0,0.0,,,,,,,,,,MISSING
FANG,2018Q3,0.0,0.0,0.0,,,,,,,,,,MISSING
FANG,2018Q4,1.0,1.0,1.0,,,,,,,,,,MISSING
FANG,2019Q1,0.0,1.0,1.0,,,,,,,,,,MISSING
FANG,2019Q2,0.0,1.0,0.0,,,,,,,,,,MISSING
FANG,2019Q3,0.0,1.0,0.0,,,,,,,,,,MISSING
FANG,2019Q4,0.0,1.0,0.0,301.3,195.0,1.5451282051282051,301.3,195.0,,,,,OK
FANG,2020Q1,0.0,0.0,0.0,321.1,201.4,1.5943396226415094,321.1,201.4,6.364615495921278,35.0,,,OK
FANG,2020Q2,0.0,0.0,0.0,294.1,176.3,1.6681792399319342,294.1,176.3,-8.783275553551888,35.0,,,OK
FANG,2020Q3,0.0,0.0,0.0,287.3,170.0,1.6900000000000002,287.3,170.0,-2.339287957470546,35.0,,,OK
FANG,2020Q4,0.0,0.0,0.0,325.0,185.0,1.7567567567567568,325.0,185.0,12.32982163444936,35.0,7.571873619348195,7.571873619348195,OK
FANG,2021Q1,1.0,1.0,1.0,307.4,184.2,1.6688382193268188,307.4,184.2,-5.567535122524206,35.0,-4.360276999097286,-4.360276999097286,OK
FANG,2021Q2,0.0,1.0,1.0,370.0,222.0,1.6666666666666667,370.0,222.0,18.535317453377466,35.0,22.958316007832067,22.958316007832067,OK
FANG,2021Q3,0.0,1.0,0.0,372.0,223.0,1.6681614349775784,372.0,223.0,0.5390848634876373,35.0,25.836688828790265,25.836688828790265,OK
FANG,2021Q4,0.0,1.0,0.0,376.0,222.0,1.6936936936936937,376.0,222.0,1.069528911674795,35.0,14.576396106015704,14.576396106015704,OK
FANG,2022Q1,0.0,1.0,0.0,381.4,222.8,1.7118491921005383,381.4,222.8,1.4259549776424019,35.0,21.569886206182325,21.569886206182325,OK
FANG,2022Q2,0.0,0.0,0.0,380.5,221.1,1.720940750791497,380.5,221.1,-0.23625158645780966,35.0,2.798317166347044,2.798317166347044,OK
FANG,2022Q3,0.0,0.0,0.0,50.0,37.0,1.3513513513513513,,,-202.94631718735943,35.0,-200.68708488450005,,REJECT_QOQ_JUMP
FANG,2022Q4,0.0,0.0,0.0,440.0,262.0,1.6793893129770991,440.0,262.0,14.528854961056634,49.49747468305833,15.718558352241235,15.718558352241235,OK
