target_quarter,guidance_total_production,guidance_oil_production
2021Q2,390.5,234.0
2021Q3,393.0,236.0
2021Q4,371.0,222.5
2022Q1,372.5,220.0
2022Q2,372.5,220.0
2022Q3,374.0,220.0
2022Q4,389.5,226.0
2023Q1,418.5,250.0
2023Q2,433.0,259.5
2023Q3,442.5,263.5
2023Q4,457.5,271.0
2024Q1,461.0,272.0
2024Q2,462.5,273.0
2024Q3,462.5,273.0
2024Q4,845.0,472.5
2025Q1,867.5,472.5
2025Q2,883.0,492.5
2025Q3,905.0,490.0
2025Q4,915.0,496.5
2026Q1,948.0,507.0
2026Q3,1005.0,522.0
