ticker,quarter,filing_date,total_production,oil_production,score,source,raw_text
COP,2022Q4,2023-02-02,1758.0,,120,2023-02-02:EX-99.1:a53295027ex99_1.htm,"Production for the fourth quarter of 2022 was 1,758 MBOED"
COP,2023Q1,2023-05-04,1792.0,,120,2023-05-04:EX-99.1:a53392156ex99_1.htm,"Production for the first quarter of 2023 was 1,792 MBOED"
COP,2023Q2,2023-08-03,1805.0,,120,2023-08-03:EX-99.1:a53499608ex99_1.htm,"Production for the second quarter of 2023 was 1,805 MBOED"
COP,2023Q4,2024-02-08,1902.0,,120,2024-02-08:EX-99.1:cop-20240208x8kexx991.htm,"Production for the fourth quarter of 2023 was 1,902 MBOED"
COP,2024Q1,2024-05-02,1902.0,,120,2024-05-02:EX-99.1:cop-20240502x8kexx991.htm,"Production for the first quarter of 2024 was 1,902 MBOED"
COP,2024Q3,2024-10-31,1917.0,,120,2024-10-31:EX-99.1:cop-20241031x8kexx991.htm,"Production for the third quarter of 2024 was 1,917 MBOED"
COP,2024Q4,2025-02-06,2183.0,,120,2025-02-06:EX-99.1:cop-20250206x8kexx991.htm,"Production for the fourth quarter of 2024 was 2,183 MBOED"
COP,2025Q1,2025-05-08,2389.0,,120,2025-05-08:EX-99.1:cop-20250508x8kexx991.htm,"Production for the first quarter of 2025 was 2,389 MBOED"
COP,2025Q2,2025-08-07,2391.0,,120,2025-08-07:EX-99.1:cop-20250807x8kexx991.htm,"Production for the second quarter of 2025 was 2,391 MBOED"
COP,2025Q4,2026-02-05,2320.0,,120,2026-02-05:EX-99.1:cop-20260205x8kexx991.htm,"Production for the fourth quarter of 2025 was 2,320 MBOED"
COP,2026Q1,2026-04-30,2309.0,,120,2026-04-30:EX-99.1:cop-20260430x8kexx991.htm,"Production for the first quarter of 2026 was 2,309 MBOED"
COP,2026Q2,2026-08-06,2248.0,,120,2026-08-06:EX-99.1:cop-20260806x8kexx991.htm,"Production for the second quarter of 2026 was 2,248 MBOED"
