ticker,target_quarter,filing_date,guidance_total_production,guidance_oil_production,score,source,raw_text
EOG,2024Q1,2024-08-01,55.0,,130,2024-08-01:EX-99.1:exh99-1080124.htm,EOG dedicated guidance table
EOG,2024Q1,2024-08-01,55.0,,130,2024-08-01:EX-99.1:exh99-1080124.htm,EOG dedicated guidance table
EOG,2021Q1,2021-02-25,800.6,1410.0,130,2021-02-25:EX-99.1:exh99-1022521.htm,EOG dedicated guidance table
EOG,2020Q4,2020-11-05,817.2,1320.0,130,2020-11-05:EX-99.1:exh99-1110520.htm,EOG dedicated guidance table
EOG,2020Q3,2020-08-06,711.7,1215.0,130,2020-08-06:EX-99.1:exh99-1080620.htm,EOG dedicated guidance table
EOG,2020Q2,2020-05-07,671.4,1140.0,130,2020-05-07:EX-99.1:exh99-1050720.htm,EOG dedicated guidance table
EOG,2020Q1,2020-02-27,886.2,1375.0,130,2020-02-27:EX-99.1:exh99-1022720.htm,EOG dedicated guidance table
EOG,2019Q4,2019-11-06,810.1,1346.0,130,2019-11-06:EX-99.1:exh99-1110619.htm,EOG dedicated guidance table
EOG,2019Q3,2019-08-01,793.8,1310.0,130,2019-08-01:EX-99.1:exh99-1080119.htm,EOG dedicated guidance table
EOG,2019Q2,2019-05-02,781.4,1310.0,130,2019-05-02:EX-99.1:exh99-1050219.htm,EOG dedicated guidance table
EOG,2019Q1,2019-02-26,781.4,1310.0,130,2019-02-26:EX-99:exh99-1022619.htm,EOG dedicated guidance table
EOG,2018Q4,2018-11-01,714.9,1217.0,130,2018-11-01:EX-99.1:exh99-1110118.htm,EOG dedicated guidance table
EOG,2018Q3,2018-08-02,706.7,1225.0,130,2018-08-02:EX-99.1:exh99-1080218.htm,EOG dedicated guidance table
EOG,2018Q2,2018-05-03,685.8,1178.0,130,2018-05-03:EX-99.1:exh99-1050318.htm,EOG dedicated guidance table
EOG,2018Q1,2018-02-27,685.8,1178.0,130,2018-02-27:EX-99.1:exh99-1022718.htm,EOG dedicated guidance table
EOG,2017Q4,2017-11-02,600.5,1085.0,130,2017-11-02:EX-99.1:exh99-1110217.htm,EOG dedicated guidance table
EOG,2017Q3,2017-08-01,587.8,1046.0,130,2017-08-01:EX-99.1:exh99-1080117.htm,EOG dedicated guidance table
EOG,2017Q2,2017-05-08,567.1,1025.0,130,2017-05-08:EX-99.1:exh99-1050817.htm,EOG dedicated guidance table
EOG,2017Q1,2017-02-27,567.1,1025.0,130,2017-02-27:EX-99.1:exh99-1022717.htm,EOG dedicated guidance table
EOG,2016Q4,2016-11-03,554.9,1172.0,130,2016-11-03:EX-99.1:exh99-1110316.htm,EOG dedicated guidance table
