ticker,year,quantity_unit,quantity_factor_to_mboe,quantity_scale_power10,production_calibration_ratio,kpi_production_mboe,kpi_min_quality,quantity_scale_status,end_reserves_mboe,production_mboe,extensions_discoveries_mboe,revisions_mboe,purchases_mboe,sales_mboe,quantity_source_tags,missing_event_facts_assumed_zero_for_identity,begin_reserves_source_year,begin_reserves_mboe,improved_recovery_identity_mboe,purchases_identity_mboe,sales_identity_mboe,stock_flow_net_organic_additions_mboe,identified_organic_additions_mboe,gross_positive_additions_mboe,reserve_reconciliation_residual_mboe,reserve_life_years,stock_flow_organic_replacement_rate_pct,identified_organic_replacement_rate_pct,reserve_reconciliation_residual_pct_of_production,development_cost_usd,development_cost_usd_source_tag,lifting_cost_usd,lifting_cost_usd_source_tag,upstream_dda_usd,upstream_dda_usd_source_tag,upstream_revenue_usd,upstream_revenue_usd_source_tag,lifting_cost_per_boe,upstream_dda_per_boe,upstream_revenue_per_boe,development_cost_per_added_boe
CNX,2021,Mcfe,0.00016666666666666666,0,0.9999969504436935,98374.96666666666,0.8500000000000001,KPI_CALIBRATED_WITHIN_25PCT,1604288.3333333333,98374.66666666666,151123.0,-54508.33333333333,,,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy;srt:ProvedDevelopedAndUndevelopedReserveNetEnergy;srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy;srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,improved_recovery;purchases;sales,2019.0,,0.0,0.0,0.0,,96614.66666666667,151123.0,,16.307941746520108,,98.21092151095812,,393641000,us-gaap:CostsIncurredDevelopmentCosts,46256000,us-gaap:ResultsOfOperationsProductionOrLiftingCosts,515118000,us-gaap:ResultsOfOperationsDepreciationDepletionAmortizationAndAccretion,650909000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,0.4702023556200106,5.236287119990242,6.616632330816878,2.6047722715933377
CNX,2022,Mcfe,0.00016666666666666666,0,1.0000039643778242,96694.45000000001,0.8500000000000001,KPI_CALIBRATED_WITHIN_25PCT,1634481.6666666665,96694.83333333333,187290.8333333333,-64553.33333333333,,,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy;srt:ProvedDevelopedAndUndevelopedReserveNetEnergy;srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy;srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy,improved_recovery;purchases;sales,2021.0,1604288.3333333333,0.0,0.0,0.0,126888.16666666658,122737.49999999999,187290.8333333333,4150.666666666599,16.90350570264871,131.22538432766996,126.93284198224998,4.292542345419972,526092000,us-gaap:CostsIncurredDevelopmentCosts,66658000,us-gaap:ResultsOfOperationsProductionOrLiftingCosts,461215000,us-gaap:ResultsOfOperationsDepreciationDepletionAmortizationAndAccretion,1173889000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,0.6893646506448984,4.769799834186246,12.140141924163476,2.8089575481982125
CNX,2023,Mcfe,0.00016666666666666666,0,1.0000124919917408,93393.16666666667,0.8500000000000001,KPI_CALIBRATED_WITHIN_25PCT,1456790.3333333333,93394.33333333333,97038.16666666666,-75734.83333333333,,28048.0,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy;srt:ProvedDevelopedAndUndevelopedReserveNetEnergy;srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy;srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy;srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,improved_recovery;purchases,2022.0,1634481.6666666665,0.0,0.0,28048.0,-56248.99999999993,21303.33333333333,97038.16666666666,-77552.33333333326,15.598273271397622,-60.227422791532604,22.810091975601658,-83.03751476713425,637711000,us-gaap:CostsIncurredDevelopmentCosts,63333000,us-gaap:ResultsOfOperationsProductionOrLiftingCosts,433586000,us-gaap:ResultsOfOperationsDepreciationDepletionAmortizationAndAccretion,3305088000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,0.6781246542438335,4.642530060710322,35.38852821191864,6.5717544127825995
CNX,2024,Mcfe,0.00016666666666666666,0,1.0000132532883133,91801.11666666667,0.8500000000000001,KPI_CALIBRATED_WITHIN_25PCT,1422990.5,91802.33333333333,212669.66666666666,-104149.33333333333,,3735.833333333333,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy;srt:ProvedDevelopedAndUndevelopedReserveNetEnergy;srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy;srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy;srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,improved_recovery;purchases,2023.0,1456790.3333333333,0.0,0.0,3735.833333333333,61738.33333333341,108520.33333333333,212669.66666666666,-46781.99999999992,15.500591851332755,67.25137705287094,118.21086609999021,-50.95948904711926,500402000,us-gaap:CostsIncurredDevelopmentCosts,70646000,us-gaap:ResultsOfOperationsProductionOrLiftingCosts,485754000,us-gaap:ResultsOfOperationsDepreciationDepletionAmortizationAndAccretion,1073139000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,0.7695447101925514,5.291303416398276,11.689670197199055,2.3529542686701914
CNX,2025,Mcfe,0.00016666666666666666,0,1.0000063597453557,104826.0,0.8500000000000001,KPI_CALIBRATED_WITHIN_25PCT,1610357.3333333333,104826.66666666666,144489.33333333334,11509.5,111332.16666666666,3595.333333333333,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy;srt:ProvedDevelopedAndUndevelopedReserveNetEnergy;srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy;srt:ProvedDevelopedAndUndevelopedReservePurchaseOfMineralInPlaceEnergy;srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy;srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,improved_recovery,2024.0,1422990.5,0.0,111332.16666666666,3595.333333333333,184456.66666666657,155998.83333333334,155998.83333333334,28457.833333333227,15.362096158738236,175.96349529381828,148.81598193843809,27.14751335538021,432082000,us-gaap:CostsIncurredDevelopmentCosts,97416000,us-gaap:ResultsOfOperationsProductionOrLiftingCosts,574114000,us-gaap:ResultsOfOperationsDepreciationDepletionAmortizationAndAccretion,2055738000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,0.9293055202238617,5.476793436784534,19.610830577461208,2.769777124401571
EQT,2024,MMcfe,0.16666666666666666,0,1.0000713644524235,371333.3333333334,0.65,KPI_CALIBRATED_WITHIN_25PCT,4377444.833333333,371359.8333333333,520936.6666666666,-179946.16666666666,68840.0,260474.8333333333,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy;srt:ProvedDevelopedAndUndevelopedReserveNetEnergy;srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy;srt:ProvedDevelopedAndUndevelopedReservePurchaseOfMineralInPlaceEnergy;srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy;srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,improved_recovery,,,0.0,68840.0,260474.8333333333,,340990.5,520936.6666666666,,11.787609860876175,,91.82212759502352,,1848000000,us-gaap:CostsIncurredDevelopmentCosts,377007000,us-gaap:ResultsOfOperationsProductionOrLiftingCosts,2016670000,us-gaap:ResultsOfOperationsDepreciationDepletionAndAmortizationAndValuationProvisions,,,1.0152067244752283,5.430501144666965,,3.5474561846929573
EQT,2025,MMcfe,0.16666666666666666,0,1.0001540722082283,397000.0,0.65,KPI_CALIBRATED_WITHIN_25PCT,4674413.166666666,397061.1666666666,407452.8333333333,-4512.166666666666,294760.0,3671.1666666666665,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy;srt:ProvedDevelopedAndUndevelopedReserveNetEnergy;srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy;srt:ProvedDevelopedAndUndevelopedReservePurchaseOfMineralInPlaceEnergy;srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy;srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,improved_recovery,2024.0,4377444.833333333,0.0,294760.0,3671.1666666666665,402940.66666666634,402940.6666666666,407452.8333333333,-2.9103830456733704e-10,11.772526651015566,101.48075422468487,101.48075422468494,-7.329810341580547e-14,1725438000,us-gaap:CostsIncurredDevelopmentCosts,388696000,us-gaap:ResultsOfOperationsProductionOrLiftingCosts,2263105000,us-gaap:ResultsOfOperationsDepreciationDepletionAndAmortizationAndValuationProvisions,,,0.9789322971649626,5.699638216949782,,4.234693831637773
FANG,2023,MBoe,0.001,-3,0.9981217990416594,163720.5,0.9,KPI_CALIBRATED_WITHIN_25PCT,2177761.0,163413.0,355874.0,-54470.0,70481.0,63682.0,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy;srt:ProvedDevelopedAndUndevelopedReserveNetEnergy;srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy;srt:ProvedDevelopedAndUndevelopedReservePurchaseOfMineralInPlaceEnergy;srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy;srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,improved_recovery,,,0.0,70481.0,63682.0,,301404.0,355874.0,,13.32673043148342,,184.4430981623249,,1962000000,us-gaap:CostsIncurredDevelopmentCosts,1684000000,us-gaap:ResultsOfOperationsProductionOrLiftingCosts,1684000000,us-gaap:ResultsOfOperationsDepreciationDepletionAndAmortizationAndValuationProvisions,8228000000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,10.305177678642458,10.305177678642458,50.35095127070674,5.513187251667725
FANG,2024,MBoe,0.001,-3,0.9893596352907689,221327.0,0.9,KPI_CALIBRATED_WITHIN_25PCT,3557416.0,218972.0,278808.0,-129071.0,1569482.0,120592.0,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy;srt:ProvedDevelopedAndUndevelopedReserveNetEnergy;srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy;srt:ProvedDevelopedAndUndevelopedReservePurchaseOfMineralInPlaceEnergy;srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy;srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,improved_recovery,2023.0,2177761.0,0.0,1569482.0,120592.0,149737.0,149737.0,278808.0,0.0,16.245985788137297,68.38180223955574,68.38180223955574,0.0,2992000000,us-gaap:CostsIncurredDevelopmentCosts,2280000000,us-gaap:ResultsOfOperationsProductionOrLiftingCosts,2781000000,us-gaap:ResultsOfOperationsDepreciationDepletionAndAmortizationAndValuationProvisions,10100000000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,10.412290155819008,12.700253913742396,46.124618672707015,10.731399385957362
FANG,2025,MBoe,0.001,-3,1.0000002974615523,336177.9,0.9,KPI_CALIBRATED_WITHIN_25PCT,3617856.0,336178.0,578919.0,-304085.0,188609.0,66825.0,srt:ProvedDevelopedAndUndevelopedReserveExtensionAndDiscoveryEnergy;srt:ProvedDevelopedAndUndevelopedReserveNetEnergy;srt:ProvedDevelopedAndUndevelopedReserveProductionEnergy;srt:ProvedDevelopedAndUndevelopedReservePurchaseOfMineralInPlaceEnergy;srt:ProvedDevelopedAndUndevelopedReserveRevisionOfPreviousEstimateEnergy;srt:ProvedDevelopedAndUndevelopedReservesSaleOfMineralInPlaceEnergy,improved_recovery,2024.0,3557416.0,0.0,188609.0,66825.0,274834.0,274834.0,578919.0,0.0,10.76172741821297,81.75252396052092,81.75252396052092,0.0,3613000000,us-gaap:CostsIncurredDevelopmentCosts,3231000000,us-gaap:ResultsOfOperationsProductionOrLiftingCosts,4943000000,us-gaap:ResultsOfOperationsDepreciationDepletionAndAmortizationAndValuationProvisions,13453000000.0,us-gaap:ResultsOfOperationsRevenueFromOilAndGasProducingActivities,9.610979897554271,14.703520158963407,40.0174907340754,6.240942169802684
