ticker,scenario,cash_flow_scenario_changed,wacc_changed,coupled_channels,audit_status,interpretation,v1_1_mutation_allowed
AR,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
AR,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
AR,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
CNX,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
CNX,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
CNX,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
COP,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
COP,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
COP,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
DVN,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
DVN,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
DVN,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
EOG,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
EOG,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
EOG,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
EQT,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
EQT,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
EQT,BULL,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
FANG,BEAR,True,True,True,ATTRIBUTION_REQUIRED_COUPLED_CHANNELS,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
FANG,BASE,False,False,False,NO_COUPLED_CHANGE,COUPLING_IS_NOT_PROOF_OF_DOUBLE_COUNTING_BUT_RISK_SOURCE_IS_UNATTRIBUTED,False
