ticker,v1_1_base_wacc_pct,risk_free_rate_pct,equity_risk_premium_pct,symmetric_beta_10y,downside_beta_10y,market_price_fit_used,expectations_surface_used,interpretation,wacc_reference_status,symmetric_return_wacc_pct,downside_return_wacc_pct,return_based_wacc_low_pct,return_based_wacc_high_pct
AR,6.190596691205954,4.69,4.5,1.2390775616219065,1.5901844377298353,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,8.901832109933686,10.189834137993703,8.901832109933686,10.189834137993703
CNX,6.586456160827697,4.69,4.5,0.5436846278967757,0.5341997271619079,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,6.721090607126958,6.691858485437383,6.691858485437383,6.721090607126958
COP,6.393861867479845,4.69,4.5,0.8385739295022674,1.5112171582836897,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,7.735650068114904,10.401374357468187,7.735650068114904,10.401374357468187
DVN,6.350703001716201,4.69,4.5,1.1773644916846995,2.1215310303386166,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,8.741674915724765,12.074408921981194,8.741674915724765,12.074408921981194
EOG,6.544723728886035,4.69,4.5,0.8649901598832365,1.3150126985552182,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,8.04155233033759,9.887099638784349,8.04155233033759,9.887099638784349
EQT,6.71496233922278,4.69,4.5,0.725017255477467,0.5928038286376669,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,7.574286442410905,7.06937323383292,7.06937323383292,7.574286442410905
FANG,5.920453693081896,4.69,4.5,1.1958934670250838,2.1913148861865923,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,8.457220931245802,12.085868941250062,8.457220931245802,12.085868941250062
MGY,6.78325439105391,4.69,4.5,0.9111734467093127,1.463175532327964,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,8.503489495013195,10.812912374188716,8.503489495013195,10.812912374188716
MTDR,6.245821698485839,4.69,4.5,1.570620386049091,2.7466055977772013,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,9.504375831380994,13.083619718228215,9.504375831380994,13.083619718228215
NOG,6.52484968517377,4.69,4.5,1.174983271454171,1.842443012268845,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,7.784216148034222,9.38001664208351,7.784216148034222,9.38001664208351
OVV,8.056340874834937,4.69,4.5,,,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,LOCKED_INSUFFICIENT_LOCAL_RETURN_HISTORY,,,,
PR,6.800062718082775,4.69,4.5,0.9413163038018175,2.1639271403081217,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,8.485421464636437,13.154494075791352,8.485421464636437,13.154494075791352
RRC,7.113354212382211,4.69,4.5,0.8218655355881296,0.9061277140986944,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,8.448673632791627,8.798251052335987,8.448673632791627,8.798251052335987
SM,6.691988886738445,4.69,4.5,1.6171747096907751,2.7925576046185383,False,False,INDEPENDENT_RETURN_BASED_RANGE_NOT_APPROPRIATE_WACC_POINT_ESTIMATE,INDEPENDENT_RANGE_AVAILABLE,10.96586227863004,15.46241741574617,10.96586227863004,15.46241741574617
