,revenue,assets,ppe,goodwill,debt,shares,revenue_yoy,assets_yoy,ppe_yoy,debt_yoy,shares_yoy,assets_qoq,ppe_qoq,debt_qoq,shares_qoq,goodwill_jump
2009Q2,,27057000000.0,18087000000.0,5710000000.0,5849000000.0,,,,,,,,,,,
2009Q3,,28141000000.0,18872000000.0,5929000000.0,5848000000.0,,,,,,,3.9281835805852823,4.248589392999562,-0.017098401341130432,,0.8094023727685997
2010Q1,,30677000000.0,18812000000.0,6018000000.0,5845000000.0,,,,,,,8.628560048803667,-0.31843780225724133,-0.051312752344563284,,0.3162645250701823
2010Q2,,29971000000.0,16841000000.0,5892000000.0,5571000000.0,,,,,,,-2.328294067362114,-11.067857460888435,-4.801202388535328,,-0.4107311666720996
2010Q3,2353000000.0,31863000000.0,18199000000.0,5977000000.0,3821000000.0,,,16.34997101558314,0.6173199342891544,-42.57585379961258,,6.121521453556309,7.755025804435259,-37.706240257391556,,0.28360748723766305
2011Q1,2147000000.0,34550000000.0,21081000000.0,6151000000.0,3800000000.0,,,20.517996255614516,11.069281877279648,-43.10986557151373,,8.096208820616656,14.700551335990067,-0.5511101732422773,,0.5460879389887958
2011Q2,3220000000.0,38537000000.0,22427000000.0,6176000000.0,5968000000.0,,,22.81056306069222,17.577062606135037,2.0825267977427977,,10.921126853881375,6.189342926598162,45.14107961691197,,0.0723589001447178
2011Q3,3502000000.0,39866000000.0,23170000000.0,5951000000.0,5969000000.0,,,28.52935828286246,31.90419489703676,6.900483814783444,,3.3905011548081356,3.2592748300132963,0.016754628505298384,,-0.5838544775151153
2012Q1,2497000000.0,42605000000.0,26561000000.0,6067000000.0,6719000000.0,,5.939890155241077,29.0526155272407,37.80773269836068,56.442716547325,,6.644778697934539,13.65856360575918,11.835992475150007,,0.2909747654643054
2012Q2,2559000000.0,43470000000.0,27241000000.0,6007000000.0,8455000000.0,,17.55450382810077,22.96634947870218,25.635103044884943,79.97569156182035,,2.0099427720781495,2.5279216825143105,22.981864841253064,,-0.14082854125102687
2012Q3,1865000000.0,43548000000.0,27146000000.0,6114000000.0,8455000000.0,,-54.61203064605381,12.224495926644096,19.096411573162136,34.834611944908396,,0.17927330182329984,-0.34934854512463437,0.0,,0.24614676788589832
2013Q1,1972000000.0,41582000000.0,26382000000.0,6017000000.0,7955000000.0,,-57.428597768321644,4.214355102062282,12.982362098244318,28.722125260323743,,-4.619639669773691,-2.8547746449045355,-6.095732056079344,,-0.22274272067603565
2013Q2,3091000000.0,40020000000.0,26925000000.0,5917000000.0,7956000000.0,403000000.0,21.340465185234315,-6.259228812433191,1.361124854057573,16.89870270537129,,-3.8288052165609328,2.0373263615724273,0.012569920197547609,,-0.24048867298350246
2013Q3,2720000000.0,40846000000.0,27962000000.0,5954000000.0,7956000000.0,403000000.0,6.101532313025427,-6.226214770573459,2.6123254238613005,-6.083162135881786,,2.0429568139378773,3.779122252318059,0.0,0.0,0.09245377311344327
2014Q1,3725000000.0,52765000000.0,37429000000.0,9155000000.0,11739000000.0,405000000.0,69.1805798735744,19.198431410411995,32.121609914613444,32.81586495458415,,25.60391948280874,29.159935945627502,38.899027090465935,0.49505051598562044,7.836752680801058
2014Q2,4510000000.0,51115000000.0,36999000000.0,8408000000.0,11880000000.0,406000000.0,82.72488973341432,20.641061488778067,33.82089258252328,40.10556521447487,,-3.1770095914076077,-1.1554919769947043,1.1939682038113733,0.24660924951934682,-1.4157111721785274
2014Q3,5336000000.0,50839000000.0,35169000000.0,8310000000.0,10161000000.0,407000000.0,54.598164546334324,23.928444742068358,26.71097897153486,24.463050151201852,0.9876623495912099,-0.5414219632706506,-5.072587249415981,-15.629945143075446,0.2460025840862399,-0.1917245426978382
2015Q1,3265000000.0,45342000000.0,31455000000.0,6328000000.0,10301000000.0,406000000.0,18.26278824204885,10.442485797167171,11.771150745636017,25.831461690983065,0.7416597655049619,-11.44300213096331,-11.160705973580797,1.3684115397811936,-0.24600258408623116,-3.898581797438974
2015Q2,3393000000.0,40606000000.0,27824000000.0,6349000000.0,11375000000.0,406000000.0,-9.335236602942974,-26.1932253183004,-29.654684740998068,-3.149866705937105,0.24660924951934682,-11.031791632658832,-12.26589954100657,9.917698693545772,0.0,0.046314675135635835
2015Q3,3601000000.0,34351000000.0,22775000000.0,5775000000.0,11400000000.0,406000000.0,-22.508556884784877,-39.74468658828537,-48.522744210593864,-4.124295853404913,0.0,-16.728470861392587,-20.02355144659052,0.2195390563435656,0.0,-1.413584199379402
2016Q1,2126000000.0,28637000000.0,19264000000.0,4159000000.0,12195000000.0,474000000.0,-92.02340286935664,-57.3964188573696,-60.19269436313904,18.246916916413923,15.23941362524815,-18.19315423235489,-16.74253740196115,6.741267626743378,15.485416209334387,-4.704375418473989
2016Q2,2488000000.0,27244000000.0,16815000000.0,4159000000.0,12357000000.0,518000000.0,-27.178058785146135,-50.94004418875658,-62.628660782976,18.198172622049707,24.362208265775052,-4.98662746235029,-13.596672393417755,1.3196672454169815,8.876792056440653,0.0
2016Q3,4233000000.0,26813000000.0,16169000000.0,3963000000.0,11004000000.0,521000000.0,22.119647573669358,-41.5028994407038,-54.280312885424976,-3.315912177468599,24.93968821516343,-1.594646884606031,-3.9175516434555404,-11.596386105972533,0.5774799493883958,-0.7194244604316548
2016Q4,1457000000.0,,,,,,-90.48320574536703,,,,,,,,,
2017Q1,3547000000.0,26134000000.0,16421000000.0,3964000000.0,10381000000.0,522000000.0,51.18598958717286,-9.146243943562048,-15.967706561671017,-16.104881945677523,9.646026618756231,,,,,
2017Q2,3273000000.0,26814000000.0,16822000000.0,3964000000.0,10558000000.0,523000000.0,27.42278206421105,-1.5909174199702467,0.04162083480125257,-15.733883772062892,0.9606221805439933,2.568699061241498,2.4126550030545304,1.69066541903161,0.19138761822841976,0.0
